37 Q0 stem_1065 parsed_punctuatedStemmed_0.27377416880842054 1 TfIdf
37 Q0 stem_1634 parsed_punctuatedStemmed_0.2490896126043826 2 TfIdf
37 Q0 stem_2244 parsed_punctuatedStemmed_0.24296421386189784 3 TfIdf
37 Q0 stem_2244 parsed_punctuatedStemmed_0.24296421386189784 4 TfIdf
37 Q0 stem_2244 parsed_punctuatedStemmed_0.24296421386189784 5 TfIdf
37 Q0 stem_2243 parsed_punctuatedStemmed_0.2298310131126061 6 TfIdf
37 Q0 stem_2243 parsed_punctuatedStemmed_0.2298310131126061 7 TfIdf
37 Q0 stem_2243 parsed_punctuatedStemmed_0.2298310131126061 8 TfIdf
37 Q0 stem_195 parsed_punctuatedStemmed_0.22425677621554094 9 TfIdf
37 Q0 stem_2311 parsed_punctuatedStemmed_0.22023668673383476 10 TfIdf
37 Q0 stem_24 parsed_punctuatedStemmed_0.2181137664048498 11 TfIdf
37 Q0 stem_820 parsed_punctuatedStemmed_0.2181137664048498 12 TfIdf
37 Q0 stem_1359 parsed_punctuatedStemmed_0.2149184785326496 13 TfIdf
37 Q0 stem_582 parsed_punctuatedStemmed_0.21103425512315746 14 TfIdf
37 Q0 stem_167 parsed_punctuatedStemmed_0.2100354787602257 15 TfIdf
37 Q0 stem_1922 parsed_punctuatedStemmed_0.20775452924822793 16 TfIdf
37 Q0 stem_842 parsed_punctuatedStemmed_0.20230623828634323 17 TfIdf
37 Q0 stem_842 parsed_punctuatedStemmed_0.20230623828634323 18 TfIdf
37 Q0 stem_842 parsed_punctuatedStemmed_0.20230623828634323 19 TfIdf
37 Q0 stem_2651 parsed_punctuatedStemmed_0.19930658168358809 20 TfIdf
37 Q0 stem_2651 parsed_punctuatedStemmed_0.19930658168358809 21 TfIdf
37 Q0 stem_2651 parsed_punctuatedStemmed_0.19930658168358809 22 TfIdf
37 Q0 stem_2241 parsed_punctuatedStemmed_0.197761569422475 23 TfIdf
37 Q0 stem_2242 parsed_punctuatedStemmed_0.197761569422475 24 TfIdf
37 Q0 stem_2241 parsed_punctuatedStemmed_0.197761569422475 25 TfIdf
37 Q0 stem_2242 parsed_punctuatedStemmed_0.197761569422475 26 TfIdf
37 Q0 stem_2241 parsed_punctuatedStemmed_0.197761569422475 27 TfIdf
37 Q0 stem_2242 parsed_punctuatedStemmed_0.197761569422475 28 TfIdf
37 Q0 stem_1244 parsed_punctuatedStemmed_0.1948008508829146 29 TfIdf
37 Q0 stem_2265 parsed_punctuatedStemmed_0.19084954560424355 30 TfIdf
37 Q0 stem_2406 parsed_punctuatedStemmed_0.1851277983400051 31 TfIdf
37 Q0 stem_2265 parsed_punctuatedStemmed_0.18397530616946592 32 TfIdf
37 Q0 stem_2265 parsed_punctuatedStemmed_0.18397530616946592 33 TfIdf
