P@5: 0.4
P@5: 0.15
CACM-1696 1.0 0.3333333333333333
CACM-3078 1.0 0.6666666666666666
CACM-1194 0.6666666666666666 0.6666666666666666
CACM-1410 0.5 0.6666666666666666
CACM-2931 0.4 0.6666666666666666
CACM-3120 0.3333333333333333 0.6666666666666666
CACM-0268 0.2857142857142857 0.6666666666666666
CACM-1235 0.25 0.6666666666666666
CACM-1435 0.2222222222222222 0.6666666666666666
CACM-1540 0.2 0.6666666666666666
CACM-2535 0.18181818181818182 0.6666666666666666
CACM-2742 0.16666666666666666 0.6666666666666666
CACM-2767 0.15384615384615385 0.6666666666666666
CACM-2882 0.14285714285714285 0.6666666666666666
CACM-1892 0.2 1.0
CACM-0078 0.1875 1.0
CACM-0095 0.17647058823529413 1.0
CACM-0111 0.16666666666666666 1.0
CACM-0293 0.15789473684210525 1.0
CACM-0298 0.15 1.0
CACM-0440 0.14285714285714285 1.0
CACM-0497 0.13636363636363635 1.0
CACM-0927 0.13043478260869565 1.0
CACM-0942 0.125 1.0
CACM-1008 0.12 1.0
CACM-1051 0.11538461538461539 1.0
CACM-1169 0.1111111111111111 1.0
CACM-1216 0.10714285714285714 1.0
CACM-1233 0.10344827586206896 1.0
CACM-1307 0.1 1.0
CACM-1359 0.0967741935483871 1.0
CACM-1382 0.09375 1.0
CACM-1383 0.09090909090909091 1.0
CACM-1425 0.08823529411764706 1.0
CACM-1433 0.08571428571428572 1.0
CACM-1438 0.08333333333333333 1.0
CACM-1441 0.08108108108108109 1.0
CACM-1453 0.07894736842105263 1.0
CACM-1535 0.07692307692307693 1.0
CACM-1554 0.075 1.0
CACM-1563 0.07317073170731707 1.0
CACM-1631 0.07142857142857142 1.0
CACM-1637 0.06976744186046512 1.0
CACM-1678 0.06818181818181818 1.0
CACM-1703 0.06666666666666667 1.0
CACM-1707 0.06521739130434782 1.0
CACM-1721 0.06382978723404255 1.0
CACM-1809 0.0625 1.0
CACM-1811 0.061224489795918366 1.0
CACM-1834 0.06 1.0
CACM-1886 0.058823529411764705 1.0
CACM-1925 0.057692307692307696 1.0
CACM-1947 0.05660377358490566 1.0
CACM-1948 0.05555555555555555 1.0
CACM-1956 0.05454545454545454 1.0
CACM-2000 0.05357142857142857 1.0
CACM-2019 0.05263157894736842 1.0
CACM-2046 0.05172413793103448 1.0
CACM-2065 0.05084745762711865 1.0
CACM-2137 0.05 1.0
CACM-2185 0.04918032786885246 1.0
CACM-2203 0.04838709677419355 1.0
CACM-2210 0.047619047619047616 1.0
CACM-2217 0.046875 1.0
CACM-2263 0.046153846153846156 1.0
CACM-2268 0.045454545454545456 1.0
CACM-2409 0.04477611940298507 1.0
CACM-2423 0.04411764705882353 1.0
CACM-2437 0.043478260869565216 1.0
CACM-2453 0.04285714285714286 1.0
CACM-2470 0.04225352112676056 1.0
CACM-2494 0.041666666666666664 1.0
CACM-2499 0.0410958904109589 1.0
CACM-2523 0.04054054054054054 1.0
CACM-2622 0.04 1.0
CACM-2682 0.039473684210526314 1.0
CACM-2705 0.03896103896103896 1.0
CACM-2726 0.038461538461538464 1.0
CACM-2753 0.0379746835443038 1.0
CACM-2810 0.0375 1.0
CACM-2811 0.037037037037037035 1.0
CACM-2826 0.036585365853658534 1.0
CACM-2836 0.03614457831325301 1.0
CACM-2844 0.03571428571428571 1.0
CACM-2900 0.03529411764705882 1.0
CACM-2903 0.03488372093023256 1.0
CACM-2972 0.034482758620689655 1.0
CACM-2985 0.03409090909090909 1.0
CACM-3013 0.033707865168539325 1.0
CACM-3020 0.03333333333333333 1.0
CACM-3059 0.03296703296703297 1.0
CACM-3068 0.03260869565217391 1.0
CACM-3115 0.03225806451612903 1.0
CACM-3138 0.031914893617021274 1.0
CACM-0224 0.031578947368421054 1.0
CACM-0243 0.03125 1.0
CACM-0278 0.030927835051546393 1.0
CACM-0412 0.030612244897959183 1.0
CACM-0618 0.030303030303030304 1.0
CACM-1098 0.03 1.0
