P@5: 0.2
P@5: 0.05
CACM-2181 0.0 0.0
CACM-3087 0.0 0.0
CACM-2495 0.3333333333333333 1.0
CACM-2464 0.25 1.0
CACM-1961 0.2 1.0
CACM-2611 0.16666666666666666 1.0
CACM-2133 0.14285714285714285 1.0
CACM-2290 0.125 1.0
CACM-2174 0.1111111111111111 1.0
CACM-3157 0.1 1.0
CACM-1197 0.09090909090909091 1.0
CACM-1737 0.08333333333333333 1.0
CACM-0820 0.07692307692307693 1.0
CACM-2574 0.07142857142857142 1.0
CACM-2477 0.06666666666666667 1.0
CACM-1191 0.0625 1.0
CACM-0507 0.058823529411764705 1.0
CACM-0307 0.05555555555555555 1.0
CACM-1762 0.05263157894736842 1.0
CACM-1981 0.05 1.0
CACM-2029 0.047619047619047616 1.0
CACM-1730 0.045454545454545456 1.0
CACM-1760 0.043478260869565216 1.0
CACM-1838 0.041666666666666664 1.0
CACM-1761 0.04 1.0
CACM-0776 0.038461538461538464 1.0
CACM-0457 0.037037037037037035 1.0
CACM-3029 0.03571428571428571 1.0
CACM-1043 0.034482758620689655 1.0
CACM-0032 0.03333333333333333 1.0
CACM-0832 0.03225806451612903 1.0
CACM-0960 0.03125 1.0
CACM-1556 0.030303030303030304 1.0
CACM-0167 0.029411764705882353 1.0
CACM-0263 0.02857142857142857 1.0
CACM-0369 0.027777777777777776 1.0
CACM-0373 0.02702702702702703 1.0
CACM-0880 0.02631578947368421 1.0
CACM-3037 0.02564102564102564 1.0
CACM-0358 0.025 1.0
CACM-0650 0.024390243902439025 1.0
CACM-0801 0.023809523809523808 1.0
CACM-0839 0.023255813953488372 1.0
CACM-0991 0.022727272727272728 1.0
CACM-1405 0.022222222222222223 1.0
CACM-2815 0.021739130434782608 1.0
CACM-0240 0.02127659574468085 1.0
CACM-0733 0.020833333333333332 1.0
CACM-0734 0.02040816326530612 1.0
CACM-1082 0.02 1.0
CACM-2818 0.0196078431372549 1.0
CACM-0079 0.019230769230769232 1.0
CACM-0953 0.018867924528301886 1.0
CACM-1547 0.018518518518518517 1.0
CACM-1822 0.01818181818181818 1.0
CACM-0392 0.017857142857142856 1.0
CACM-0149 0.017543859649122806 1.0
CACM-0879 0.017241379310344827 1.0
CACM-0393 0.01694915254237288 1.0
CACM-0052 0.016666666666666666 1.0
CACM-2068 0.01639344262295082 1.0
CACM-0656 0.016129032258064516 1.0
CACM-0152 0.015873015873015872 1.0
CACM-0087 0.015625 1.0
CACM-1304 0.015384615384615385 1.0
CACM-0414 0.015151515151515152 1.0
CACM-0089 0.014925373134328358 1.0
CACM-1461 0.014705882352941176 1.0
CACM-0109 0.014492753623188406 1.0
CACM-0119 0.014285714285714285 1.0
CACM-0985 0.014084507042253521 1.0
CACM-1301 0.013888888888888888 1.0
CACM-2774 0.0136986301369863 1.0
CACM-0141 0.013513513513513514 1.0
CACM-0269 0.013333333333333334 1.0
CACM-0312 0.013157894736842105 1.0
CACM-2503 0.012987012987012988 1.0
CACM-0003 0.01282051282051282 1.0
CACM-0118 0.012658227848101266 1.0
CACM-0363 0.0125 1.0
CACM-0476 0.012345679012345678 1.0
CACM-0581 0.012195121951219513 1.0
CACM-0629 0.012048192771084338 1.0
CACM-1005 0.011904761904761904 1.0
CACM-1702 0.011764705882352941 1.0
CACM-1923 0.011627906976744186 1.0
CACM-0821 0.011494252873563218 1.0
CACM-1187 0.011363636363636364 1.0
CACM-2952 0.011235955056179775 1.0
CACM-0138 0.011111111111111112 1.0
CACM-0170 0.01098901098901099 1.0
CACM-0818 0.010869565217391304 1.0
CACM-0343 0.010752688172043012 1.0
CACM-0027 0.010638297872340425 1.0
CACM-2024 0.010526315789473684 1.0
CACM-2258 0.010416666666666666 1.0
CACM-0041 0.010309278350515464 1.0
CACM-0105 0.01020408163265306 1.0
CACM-0361 0.010101010101010102 1.0
CACM-0477 0.01 1.0
