P@5: 0.0
P@5: 0.05
CACM-1856 0.0 0.0
CACM-2932 0.0 0.0
CACM-2227 0.0 0.0
CACM-2401 0.0 0.0
CACM-2195 0.0 0.0
CACM-2927 0.0 0.0
CACM-1806 0.0 0.0
CACM-2685 0.0 0.0
CACM-2430 0.0 0.0
CACM-3156 0.1 0.3333333333333333
CACM-2795 0.09090909090909091 0.3333333333333333
CACM-0320 0.08333333333333333 0.3333333333333333
CACM-1925 0.07692307692307693 0.3333333333333333
CACM-2790 0.07142857142857142 0.3333333333333333
CACM-2784 0.06666666666666667 0.3333333333333333
CACM-3055 0.0625 0.3333333333333333
CACM-1266 0.058823529411764705 0.3333333333333333
CACM-2975 0.05555555555555555 0.3333333333333333
CACM-1887 0.05263157894736842 0.3333333333333333
CACM-2333 0.05 0.3333333333333333
CACM-1648 0.047619047619047616 0.3333333333333333
CACM-2057 0.045454545454545456 0.3333333333333333
CACM-0973 0.043478260869565216 0.3333333333333333
CACM-2580 0.041666666666666664 0.3333333333333333
CACM-1518 0.04 0.3333333333333333
CACM-1382 0.038461538461538464 0.3333333333333333
CACM-3007 0.037037037037037035 0.3333333333333333
CACM-2743 0.03571428571428571 0.3333333333333333
CACM-0141 0.034482758620689655 0.3333333333333333
CACM-2706 0.03333333333333333 0.3333333333333333
CACM-0392 0.03225806451612903 0.3333333333333333
CACM-3162 0.03125 0.3333333333333333
CACM-2346 0.030303030303030304 0.3333333333333333
CACM-1967 0.029411764705882353 0.3333333333333333
CACM-1136 0.02857142857142857 0.3333333333333333
CACM-2028 0.027777777777777776 0.3333333333333333
CACM-1309 0.02702702702702703 0.3333333333333333
CACM-2682 0.02631578947368421 0.3333333333333333
CACM-2714 0.05128205128205128 0.6666666666666666
CACM-1711 0.05 0.6666666666666666
CACM-2938 0.04878048780487805 0.6666666666666666
CACM-1841 0.047619047619047616 0.6666666666666666
CACM-2703 0.046511627906976744 0.6666666666666666
CACM-1961 0.045454545454545456 0.6666666666666666
CACM-2702 0.044444444444444446 0.6666666666666666
CACM-1302 0.043478260869565216 0.6666666666666666
CACM-2936 0.0425531914893617 0.6666666666666666
CACM-2931 0.041666666666666664 0.6666666666666666
CACM-3140 0.04081632653061224 0.6666666666666666
CACM-2327 0.04 0.6666666666666666
CACM-2700 0.0392156862745098 0.6666666666666666
CACM-3010 0.038461538461538464 0.6666666666666666
CACM-2616 0.03773584905660377 0.6666666666666666
CACM-1008 0.037037037037037035 0.6666666666666666
CACM-3146 0.03636363636363636 0.6666666666666666
CACM-1148 0.03571428571428571 0.6666666666666666
CACM-2476 0.03508771929824561 0.6666666666666666
CACM-2313 0.034482758620689655 0.6666666666666666
CACM-2080 0.03389830508474576 0.6666666666666666
CACM-2325 0.03333333333333333 0.6666666666666666
CACM-0698 0.03278688524590164 0.6666666666666666
CACM-2258 0.03225806451612903 0.6666666666666666
CACM-2595 0.031746031746031744 0.6666666666666666
CACM-2515 0.03125 0.6666666666666666
CACM-0950 0.03076923076923077 0.6666666666666666
CACM-1468 0.030303030303030304 0.6666666666666666
CACM-2435 0.029850746268656716 0.6666666666666666
CACM-1678 0.029411764705882353 0.6666666666666666
CACM-2323 0.028985507246376812 0.6666666666666666
CACM-2899 0.02857142857142857 0.6666666666666666
CACM-1346 0.028169014084507043 0.6666666666666666
CACM-2740 0.027777777777777776 0.6666666666666666
CACM-2514 0.0273972602739726 0.6666666666666666
CACM-3045 0.02702702702702703 0.6666666666666666
CACM-2337 0.02666666666666667 0.6666666666666666
CACM-2326 0.02631578947368421 0.6666666666666666
CACM-2770 0.025974025974025976 0.6666666666666666
CACM-1846 0.02564102564102564 0.6666666666666666
CACM-3069 0.02531645569620253 0.6666666666666666
CACM-2765 0.025 0.6666666666666666
CACM-2652 0.024691358024691357 0.6666666666666666
CACM-1567 0.024390243902439025 0.6666666666666666
CACM-0335 0.024096385542168676 0.6666666666666666
CACM-1948 0.023809523809523808 0.6666666666666666
CACM-3073 0.023529411764705882 0.6666666666666666
CACM-3040 0.023255813953488372 0.6666666666666666
CACM-2709 0.022988505747126436 0.6666666666666666
CACM-2453 0.022727272727272728 0.6666666666666666
CACM-1462 0.02247191011235955 0.6666666666666666
CACM-1722 0.022222222222222223 0.6666666666666666
CACM-2842 0.02197802197802198 0.6666666666666666
CACM-2289 0.03260869565217391 1.0
CACM-1867 0.03225806451612903 1.0
CACM-2622 0.031914893617021274 1.0
CACM-1825 0.031578947368421054 1.0
CACM-1262 0.03125 1.0
CACM-1795 0.030927835051546393 1.0
CACM-2990 0.030612244897959183 1.0
CACM-1194 0.030303030303030304 1.0
CACM-2914 0.03 1.0
