P@5: 0.2
P@5: 0.45
CACM-2167 0.0 0.0
CACM-2644 0.0 0.0
CACM-1295 0.0 0.0
CACM-2806 0.0 0.0
CACM-1539 0.2 0.1111111111111111
CACM-2462 0.3333333333333333 0.2222222222222222
CACM-2089 0.42857142857142855 0.3333333333333333
CACM-1840 0.5 0.4444444444444444
CACM-2138 0.4444444444444444 0.4444444444444444
CACM-1094 0.5 0.5555555555555556
CACM-1538 0.5454545454545454 0.6666666666666666
CACM-2067 0.5 0.6666666666666666
CACM-1537 0.5384615384615384 0.7777777777777778
CACM-1967 0.5714285714285714 0.8888888888888888
CACM-2206 0.5333333333333333 0.8888888888888888
CACM-2507 0.5 0.8888888888888888
CACM-1841 0.5294117647058824 1.0
CACM-0693 0.5 1.0
CACM-0944 0.47368421052631576 1.0
CACM-1995 0.45 1.0
CACM-2332 0.42857142857142855 1.0
CACM-2694 0.4090909090909091 1.0
CACM-1780 0.391304347826087 1.0
CACM-2410 0.375 1.0
CACM-1933 0.36 1.0
CACM-2521 0.34615384615384615 1.0
CACM-0738 0.3333333333333333 1.0
CACM-1408 0.32142857142857145 1.0
CACM-1110 0.3103448275862069 1.0
CACM-0455 0.3 1.0
CACM-0470 0.2903225806451613 1.0
CACM-0706 0.28125 1.0
CACM-0737 0.2727272727272727 1.0
CACM-0807 0.2647058823529412 1.0
CACM-0904 0.2571428571428571 1.0
CACM-0903 0.25 1.0
CACM-0201 0.24324324324324326 1.0
CACM-1039 0.23684210526315788 1.0
CACM-1480 0.23076923076923078 1.0
CACM-2418 0.225 1.0
CACM-0659 0.21951219512195122 1.0
CACM-2762 0.21428571428571427 1.0
CACM-1118 0.20930232558139536 1.0
CACM-2330 0.20454545454545456 1.0
CACM-0826 0.2 1.0
CACM-2224 0.1956521739130435 1.0
CACM-2548 0.19148936170212766 1.0
CACM-3131 0.1875 1.0
CACM-2393 0.1836734693877551 1.0
CACM-1917 0.18 1.0
CACM-1837 0.17647058823529413 1.0
CACM-1921 0.17307692307692307 1.0
CACM-1148 0.16981132075471697 1.0
CACM-1668 0.16666666666666666 1.0
CACM-1669 0.16363636363636364 1.0
CACM-2770 0.16071428571428573 1.0
CACM-2350 0.15789473684210525 1.0
CACM-3107 0.15517241379310345 1.0
CACM-0942 0.15254237288135594 1.0
CACM-1346 0.15 1.0
CACM-1214 0.14754098360655737 1.0
CACM-2555 0.14516129032258066 1.0
CACM-1796 0.14285714285714285 1.0
CACM-1159 0.140625 1.0
CACM-3166 0.13846153846153847 1.0
CACM-2007 0.13636363636363635 1.0
CACM-1342 0.13432835820895522 1.0
CACM-1660 0.1323529411764706 1.0
CACM-1952 0.13043478260869565 1.0
CACM-1374 0.12857142857142856 1.0
CACM-1953 0.1267605633802817 1.0
CACM-2725 0.125 1.0
CACM-2830 0.1232876712328767 1.0
CACM-1851 0.12162162162162163 1.0
CACM-2226 0.12 1.0
CACM-0270 0.11842105263157894 1.0
CACM-3151 0.11688311688311688 1.0
CACM-0804 0.11538461538461539 1.0
CACM-2942 0.11392405063291139 1.0
CACM-1717 0.1125 1.0
CACM-2158 0.1111111111111111 1.0
CACM-1725 0.10975609756097561 1.0
CACM-2362 0.10843373493975904 1.0
CACM-2647 0.10714285714285714 1.0
CACM-1873 0.10588235294117647 1.0
CACM-2025 0.10465116279069768 1.0
CACM-2863 0.10344827586206896 1.0
CACM-2904 0.10227272727272728 1.0
CACM-2691 0.10112359550561797 1.0
CACM-2355 0.1 1.0
CACM-2222 0.0989010989010989 1.0
CACM-2087 0.09782608695652174 1.0
CACM-1812 0.0967741935483871 1.0
CACM-2567 0.09574468085106383 1.0
CACM-2334 0.09473684210526316 1.0
CACM-3040 0.09375 1.0
CACM-2122 0.09278350515463918 1.0
CACM-0950 0.09183673469387756 1.0
CACM-2042 0.09090909090909091 1.0
CACM-1794 0.09 1.0
