P@5: 0.0
P@5: 0.05
CACM-0252 0.0 0.0
CACM-3115 0.0 0.0
CACM-3130 0.0 0.0
CACM-1387 0.0 0.0
CACM-1350 0.0 0.0
CACM-1029 0.0 0.0
CACM-1402 0.0 0.0
CACM-2871 0.0 0.0
CACM-1062 0.0 0.0
CACM-1134 0.1 1.0
CACM-1154 0.09090909090909091 1.0
CACM-1658 0.08333333333333333 1.0
CACM-2053 0.07692307692307693 1.0
CACM-0100 0.07142857142857142 1.0
CACM-2708 0.06666666666666667 1.0
CACM-1923 0.0625 1.0
CACM-2112 0.058823529411764705 1.0
CACM-2661 0.05555555555555555 1.0
CACM-0051 0.05263157894736842 1.0
CACM-2587 0.05 1.0
CACM-1313 0.047619047619047616 1.0
CACM-0265 0.045454545454545456 1.0
CACM-2066 0.043478260869565216 1.0
CACM-1223 0.041666666666666664 1.0
CACM-0058 0.04 1.0
CACM-2666 0.038461538461538464 1.0
CACM-1102 0.037037037037037035 1.0
CACM-1740 0.03571428571428571 1.0
CACM-0249 0.034482758620689655 1.0
CACM-3171 0.03333333333333333 1.0
CACM-0077 0.03225806451612903 1.0
CACM-2229 0.03125 1.0
CACM-0185 0.030303030303030304 1.0
CACM-0951 0.029411764705882353 1.0
CACM-3196 0.02857142857142857 1.0
CACM-1703 0.027777777777777776 1.0
CACM-2814 0.02702702702702703 1.0
CACM-0651 0.02631578947368421 1.0
CACM-2782 0.02564102564102564 1.0
CACM-1852 0.025 1.0
CACM-2906 0.024390243902439025 1.0
CACM-1485 0.023809523809523808 1.0
CACM-0799 0.023255813953488372 1.0
CACM-2915 0.022727272727272728 1.0
CACM-1216 0.022222222222222223 1.0
CACM-0857 0.021739130434782608 1.0
CACM-2034 0.02127659574468085 1.0
CACM-1395 0.020833333333333332 1.0
CACM-1869 0.02040816326530612 1.0
CACM-3009 0.02 1.0
CACM-3132 0.0196078431372549 1.0
CACM-3158 0.019230769230769232 1.0
CACM-2580 0.018867924528301886 1.0
CACM-0135 0.018518518518518517 1.0
CACM-0148 0.01818181818181818 1.0
CACM-0526 0.017857142857142856 1.0
CACM-0928 0.017543859649122806 1.0
CACM-2449 0.017241379310344827 1.0
CACM-0072 0.01694915254237288 1.0
CACM-0157 0.016666666666666666 1.0
CACM-0433 0.01639344262295082 1.0
CACM-0682 0.016129032258064516 1.0
CACM-0820 0.015873015873015872 1.0
CACM-0943 0.015625 1.0
CACM-1244 0.015384615384615385 1.0
CACM-0173 0.015151515151515152 1.0
CACM-0770 0.014925373134328358 1.0
CACM-0771 0.014705882352941176 1.0
CACM-0906 0.014492753623188406 1.0
CACM-1192 0.014285714285714285 1.0
CACM-1361 0.014084507042253521 1.0
CACM-3019 0.013888888888888888 1.0
CACM-0012 0.0136986301369863 1.0
CACM-0038 0.013513513513513514 1.0
CACM-0171 0.013333333333333334 1.0
CACM-0434 0.013157894736842105 1.0
CACM-0571 0.012987012987012988 1.0
CACM-0597 0.01282051282051282 1.0
CACM-0672 0.012658227848101266 1.0
CACM-2271 0.0125 1.0
CACM-3185 0.012345679012345678 1.0
CACM-0331 0.012195121951219513 1.0
CACM-0334 0.012048192771084338 1.0
CACM-1545 0.011904761904761904 1.0
CACM-0156 0.011764705882352941 1.0
CACM-0166 0.011627906976744186 1.0
CACM-0343 0.011494252873563218 1.0
CACM-0383 0.011363636363636364 1.0
CACM-0529 0.011235955056179775 1.0
CACM-2121 0.011111111111111112 1.0
CACM-2818 0.01098901098901099 1.0
CACM-0041 0.010869565217391304 1.0
CACM-0085 0.010752688172043012 1.0
CACM-0108 0.010638297872340425 1.0
CACM-0606 0.010526315789473684 1.0
CACM-1209 0.010416666666666666 1.0
CACM-1440 0.010309278350515464 1.0
CACM-0184 0.01020408163265306 1.0
CACM-0636 0.010101010101010102 1.0
CACM-0090 0.01 1.0
