P@5: 0.2
P@5: 0.25
CACM-2849 0.0 0.0
CACM-1750 0.0 0.0
CACM-1695 0.0 0.0
CACM-2372 0.25 0.125
CACM-3076 0.2 0.125
CACM-3158 0.3333333333333333 0.25
CACM-3068 0.42857142857142855 0.375
CACM-2622 0.375 0.375
CACM-3174 0.3333333333333333 0.375
CACM-2621 0.3 0.375
CACM-2870 0.36363636363636365 0.5
CACM-1032 0.3333333333333333 0.5
CACM-1261 0.3076923076923077 0.5
CACM-3133 0.2857142857142857 0.5
CACM-1290 0.26666666666666666 0.5
CACM-3038 0.25 0.5
CACM-1978 0.23529411764705882 0.5
CACM-3111 0.2777777777777778 0.625
CACM-2614 0.2631578947368421 0.625
CACM-1808 0.25 0.625
CACM-3043 0.23809523809523808 0.625
CACM-1664 0.22727272727272727 0.625
CACM-2188 0.21739130434782608 0.625
CACM-1946 0.20833333333333334 0.625
CACM-2046 0.2 0.625
CACM-1717 0.19230769230769232 0.625
CACM-1266 0.18518518518518517 0.625
CACM-1462 0.17857142857142858 0.625
CACM-1621 0.1724137931034483 0.625
CACM-2915 0.16666666666666666 0.625
CACM-2487 0.16129032258064516 0.625
CACM-0322 0.15625 0.625
CACM-1503 0.15151515151515152 0.625
CACM-0666 0.14705882352941177 0.625
CACM-2270 0.14285714285714285 0.625
CACM-2693 0.1388888888888889 0.625
CACM-2358 0.13513513513513514 0.625
CACM-2945 0.13157894736842105 0.625
CACM-2948 0.1282051282051282 0.625
CACM-1688 0.125 0.625
CACM-1687 0.12195121951219512 0.625
CACM-2088 0.11904761904761904 0.625
CACM-1690 0.11627906976744186 0.625
CACM-0517 0.11363636363636363 0.625
CACM-1703 0.1111111111111111 0.625
CACM-1822 0.10869565217391304 0.625
CACM-1704 0.10638297872340426 0.625
CACM-2806 0.10416666666666667 0.625
CACM-1746 0.10204081632653061 0.625
CACM-1360 0.1 0.625
CACM-2553 0.09803921568627451 0.625
CACM-2689 0.09615384615384616 0.625
CACM-2405 0.09433962264150944 0.625
CACM-1996 0.09259259259259259 0.625
CACM-2502 0.09090909090909091 0.625
CACM-1169 0.08928571428571429 0.625
CACM-1461 0.08771929824561403 0.625
CACM-1755 0.08620689655172414 0.625
CACM-2853 0.0847457627118644 0.625
CACM-2796 0.08333333333333333 0.625
CACM-2158 0.08196721311475409 0.625
CACM-1108 0.08064516129032258 0.625
CACM-2175 0.07936507936507936 0.625
CACM-1069 0.078125 0.625
CACM-2690 0.07692307692307693 0.625
CACM-2869 0.07575757575757576 0.625
CACM-3050 0.07462686567164178 0.625
CACM-1923 0.07352941176470588 0.625
CACM-2436 0.07246376811594203 0.625
CACM-1050 0.07142857142857142 0.625
CACM-0856 0.07042253521126761 0.625
CACM-0795 0.06944444444444445 0.625
CACM-1989 0.0684931506849315 0.625
CACM-0036 0.06756756756756757 0.625
CACM-2329 0.06666666666666667 0.625
CACM-1030 0.06578947368421052 0.625
CACM-2323 0.06493506493506493 0.625
CACM-2059 0.0641025641025641 0.625
CACM-2424 0.06329113924050633 0.625
CACM-3177 0.075 0.75
CACM-3021 0.07407407407407407 0.75
CACM-2357 0.07317073170731707 0.75
CACM-1472 0.07228915662650602 0.75
CACM-2435 0.07142857142857142 0.75
CACM-1889 0.07058823529411765 0.75
CACM-0531 0.06976744186046512 0.75
CACM-1519 0.06896551724137931 0.75
CACM-2626 0.06818181818181818 0.75
CACM-2536 0.06741573033707865 0.75
CACM-2863 0.06666666666666667 0.75
CACM-3128 0.07692307692307693 0.875
CACM-2396 0.07608695652173914 0.875
CACM-2219 0.07526881720430108 0.875
CACM-2740 0.07446808510638298 0.875
CACM-1826 0.07368421052631578 0.875
CACM-2283 0.07291666666666667 0.875
CACM-2620 0.07216494845360824 0.875
CACM-2876 0.08163265306122448 1.0
CACM-2482 0.08080808080808081 1.0
CACM-1383 0.08 1.0
