P@5: 1.0
P@5: 1.0
CACM-1325 1.0 0.027777777777777776
CACM-1528 1.0 0.05555555555555555
CACM-2827 1.0 0.08333333333333333
CACM-1697 1.0 0.1111111111111111
CACM-2924 1.0 0.1388888888888889
CACM-2754 1.0 0.16666666666666666
CACM-2841 1.0 0.19444444444444445
CACM-2811 1.0 0.2222222222222222
CACM-1686 1.0 0.25
CACM-3047 1.0 0.2777777777777778
CACM-2829 1.0 0.3055555555555556
CACM-2883 1.0 0.3333333333333333
CACM-2195 1.0 0.3611111111111111
CACM-2523 1.0 0.3888888888888889
CACM-2004 1.0 0.4166666666666667
CACM-3116 1.0 0.4444444444444444
CACM-2201 1.0 0.4722222222222222
CACM-2771 1.0 0.5
CACM-2400 1.0 0.5277777777777778
CACM-1113 1.0 0.5555555555555556
CACM-2751 1.0 0.5833333333333334
CACM-2828 1.0 0.6111111111111112
CACM-3149 1.0 0.6388888888888888
CACM-2788 1.0 0.6666666666666666
CACM-2913 1.0 0.6944444444444444
CACM-2211 1.0 0.7222222222222222
CACM-1554 1.0 0.75
CACM-2514 1.0 0.7777777777777778
CACM-2382 1.0 0.8055555555555556
CACM-2687 1.0 0.8333333333333334
CACM-2910 1.0 0.8611111111111112
CACM-3172 1.0 0.8888888888888888
CACM-2826 1.0 0.9166666666666666
CACM-2421 1.0 0.9444444444444444
CACM-2994 1.0 0.9722222222222222
CACM-3062 1.0 1.0
CACM-2569 0.972972972972973 1.0
CACM-3046 0.9473684210526315 1.0
CACM-3098 0.9230769230769231 1.0
CACM-3125 0.9 1.0
CACM-2455 0.8780487804878049 1.0
CACM-2847 0.8571428571428571 1.0
CACM-0462 0.8372093023255814 1.0
CACM-1272 0.8181818181818182 1.0
CACM-2308 0.8 1.0
CACM-1726 0.782608695652174 1.0
CACM-2289 0.7659574468085106 1.0
CACM-2113 0.75 1.0
CACM-2341 0.7346938775510204 1.0
CACM-1543 0.72 1.0
CACM-1769 0.7058823529411765 1.0
CACM-1808 0.6923076923076923 1.0
CACM-1844 0.6792452830188679 1.0
CACM-2151 0.6666666666666666 1.0
CACM-2194 0.6545454545454545 1.0
CACM-2367 0.6428571428571429 1.0
CACM-2971 0.631578947368421 1.0
CACM-3011 0.6206896551724138 1.0
CACM-3077 0.6101694915254238 1.0
CACM-1518 0.6 1.0
CACM-2153 0.5901639344262295 1.0
CACM-2402 0.5806451612903226 1.0
CACM-1381 0.5714285714285714 1.0
CACM-1553 0.5625 1.0
CACM-1265 0.5538461538461539 1.0
CACM-1590 0.5454545454545454 1.0
CACM-2215 0.5373134328358209 1.0
CACM-2287 0.5294117647058824 1.0
CACM-2849 0.5217391304347826 1.0
CACM-3165 0.5142857142857142 1.0
CACM-1003 0.5070422535211268 1.0
CACM-1235 0.5 1.0
CACM-1260 0.4931506849315068 1.0
CACM-1517 0.4864864864864865 1.0
CACM-1605 0.48 1.0
CACM-1916 0.47368421052631576 1.0
CACM-1927 0.4675324675324675 1.0
CACM-2053 0.46153846153846156 1.0
CACM-2181 0.45569620253164556 1.0
CACM-2188 0.45 1.0
CACM-2423 0.4444444444444444 1.0
CACM-2494 0.43902439024390244 1.0
CACM-2560 0.43373493975903615 1.0
CACM-2645 0.42857142857142855 1.0
CACM-2812 0.4235294117647059 1.0
CACM-2820 0.4186046511627907 1.0
CACM-2890 0.41379310344827586 1.0
CACM-2925 0.4090909090909091 1.0
CACM-3078 0.4044943820224719 1.0
CACM-2556 0.4 1.0
CACM-0320 0.3956043956043956 1.0
CACM-1427 0.391304347826087 1.0
CACM-2959 0.3870967741935484 1.0
CACM-3107 0.3829787234042553 1.0
CACM-1855 0.37894736842105264 1.0
CACM-2030 0.375 1.0
CACM-2980 0.3711340206185567 1.0
CACM-1771 0.3673469387755102 1.0
CACM-3049 0.36363636363636365 1.0
CACM-2054 0.36 1.0
