P@5: 0.0
P@5: 0.0
CACM-2450 0.0 NaN
CACM-1612 0.0 NaN
CACM-1846 0.0 NaN
CACM-1588 0.0 NaN
CACM-1853 0.0 NaN
CACM-1046 0.0 NaN
CACM-2625 0.0 NaN
CACM-2051 0.0 NaN
CACM-2632 0.0 NaN
CACM-0397 0.0 NaN
CACM-2704 0.0 NaN
CACM-0527 0.0 NaN
CACM-1324 0.0 NaN
CACM-2814 0.0 NaN
CACM-0651 0.0 NaN
CACM-2782 0.0 NaN
CACM-1102 0.0 NaN
CACM-0249 0.0 NaN
CACM-1264 0.0 NaN
CACM-0265 0.0 NaN
CACM-2244 0.0 NaN
CACM-2243 0.0 NaN
CACM-2241 0.0 NaN
CACM-2242 0.0 NaN
CACM-0760 0.0 NaN
CACM-1057 0.0 NaN
CACM-0225 0.0 NaN
CACM-1582 0.0 NaN
CACM-0200 0.0 NaN
CACM-0201 0.0 NaN
CACM-1378 0.0 NaN
CACM-0452 0.0 NaN
CACM-1371 0.0 NaN
CACM-1574 0.0 NaN
CACM-1575 0.0 NaN
CACM-1579 0.0 NaN
CACM-1407 0.0 NaN
CACM-1450 0.0 NaN
CACM-2473 0.0 NaN
CACM-0043 0.0 NaN
CACM-1580 0.0 NaN
CACM-1585 0.0 NaN
CACM-1895 0.0 NaN
CACM-2199 0.0 NaN
CACM-1881 0.0 NaN
CACM-1606 0.0 NaN
CACM-1821 0.0 NaN
CACM-2039 0.0 NaN
CACM-1583 0.0 NaN
CACM-1373 0.0 NaN
CACM-1581 0.0 NaN
CACM-2392 0.0 NaN
CACM-0572 0.0 NaN
CACM-0573 0.0 NaN
CACM-2725 0.0 NaN
CACM-0143 0.0 NaN
CACM-3061 0.0 NaN
CACM-1190 0.0 NaN
CACM-0793 0.0 NaN
CACM-1275 0.0 NaN
CACM-0657 0.0 NaN
CACM-2879 0.0 NaN
CACM-0457 0.0 NaN
CACM-2444 0.0 NaN
CACM-0627 0.0 NaN
CACM-1757 0.0 NaN
CACM-1736 0.0 NaN
CACM-0394 0.0 NaN
CACM-1291 0.0 NaN
CACM-0073 0.0 NaN
CACM-0593 0.0 NaN
CACM-1302 0.0 NaN
CACM-1360 0.0 NaN
CACM-1436 0.0 NaN
CACM-0461 0.0 NaN
CACM-0528 0.0 NaN
CACM-2689 0.0 NaN
CACM-2102 0.0 NaN
CACM-2960 0.0 NaN
CACM-1780 0.0 NaN
CACM-1830 0.0 NaN
CACM-1118 0.0 NaN
CACM-2117 0.0 NaN
CACM-2435 0.0 NaN
CACM-1801 0.0 NaN
CACM-0392 0.0 NaN
CACM-2068 0.0 NaN
CACM-0087 0.0 NaN
CACM-1461 0.0 NaN
CACM-0109 0.0 NaN
CACM-0119 0.0 NaN
CACM-0985 0.0 NaN
CACM-1301 0.0 NaN
CACM-2774 0.0 NaN
CACM-0141 0.0 NaN
CACM-0269 0.0 NaN
CACM-0312 0.0 NaN
CACM-2503 0.0 NaN
CACM-0003 0.0 NaN
CACM-0363 0.0 NaN
