P@5: 0.0
P@5: 0.0
CACM-0616 0.0 NaN
CACM-3117 0.0 NaN
CACM-2177 0.0 NaN
CACM-1867 0.0 NaN
CACM-1623 0.0 NaN
CACM-1397 0.0 NaN
CACM-2896 0.0 NaN
CACM-1519 0.0 NaN
CACM-1012 0.0 NaN
CACM-3044 0.0 NaN
CACM-1977 0.0 NaN
CACM-2905 0.0 NaN
CACM-1593 0.0 NaN
CACM-2047 0.0 NaN
CACM-1010 0.0 NaN
CACM-1014 0.0 NaN
CACM-1144 0.0 NaN
CACM-1334 0.0 NaN
CACM-1676 0.0 NaN
CACM-1764 0.0 NaN
CACM-3057 0.0 NaN
CACM-1931 0.0 NaN
CACM-2849 0.0 NaN
CACM-2771 0.0 NaN
CACM-3171 0.0 NaN
CACM-1046 0.0 NaN
CACM-2676 0.0 NaN
CACM-2350 0.0 NaN
CACM-1473 0.0 NaN
CACM-3136 0.0 NaN
CACM-0047 0.0 NaN
CACM-0058 0.0 NaN
CACM-1117 0.0 NaN
CACM-1281 0.0 NaN
CACM-1183 0.0 NaN
CACM-2729 0.0 NaN
CACM-2219 0.0 NaN
CACM-3028 0.0 NaN
CACM-0123 0.0 NaN
CACM-2801 0.0 NaN
CACM-0526 0.0 NaN
CACM-0171 0.0 NaN
CACM-2916 0.0 NaN
CACM-2354 0.0 NaN
CACM-1850 0.0 NaN
CACM-1530 0.0 NaN
CACM-1634 0.0 NaN
CACM-0944 0.0 NaN
CACM-1062 0.0 NaN
CACM-2383 0.0 NaN
CACM-1727 0.0 NaN
CACM-2606 0.0 NaN
CACM-2456 0.0 NaN
CACM-1735 0.0 NaN
CACM-0397 0.0 NaN
CACM-2355 0.0 NaN
CACM-0760 0.0 NaN
CACM-1057 0.0 NaN
CACM-0225 0.0 NaN
CACM-1582 0.0 NaN
CACM-0200 0.0 NaN
CACM-0201 0.0 NaN
CACM-1378 0.0 NaN
CACM-1181 0.0 NaN
CACM-0452 0.0 NaN
CACM-1371 0.0 NaN
CACM-1574 0.0 NaN
CACM-1575 0.0 NaN
CACM-0188 0.0 NaN
CACM-1579 0.0 NaN
CACM-0676 0.0 NaN
CACM-1407 0.0 NaN
CACM-1450 0.0 NaN
CACM-1584 0.0 NaN
CACM-2473 0.0 NaN
CACM-0043 0.0 NaN
CACM-1580 0.0 NaN
CACM-1585 0.0 NaN
CACM-1895 0.0 NaN
CACM-2199 0.0 NaN
CACM-1881 0.0 NaN
CACM-1606 0.0 NaN
CACM-1200 0.0 NaN
CACM-1821 0.0 NaN
CACM-1424 0.0 NaN
CACM-2039 0.0 NaN
CACM-1583 0.0 NaN
CACM-1373 0.0 NaN
CACM-1581 0.0 NaN
CACM-2392 0.0 NaN
CACM-1439 0.0 NaN
CACM-1190 0.0 NaN
CACM-2731 0.0 NaN
CACM-1403 0.0 NaN
CACM-0408 0.0 NaN
CACM-0290 0.0 NaN
CACM-0394 0.0 NaN
CACM-0459 0.0 NaN
CACM-0269 0.0 NaN
CACM-0741 0.0 NaN
