P@5: 0.4
P@5: 0.2
CACM-2634 1.0 0.25
CACM-1637 0.5 0.25
CACM-2825 0.6666666666666666 0.5
CACM-1816 0.5 0.5
CACM-2225 0.4 0.5
CACM-2418 0.3333333333333333 0.5
CACM-0382 0.2857142857142857 0.5
CACM-1732 0.25 0.5
CACM-1823 0.2222222222222222 0.5
CACM-1578 0.2 0.5
CACM-2212 0.18181818181818182 0.5
CACM-1778 0.16666666666666666 0.5
CACM-2098 0.23076923076923078 0.75
CACM-1986 0.21428571428571427 0.75
CACM-1779 0.2 0.75
CACM-1944 0.25 1.0
CACM-2952 0.23529411764705882 1.0
CACM-1987 0.2222222222222222 1.0
CACM-0432 0.21052631578947367 1.0
CACM-0840 0.2 1.0
CACM-2101 0.19047619047619047 1.0
CACM-2238 0.18181818181818182 1.0
CACM-1640 0.17391304347826086 1.0
CACM-0801 0.16666666666666666 1.0
CACM-0839 0.16 1.0
CACM-0126 0.15384615384615385 1.0
CACM-0765 0.14814814814814814 1.0
CACM-1598 0.14285714285714285 1.0
CACM-0884 0.13793103448275862 1.0
CACM-0356 0.13333333333333333 1.0
CACM-0740 0.12903225806451613 1.0
CACM-1802 0.125 1.0
CACM-2102 0.12121212121212122 1.0
CACM-1874 0.11764705882352941 1.0
CACM-0287 0.11428571428571428 1.0
CACM-0264 0.1111111111111111 1.0
CACM-0933 0.10810810810810811 1.0
CACM-0299 0.10526315789473684 1.0
CACM-2067 0.10256410256410256 1.0
CACM-2743 0.1 1.0
CACM-0297 0.0975609756097561 1.0
CACM-3019 0.09523809523809523 1.0
CACM-1920 0.09302325581395349 1.0
CACM-0359 0.09090909090909091 1.0
CACM-0846 0.08888888888888889 1.0
CACM-0700 0.08695652173913043 1.0
CACM-0928 0.0851063829787234 1.0
CACM-0639 0.08333333333333333 1.0
CACM-0581 0.08163265306122448 1.0
CACM-0841 0.08 1.0
CACM-0965 0.0784313725490196 1.0
CACM-1702 0.07692307692307693 1.0
CACM-2564 0.07547169811320754 1.0
CACM-2637 0.07407407407407407 1.0
CACM-1437 0.07272727272727272 1.0
CACM-0991 0.07142857142857142 1.0
CACM-0481 0.07017543859649122 1.0
CACM-1799 0.06896551724137931 1.0
CACM-2661 0.06779661016949153 1.0
CACM-0377 0.06666666666666667 1.0
CACM-0613 0.06557377049180328 1.0
CACM-0050 0.06451612903225806 1.0
CACM-2360 0.06349206349206349 1.0
CACM-1759 0.0625 1.0
CACM-0927 0.06153846153846154 1.0
CACM-1370 0.06060606060606061 1.0
CACM-1688 0.05970149253731343 1.0
CACM-2431 0.058823529411764705 1.0
CACM-1914 0.057971014492753624 1.0
CACM-1899 0.05714285714285714 1.0
CACM-1796 0.056338028169014086 1.0
CACM-2007 0.05555555555555555 1.0
CACM-1342 0.0547945205479452 1.0
CACM-1660 0.05405405405405406 1.0
CACM-1952 0.05333333333333334 1.0
CACM-1953 0.05263157894736842 1.0
CACM-2830 0.05194805194805195 1.0
CACM-2689 0.05128205128205128 1.0
CACM-2551 0.05063291139240506 1.0
CACM-2658 0.05 1.0
CACM-2574 0.04938271604938271 1.0
CACM-1841 0.04878048780487805 1.0
CACM-1687 0.04819277108433735 1.0
CACM-2088 0.047619047619047616 1.0
CACM-1690 0.047058823529411764 1.0
CACM-0414 0.046511627906976744 1.0
CACM-2796 0.04597701149425287 1.0
CACM-2577 0.045454545454545456 1.0
CACM-0529 0.0449438202247191 1.0
CACM-0271 0.044444444444444446 1.0
CACM-2394 0.04395604395604396 1.0
CACM-0344 0.043478260869565216 1.0
CACM-0544 0.043010752688172046 1.0
CACM-0510 0.0425531914893617 1.0
CACM-1287 0.042105263157894736 1.0
CACM-2224 0.041666666666666664 1.0
CACM-2362 0.041237113402061855 1.0
CACM-0122 0.04081632653061224 1.0
CACM-0998 0.04040404040404041 1.0
CACM-0857 0.04 1.0
