P@5: 0.0
P@5: 0.0
CACM-2706 0.0 NaN
CACM-1741 0.0 NaN
CACM-2022 0.0 NaN
CACM-2411 0.0 NaN
CACM-0014 0.0 NaN
CACM-0414 0.0 NaN
CACM-2659 0.0 NaN
CACM-2085 0.0 NaN
CACM-0141 0.0 NaN
CACM-0392 0.0 NaN
CACM-0011 0.0 NaN
CACM-1756 0.0 NaN
CACM-1187 0.0 NaN
CACM-1065 0.0 NaN
CACM-2661 0.0 NaN
CACM-2295 0.0 NaN
CACM-3110 0.0 NaN
CACM-2552 0.0 NaN
CACM-2652 0.0 NaN
CACM-2770 0.0 NaN
CACM-1861 0.0 NaN
CACM-1102 0.0 NaN
CACM-1467 0.0 NaN
CACM-2945 0.0 NaN
CACM-1683 0.0 NaN
CACM-1923 0.0 NaN
CACM-2814 0.0 NaN
CACM-2782 0.0 NaN
CACM-1678 0.0 NaN
CACM-1852 0.0 NaN
CACM-2231 0.0 NaN
CACM-2603 0.0 NaN
CACM-1444 0.0 NaN
CACM-1030 0.0 NaN
CACM-1315 0.0 NaN
CACM-0039 0.0 NaN
CACM-3183 0.0 NaN
CACM-0371 0.0 NaN
CACM-0231 0.0 NaN
CACM-1489 0.0 NaN
CACM-0980 0.0 NaN
CACM-1835 0.0 NaN
CACM-0697 0.0 NaN
CACM-1633 0.0 NaN
CACM-2399 0.0 NaN
CACM-2117 0.0 NaN
CACM-0694 0.0 NaN
CACM-0755 0.0 NaN
CACM-1111 0.0 NaN
CACM-2806 0.0 NaN
CACM-1764 0.0 NaN
CACM-1653 0.0 NaN
CACM-2803 0.0 NaN
CACM-0986 0.0 NaN
CACM-1002 0.0 NaN
CACM-1251 0.0 NaN
CACM-2756 0.0 NaN
CACM-0380 0.0 NaN
CACM-2607 0.0 NaN
CACM-3172 0.0 NaN
CACM-2158 0.0 NaN
CACM-2015 0.0 NaN
CACM-0094 0.0 NaN
CACM-3140 0.0 NaN
CACM-2967 0.0 NaN
CACM-1440 0.0 NaN
CACM-0696 0.0 NaN
CACM-1753 0.0 NaN
CACM-2963 0.0 NaN
CACM-2192 0.0 NaN
CACM-0605 0.0 NaN
CACM-1628 0.0 NaN
CACM-2248 0.0 NaN
CACM-2772 0.0 NaN
CACM-2703 0.0 NaN
CACM-0758 0.0 NaN
CACM-2744 0.0 NaN
CACM-1295 0.0 NaN
CACM-3020 0.0 NaN
CACM-1224 0.0 NaN
CACM-0236 0.0 NaN
CACM-1530 0.0 NaN
CACM-2877 0.0 NaN
CACM-1044 0.0 NaN
CACM-1540 0.0 NaN
CACM-0585 0.0 NaN
CACM-2799 0.0 NaN
CACM-1774 0.0 NaN
CACM-2236 0.0 NaN
CACM-2383 0.0 NaN
CACM-2956 0.0 NaN
CACM-3068 0.0 NaN
CACM-1724 0.0 NaN
CACM-1073 0.0 NaN
CACM-1634 0.0 NaN
CACM-1874 0.0 NaN
CACM-2943 0.0 NaN
CACM-1887 0.0 NaN
CACM-0335 0.0 NaN
CACM-2272 0.0 NaN
