P@5: 0.0
P@5: 0.0
CACM-2641 0.0 NaN
CACM-0204 0.0 NaN
CACM-2789 0.0 NaN
CACM-2788 0.0 NaN
CACM-2910 0.0 NaN
CACM-2575 0.0 NaN
CACM-2974 0.0 NaN
CACM-2231 0.0 NaN
CACM-0535 0.0 NaN
CACM-2528 0.0 NaN
CACM-2942 0.0 NaN
CACM-2529 0.0 NaN
CACM-3162 0.0 NaN
CACM-3132 0.0 NaN
CACM-3169 0.0 NaN
CACM-0741 0.0 NaN
CACM-0742 0.0 NaN
CACM-0444 0.0 NaN
CACM-0517 0.0 NaN
CACM-0966 0.0 NaN
CACM-1374 0.0 NaN
CACM-0268 0.0 NaN
CACM-0574 0.0 NaN
CACM-0575 0.0 NaN
CACM-0589 0.0 NaN
CACM-0590 0.0 NaN
CACM-0708 0.0 NaN
CACM-0179 0.0 NaN
CACM-0180 0.0 NaN
CACM-0181 0.0 NaN
CACM-0182 0.0 NaN
CACM-0601 0.0 NaN
CACM-1128 0.0 NaN
CACM-2617 0.0 NaN
CACM-1995 0.0 NaN
CACM-2332 0.0 NaN
CACM-1938 0.0 NaN
CACM-0819 0.0 NaN
CACM-2539 0.0 NaN
CACM-2601 0.0 NaN
CACM-0360 0.0 NaN
CACM-0436 0.0 NaN
CACM-1093 0.0 NaN
CACM-1173 0.0 NaN
CACM-3168 0.0 NaN
CACM-1177 0.0 NaN
CACM-2936 0.0 NaN
CACM-2880 0.0 NaN
CACM-2965 0.0 NaN
CACM-2681 0.0 NaN
CACM-3135 0.0 NaN
CACM-0003 0.0 NaN
CACM-0270 0.0 NaN
CACM-1925 0.0 NaN
CACM-2400 0.0 NaN
CACM-2863 0.0 NaN
CACM-0399 0.0 NaN
CACM-1111 0.0 NaN
CACM-1475 0.0 NaN
CACM-2170 0.0 NaN
CACM-2207 0.0 NaN
CACM-1226 0.0 NaN
CACM-3056 0.0 NaN
CACM-3104 0.0 NaN
CACM-0042 0.0 NaN
CACM-0220 0.0 NaN
CACM-0175 0.0 NaN
CACM-2551 0.0 NaN
CACM-0317 0.0 NaN
CACM-2658 0.0 NaN
CACM-1050 0.0 NaN
CACM-2136 0.0 NaN
CACM-2574 0.0 NaN
CACM-1802 0.0 NaN
CACM-2048 0.0 NaN
CACM-2408 0.0 NaN
CACM-1923 0.0 NaN
CACM-1345 0.0 NaN
CACM-3108 0.0 NaN
CACM-1424 0.0 NaN
CACM-2258 0.0 NaN
CACM-1841 0.0 NaN
CACM-2665 0.0 NaN
CACM-1909 0.0 NaN
CACM-1657 0.0 NaN
CACM-2652 0.0 NaN
CACM-3151 0.0 NaN
CACM-1998 0.0 NaN
CACM-0973 0.0 NaN
CACM-3156 0.0 NaN
CACM-1852 0.0 NaN
CACM-2275 0.0 NaN
CACM-3013 0.0 NaN
CACM-1290 0.0 NaN
CACM-2279 0.0 NaN
CACM-2553 0.0 NaN
CACM-2502 0.0 NaN
CACM-2672 0.0 NaN
CACM-2899 0.0 NaN
CACM-0698 0.0 NaN
