P@5: 0.4
P@5: 0.1
CACM-2523 1.0 0.3333333333333333
CACM-2829 1.0 0.6666666666666666
CACM-2391 0.6666666666666666 0.6666666666666666
CACM-1679 0.5 0.6666666666666666
CACM-1780 0.4 0.6666666666666666
CACM-1917 0.3333333333333333 0.6666666666666666
CACM-1837 0.2857142857142857 0.6666666666666666
CACM-1921 0.25 0.6666666666666666
CACM-2848 0.2222222222222222 0.6666666666666666
CACM-1668 0.2 0.6666666666666666
CACM-1669 0.18181818181818182 0.6666666666666666
CACM-1686 0.16666666666666666 0.6666666666666666
CACM-0167 0.15384615384615385 0.6666666666666666
CACM-0085 0.14285714285714285 0.6666666666666666
CACM-2753 0.13333333333333333 0.6666666666666666
CACM-1796 0.125 0.6666666666666666
CACM-1660 0.11764705882352941 0.6666666666666666
CACM-1952 0.1111111111111111 0.6666666666666666
CACM-0260 0.10526315789473684 0.6666666666666666
CACM-0543 0.1 0.6666666666666666
CACM-0363 0.09523809523809523 0.6666666666666666
CACM-0150 0.09090909090909091 0.6666666666666666
CACM-0176 0.08695652173913043 0.6666666666666666
CACM-0246 0.08333333333333333 0.6666666666666666
CACM-0654 0.08 0.6666666666666666
CACM-1078 0.07692307692307693 0.6666666666666666
CACM-1176 0.07407407407407407 0.6666666666666666
CACM-0126 0.07142857142857142 0.6666666666666666
CACM-0515 0.06896551724137931 0.6666666666666666
CACM-2815 0.06666666666666667 0.6666666666666666
CACM-0204 0.06451612903225806 0.6666666666666666
CACM-1578 0.0625 0.6666666666666666
CACM-1598 0.06060606060606061 0.6666666666666666
CACM-1640 0.058823529411764705 0.6666666666666666
CACM-2024 0.05714285714285714 0.6666666666666666
CACM-1799 0.05555555555555555 0.6666666666666666
CACM-0297 0.05405405405405406 0.6666666666666666
CACM-0932 0.05263157894736842 0.6666666666666666
CACM-2431 0.05128205128205128 0.6666666666666666
CACM-2345 0.05 0.6666666666666666
CACM-1914 0.04878048780487805 0.6666666666666666
CACM-2352 0.047619047619047616 0.6666666666666666
CACM-2101 0.046511627906976744 0.6666666666666666
CACM-0946 0.045454545454545456 0.6666666666666666
CACM-2825 0.044444444444444446 0.6666666666666666
CACM-1298 0.043478260869565216 0.6666666666666666
CACM-2069 0.0425531914893617 0.6666666666666666
CACM-1816 0.041666666666666664 0.6666666666666666
CACM-2729 0.04081632653061224 0.6666666666666666
CACM-1158 0.04 0.6666666666666666
CACM-0414 0.0392156862745098 0.6666666666666666
CACM-2866 0.038461538461538464 0.6666666666666666
CACM-1619 0.03773584905660377 0.6666666666666666
CACM-0209 0.037037037037037035 0.6666666666666666
CACM-0951 0.03636363636363636 0.6666666666666666
CACM-1043 0.03571428571428571 0.6666666666666666
CACM-0872 0.03508771929824561 0.6666666666666666
CACM-1121 0.034482758620689655 0.6666666666666666
CACM-0429 0.03389830508474576 0.6666666666666666
CACM-1440 0.03333333333333333 0.6666666666666666
CACM-2050 0.03278688524590164 0.6666666666666666
CACM-3009 0.03225806451612903 0.6666666666666666
CACM-0850 0.031746031746031744 0.6666666666666666
CACM-0561 0.03125 0.6666666666666666
CACM-1809 0.03076923076923077 0.6666666666666666
CACM-1732 0.030303030303030304 0.6666666666666666
CACM-1823 0.029850746268656716 0.6666666666666666
CACM-2704 0.029411764705882353 0.6666666666666666
CACM-1782 0.028985507246376812 0.6666666666666666
CACM-1801 0.02857142857142857 0.6666666666666666
CACM-1802 0.028169014084507043 0.6666666666666666
CACM-1034 0.027777777777777776 0.6666666666666666
CACM-2923 0.0273972602739726 0.6666666666666666
CACM-2286 0.02702702702702703 0.6666666666666666
CACM-0633 0.02666666666666667 0.6666666666666666
CACM-0329 0.02631578947368421 0.6666666666666666
CACM-1529 0.025974025974025976 0.6666666666666666
CACM-1196 0.02564102564102564 0.6666666666666666
CACM-0086 0.02531645569620253 0.6666666666666666
CACM-3015 0.025 0.6666666666666666
CACM-0059 0.024691358024691357 0.6666666666666666
CACM-0070 0.024390243902439025 0.6666666666666666
CACM-3090 0.024096385542168676 0.6666666666666666
CACM-1725 0.023809523809523808 0.6666666666666666
CACM-0084 0.023529411764705882 0.6666666666666666
CACM-2805 0.023255813953488372 0.6666666666666666
CACM-1750 0.022988505747126436 0.6666666666666666
CACM-2699 0.022727272727272728 0.6666666666666666
CACM-3118 0.02247191011235955 0.6666666666666666
CACM-2827 0.03333333333333333 1.0
CACM-2306 0.03296703296703297 1.0
CACM-3108 0.03260869565217391 1.0
CACM-1182 0.03225806451612903 1.0
CACM-1305 0.031914893617021274 1.0
CACM-1030 0.031578947368421054 1.0
CACM-2875 0.03125 1.0
CACM-1173 0.030927835051546393 1.0
CACM-1629 0.030612244897959183 1.0
CACM-2129 0.030303030303030304 1.0
CACM-0278 0.03 1.0
