P@5: 0.0
P@5: 0.0
CACM-1046 0.0 NaN
CACM-2925 0.0 NaN
CACM-0397 0.0 NaN
CACM-2406 0.0 NaN
CACM-1484 0.0 NaN
CACM-1862 0.0 NaN
CACM-1453 0.0 NaN
CACM-2816 0.0 NaN
CACM-2906 0.0 NaN
CACM-0695 0.0 NaN
CACM-2244 0.0 NaN
CACM-2243 0.0 NaN
CACM-2241 0.0 NaN
CACM-2242 0.0 NaN
CACM-0195 0.0 NaN
CACM-0183 0.0 NaN
CACM-0977 0.0 NaN
CACM-0560 0.0 NaN
CACM-2672 0.0 NaN
CACM-0005 0.0 NaN
CACM-0235 0.0 NaN
CACM-0393 0.0 NaN
CACM-0141 0.0 NaN
CACM-0138 0.0 NaN
CACM-0170 0.0 NaN
CACM-1757 0.0 NaN
CACM-0394 0.0 NaN
CACM-1302 0.0 NaN
CACM-0528 0.0 NaN
CACM-1780 0.0 NaN
CACM-1118 0.0 NaN
CACM-2117 0.0 NaN
CACM-2573 0.0 NaN
CACM-0998 0.0 NaN
CACM-0827 0.0 NaN
CACM-0555 0.0 NaN
CACM-1660 0.0 NaN
CACM-1952 0.0 NaN
CACM-0135 0.0 NaN
CACM-0148 0.0 NaN
CACM-0526 0.0 NaN
CACM-0928 0.0 NaN
CACM-0047 0.0 NaN
CACM-0572 0.0 NaN
CACM-0072 0.0 NaN
CACM-0157 0.0 NaN
CACM-0433 0.0 NaN
CACM-0682 0.0 NaN
CACM-0820 0.0 NaN
CACM-0943 0.0 NaN
CACM-1119 0.0 NaN
CACM-0771 0.0 NaN
CACM-1361 0.0 NaN
CACM-0347 0.0 NaN
CACM-0012 0.0 NaN
CACM-0171 0.0 NaN
CACM-0434 0.0 NaN
CACM-0571 0.0 NaN
CACM-0672 0.0 NaN
CACM-3186 0.0 NaN
CACM-0343 0.0 NaN
CACM-2121 0.0 NaN
CACM-2614 0.0 NaN
CACM-0085 0.0 NaN
CACM-0108 0.0 NaN
CACM-2660 0.0 NaN
CACM-0636 0.0 NaN
CACM-0208 0.0 NaN
CACM-1104 0.0 NaN
CACM-0206 0.0 NaN
CACM-2551 0.0 NaN
CACM-2658 0.0 NaN
CACM-2022 0.0 NaN
CACM-0791 0.0 NaN
CACM-0986 0.0 NaN
CACM-0690 0.0 NaN
CACM-0907 0.0 NaN
CACM-1965 0.0 NaN
CACM-1096 0.0 NaN
CACM-1967 0.0 NaN
CACM-2416 0.0 NaN
CACM-2976 0.0 NaN
CACM-0273 0.0 NaN
CACM-2120 0.0 NaN
CACM-2057 0.0 NaN
CACM-0720 0.0 NaN
CACM-0399 0.0 NaN
CACM-1244 0.0 NaN
CACM-0945 0.0 NaN
CACM-2844 0.0 NaN
CACM-1138 0.0 NaN
CACM-0642 0.0 NaN
CACM-0463 0.0 NaN
CACM-1140 0.0 NaN
CACM-0597 0.0 NaN
CACM-0785 0.0 NaN
CACM-2102 0.0 NaN
CACM-2975 0.0 NaN
CACM-0474 0.0 NaN
CACM-1734 0.0 NaN
