P@5: 0.2
P@5: 0.05
CACM-2319 0.0 0.0
CACM-1410 0.5 1.0
CACM-2764 0.3333333333333333 1.0
CACM-1685 0.25 1.0
CACM-2541 0.2 1.0
CACM-0397 0.16666666666666666 1.0
CACM-1046 0.14285714285714285 1.0
CACM-1698 0.125 1.0
CACM-2438 0.1111111111111111 1.0
CACM-2390 0.1 1.0
CACM-1697 0.09090909090909091 1.0
CACM-2371 0.08333333333333333 1.0
CACM-2187 0.07692307692307693 1.0
CACM-1828 0.07142857142857142 1.0
CACM-2989 0.06666666666666667 1.0
CACM-0435 0.0625 1.0
CACM-1844 0.058823529411764705 1.0
CACM-2305 0.05555555555555555 1.0
CACM-0615 0.05263157894736842 1.0
CACM-0971 0.05 1.0
CACM-2666 0.047619047619047616 1.0
CACM-1455 0.045454545454545456 1.0
CACM-2380 0.043478260869565216 1.0
CACM-2951 0.041666666666666664 1.0
CACM-2915 0.04 1.0
CACM-3065 0.038461538461538464 1.0
CACM-2629 0.037037037037037035 1.0
CACM-2537 0.03571428571428571 1.0
CACM-1526 0.034482758620689655 1.0
CACM-2340 0.03333333333333333 1.0
CACM-2893 0.03225806451612903 1.0
CACM-0265 0.03125 1.0
CACM-2931 0.030303030303030304 1.0
CACM-3025 0.029411764705882353 1.0
CACM-3048 0.02857142857142857 1.0
CACM-3105 0.027777777777777776 1.0
CACM-0759 0.02702702702702703 1.0
CACM-3047 0.02631578947368421 1.0
CACM-2312 0.02564102564102564 1.0
CACM-1752 0.025 1.0
CACM-2580 0.024390243902439025 1.0
CACM-2313 0.023809523809523808 1.0
CACM-3011 0.023255813953488372 1.0
CACM-1588 0.022727272727272728 1.0
CACM-1755 0.022222222222222223 1.0
CACM-2374 0.021739130434782608 1.0
CACM-3142 0.02127659574468085 1.0
CACM-2802 0.020833333333333332 1.0
CACM-1168 0.02040816326530612 1.0
CACM-2864 0.02 1.0
CACM-3069 0.0196078431372549 1.0
CACM-2876 0.019230769230769232 1.0
CACM-1413 0.018867924528301886 1.0
CACM-2572 0.018518518518518517 1.0
CACM-0718 0.01818181818181818 1.0
CACM-2522 0.017857142857142856 1.0
CACM-1248 0.017543859649122806 1.0
CACM-1753 0.017241379310344827 1.0
CACM-2940 0.01694915254237288 1.0
CACM-2909 0.016666666666666666 1.0
CACM-3173 0.01639344262295082 1.0
CACM-3050 0.016129032258064516 1.0
CACM-2987 0.015873015873015872 1.0
CACM-1746 0.015625 1.0
CACM-1470 0.015384615384615385 1.0
CACM-1625 0.015151515151515152 1.0
CACM-2927 0.014925373134328358 1.0
CACM-1280 0.014705882352941176 1.0
CACM-0195 0.014492753623188406 1.0
CACM-0248 0.014285714285714285 1.0
CACM-2835 0.014084507042253521 1.0
CACM-2578 0.013888888888888888 1.0
CACM-1383 0.0136986301369863 1.0
CACM-2871 0.013513513513513514 1.0
CACM-2375 0.013333333333333334 1.0
CACM-2796 0.013157894736842105 1.0
CACM-1719 0.012987012987012988 1.0
CACM-2938 0.01282051282051282 1.0
CACM-3179 0.012658227848101266 1.0
CACM-2624 0.0125 1.0
CACM-0135 0.012345679012345678 1.0
CACM-0148 0.012195121951219513 1.0
CACM-0157 0.012048192771084338 1.0
CACM-0171 0.011904761904761904 1.0
CACM-2867 0.011764705882352941 1.0
CACM-0031 0.011627906976744186 1.0
CACM-0006 0.011494252873563218 1.0
CACM-1482 0.011363636363636364 1.0
CACM-0061 0.011235955056179775 1.0
CACM-0118 0.011111111111111112 1.0
CACM-0818 0.01098901098901099 1.0
CACM-0415 0.010869565217391304 1.0
CACM-1107 0.010752688172043012 1.0
CACM-0143 0.010638297872340425 1.0
CACM-0674 0.010526315789473684 1.0
CACM-2303 0.010416666666666666 1.0
CACM-2756 0.010309278350515464 1.0
CACM-0098 0.01020408163265306 1.0
CACM-2607 0.010101010101010102 1.0
CACM-1461 0.01 1.0
