P@5: 0.0
P@5: 0.3
CACM-1144 0.0 0.0
CACM-1623 0.0 0.0
CACM-1014 0.0 0.0
CACM-1397 0.0 0.0
CACM-1867 0.0 0.0
CACM-2473 0.16666666666666666 0.14285714285714285
CACM-0266 0.14285714285714285 0.14285714285714285
CACM-2384 0.25 0.2857142857142857
CACM-2441 0.3333333333333333 0.42857142857142855
CACM-2638 0.4 0.5714285714285714
CACM-2564 0.45454545454545453 0.7142857142857143
CACM-2637 0.5 0.8571428571428571
CACM-2350 0.46153846153846156 0.8571428571428571
CACM-2676 0.42857142857142855 0.8571428571428571
CACM-3044 0.4 0.8571428571428571
CACM-0760 0.375 0.8571428571428571
CACM-1057 0.35294117647058826 0.8571428571428571
CACM-1582 0.3333333333333333 0.8571428571428571
CACM-0200 0.3157894736842105 0.8571428571428571
CACM-0201 0.3 0.8571428571428571
CACM-1378 0.2857142857142857 0.8571428571428571
CACM-1371 0.2727272727272727 0.8571428571428571
CACM-1574 0.2608695652173913 0.8571428571428571
CACM-1575 0.25 0.8571428571428571
CACM-1579 0.24 0.8571428571428571
CACM-1580 0.23076923076923078 0.8571428571428571
CACM-1585 0.2222222222222222 0.8571428571428571
CACM-1895 0.21428571428571427 0.8571428571428571
CACM-1881 0.20689655172413793 0.8571428571428571
CACM-1606 0.2 0.8571428571428571
CACM-1583 0.1935483870967742 0.8571428571428571
CACM-1581 0.1875 0.8571428571428571
CACM-1190 0.18181818181818182 0.8571428571428571
CACM-2007 0.17647058823529413 0.8571428571428571
CACM-1342 0.17142857142857143 0.8571428571428571
CACM-1660 0.16666666666666666 0.8571428571428571
CACM-1952 0.16216216216216217 0.8571428571428571
CACM-0804 0.15789473684210525 0.8571428571428571
CACM-1374 0.15384615384615385 0.8571428571428571
CACM-0584 0.15 0.8571428571428571
CACM-1953 0.14634146341463414 0.8571428571428571
CACM-1851 0.14285714285714285 0.8571428571428571
CACM-2362 0.13953488372093023 0.8571428571428571
CACM-2647 0.13636363636363635 0.8571428571428571
CACM-0188 0.13333333333333333 0.8571428571428571
CACM-2222 0.13043478260869565 0.8571428571428571
CACM-2553 0.1276595744680851 0.8571428571428571
CACM-2672 0.125 0.8571428571428571
CACM-1000 0.12244897959183673 0.8571428571428571
CACM-0037 0.12 0.8571428571428571
CACM-0237 0.11764705882352941 0.8571428571428571
CACM-0725 0.11538461538461539 0.8571428571428571
CACM-0998 0.11320754716981132 0.8571428571428571
CACM-2503 0.1111111111111111 0.8571428571428571
CACM-3029 0.10909090909090909 0.8571428571428571
CACM-2755 0.10714285714285714 0.8571428571428571
CACM-0022 0.10526315789473684 0.8571428571428571
CACM-0997 0.10344827586206896 0.8571428571428571
CACM-2086 0.1016949152542373 0.8571428571428571
CACM-0217 0.1 0.8571428571428571
CACM-1208 0.09836065573770492 0.8571428571428571
CACM-2875 0.0967741935483871 0.8571428571428571
CACM-2041 0.09523809523809523 0.8571428571428571
CACM-2329 0.09375 0.8571428571428571
CACM-2303 0.09230769230769231 0.8571428571428571
CACM-0557 0.09090909090909091 0.8571428571428571
CACM-3123 0.08955223880597014 0.8571428571428571
CACM-0931 0.08823529411764706 0.8571428571428571
CACM-0859 0.08695652173913043 0.8571428571428571
CACM-2573 0.08571428571428572 0.8571428571428571
CACM-2221 0.08450704225352113 0.8571428571428571
CACM-0452 0.08333333333333333 0.8571428571428571
CACM-1584 0.0821917808219178 0.8571428571428571
CACM-2678 0.0945945945945946 1.0
CACM-1373 0.09333333333333334 1.0
CACM-0225 0.09210526315789473 1.0
CACM-0676 0.09090909090909091 1.0
CACM-2199 0.08974358974358974 1.0
CACM-2392 0.08860759493670886 1.0
CACM-2214 0.0875 1.0
CACM-2129 0.08641975308641975 1.0
CACM-2117 0.08536585365853659 1.0
CACM-0986 0.08433734939759036 1.0
CACM-1757 0.08333333333333333 1.0
CACM-0029 0.08235294117647059 1.0
CACM-0009 0.08139534883720931 1.0
CACM-0034 0.08045977011494253 1.0
CACM-0154 0.07954545454545454 1.0
CACM-0490 0.07865168539325842 1.0
CACM-0908 0.07777777777777778 1.0
CACM-1276 0.07692307692307693 1.0
CACM-0028 0.07608695652173914 1.0
CACM-0815 0.07526881720430108 1.0
CACM-0816 0.07446808510638298 1.0
CACM-0910 0.07368421052631578 1.0
CACM-1058 0.07291666666666667 1.0
CACM-1064 0.07216494845360824 1.0
CACM-1289 0.07142857142857142 1.0
CACM-1414 0.0707070707070707 1.0
CACM-1701 0.07 1.0
