P@5: 0.4
P@5: 0.1
CACM-1287 0.0 0.0
CACM-2974 0.0 0.0
CACM-2789 0.0 0.0
CACM-1830 0.25 0.5
CACM-2641 0.4 1.0
CACM-1881 0.3333333333333333 1.0
CACM-2333 0.2857142857142857 1.0
CACM-1597 0.25 1.0
CACM-2057 0.2222222222222222 1.0
CACM-1151 0.2 1.0
CACM-2067 0.18181818181818182 1.0
CACM-0635 0.16666666666666666 1.0
CACM-0240 0.15384615384615385 1.0
CACM-0399 0.14285714285714285 1.0
CACM-1814 0.13333333333333333 1.0
CACM-1715 0.125 1.0
CACM-1815 0.11764705882352941 1.0
CACM-2192 0.1111111111111111 1.0
CACM-0838 0.10526315789473684 1.0
CACM-2381 0.1 1.0
CACM-1372 0.09523809523809523 1.0
CACM-2014 0.09090909090909091 1.0
CACM-2293 0.08695652173913043 1.0
CACM-2157 0.08333333333333333 1.0
CACM-0798 0.08 1.0
CACM-2577 0.07692307692307693 1.0
CACM-1831 0.07407407407407407 1.0
CACM-2394 0.07142857142857142 1.0
CACM-2257 0.06896551724137931 1.0
CACM-2530 0.06666666666666667 1.0
CACM-2879 0.06451612903225806 1.0
CACM-0081 0.0625 1.0
CACM-0465 0.06060606060606061 1.0
CACM-1123 0.058823529411764705 1.0
CACM-0195 0.05714285714285714 1.0
CACM-0486 0.05555555555555555 1.0
CACM-0701 0.05405405405405406 1.0
CACM-0712 0.05263157894736842 1.0
CACM-0713 0.05128205128205128 1.0
CACM-0744 0.05 1.0
CACM-0467 0.04878048780487805 1.0
CACM-0706 0.047619047619047616 1.0
CACM-1156 0.046511627906976744 1.0
CACM-1244 0.045454545454545456 1.0
CACM-0129 0.044444444444444446 1.0
CACM-0608 0.043478260869565216 1.0
CACM-2854 0.0425531914893617 1.0
CACM-0571 0.041666666666666664 1.0
CACM-0672 0.04081632653061224 1.0
CACM-1479 0.04 1.0
CACM-0968 0.0392156862745098 1.0
CACM-1992 0.038461538461538464 1.0
CACM-1478 0.03773584905660377 1.0
CACM-0108 0.037037037037037035 1.0
CACM-0361 0.03636363636363636 1.0
CACM-0481 0.03571428571428571 1.0
CACM-0612 0.03508771929824561 1.0
CACM-0184 0.034482758620689655 1.0
CACM-2418 0.03389830508474576 1.0
CACM-2098 0.03333333333333333 1.0
CACM-2660 0.03278688524590164 1.0
CACM-1104 0.03225806451612903 1.0
CACM-1986 0.031746031746031744 1.0
CACM-1899 0.03125 1.0
CACM-0490 0.03076923076923077 1.0
CACM-0152 0.030303030303030304 1.0
CACM-2391 0.029850746268656716 1.0
CACM-2548 0.029411764705882353 1.0
CACM-0570 0.028985507246376812 1.0
CACM-2690 0.02857142857142857 1.0
CACM-0273 0.028169014084507043 1.0
CACM-1880 0.027777777777777776 1.0
CACM-3126 0.0273972602739726 1.0
CACM-1987 0.02702702702702703 1.0
CACM-2844 0.02666666666666667 1.0
CACM-1982 0.02631578947368421 1.0
CACM-2040 0.025974025974025976 1.0
CACM-1971 0.02564102564102564 1.0
CACM-1970 0.02531645569620253 1.0
CACM-0140 0.025 1.0
CACM-1289 0.024691358024691357 1.0
CACM-1508 0.024390243902439025 1.0
CACM-1773 0.024096385542168676 1.0
CACM-1442 0.023809523809523808 1.0
CACM-1509 0.023529411764705882 1.0
CACM-0792 0.023255813953488372 1.0
CACM-0208 0.022988505747126436 1.0
CACM-0827 0.022727272727272728 1.0
CACM-0797 0.02247191011235955 1.0
CACM-2551 0.022222222222222223 1.0
CACM-0690 0.02197802197802198 1.0
CACM-0986 0.021739130434782608 1.0
CACM-2658 0.021505376344086023 1.0
CACM-0657 0.02127659574468085 1.0
CACM-1050 0.021052631578947368 1.0
CACM-2532 0.020833333333333332 1.0
CACM-2574 0.020618556701030927 1.0
CACM-2992 0.02040816326530612 1.0
CACM-0961 0.020202020202020204 1.0
CACM-2412 0.02 1.0
