P@5: 0.0
P@5: 0.0
CACM-2995 0.0 NaN
CACM-2278 0.0 NaN
CACM-2689 0.0 NaN
CACM-1097 0.0 NaN
CACM-2069 0.0 NaN
CACM-1830 0.0 NaN
CACM-2690 0.0 NaN
CACM-0275 0.0 NaN
CACM-2070 0.0 NaN
CACM-0292 0.0 NaN
CACM-0798 0.0 NaN
CACM-1831 0.0 NaN
CACM-2394 0.0 NaN
CACM-1923 0.0 NaN
CACM-2530 0.0 NaN
CACM-0269 0.0 NaN
CACM-1837 0.0 NaN
CACM-1921 0.0 NaN
CACM-1971 0.0 NaN
CACM-1970 0.0 NaN
CACM-2329 0.0 NaN
CACM-1289 0.0 NaN
CACM-1508 0.0 NaN
CACM-1773 0.0 NaN
CACM-1442 0.0 NaN
CACM-1509 0.0 NaN
CACM-0208 0.0 NaN
CACM-0797 0.0 NaN
CACM-0986 0.0 NaN
CACM-0657 0.0 NaN
CACM-2532 0.0 NaN
CACM-2412 0.0 NaN
CACM-2258 0.0 NaN
CACM-0987 0.0 NaN
CACM-2552 0.0 NaN
CACM-2577 0.0 NaN
CACM-2976 0.0 NaN
CACM-0135 0.0 NaN
CACM-0148 0.0 NaN
CACM-0526 0.0 NaN
CACM-0928 0.0 NaN
CACM-0072 0.0 NaN
CACM-0157 0.0 NaN
CACM-0433 0.0 NaN
CACM-0682 0.0 NaN
CACM-0820 0.0 NaN
CACM-0943 0.0 NaN
CACM-1244 0.0 NaN
CACM-0173 0.0 NaN
CACM-0770 0.0 NaN
CACM-0771 0.0 NaN
CACM-0906 0.0 NaN
CACM-1192 0.0 NaN
CACM-1361 0.0 NaN
CACM-0012 0.0 NaN
CACM-0038 0.0 NaN
CACM-0171 0.0 NaN
CACM-0434 0.0 NaN
CACM-0571 0.0 NaN
CACM-0672 0.0 NaN
CACM-0331 0.0 NaN
CACM-1545 0.0 NaN
CACM-0166 0.0 NaN
CACM-0343 0.0 NaN
CACM-0383 0.0 NaN
CACM-0529 0.0 NaN
CACM-2121 0.0 NaN
CACM-2818 0.0 NaN
CACM-0041 0.0 NaN
CACM-0085 0.0 NaN
CACM-0108 0.0 NaN
CACM-0606 0.0 NaN
CACM-0184 0.0 NaN
CACM-0636 0.0 NaN
CACM-0090 0.0 NaN
CACM-2328 0.0 NaN
CACM-3017 0.0 NaN
CACM-1104 0.0 NaN
CACM-2975 0.0 NaN
CACM-0206 0.0 NaN
CACM-0488 0.0 NaN
CACM-2551 0.0 NaN
CACM-2022 0.0 NaN
CACM-0791 0.0 NaN
CACM-2576 0.0 NaN
CACM-1367 0.0 NaN
CACM-0474 0.0 NaN
CACM-0907 0.0 NaN
CACM-2416 0.0 NaN
CACM-0192 0.0 NaN
CACM-0273 0.0 NaN
CACM-0961 0.0 NaN
CACM-0690 0.0 NaN
CACM-2290 0.0 NaN
CACM-2057 0.0 NaN
CACM-1073 0.0 NaN
CACM-0720 0.0 NaN
CACM-1338 0.0 NaN
CACM-0399 0.0 NaN
CACM-2813 0.0 NaN
