P@5: 0.0
P@5: 0.05
CACM-2577 0.0 0.0
CACM-2583 0.0 0.0
CACM-1461 0.0 0.0
CACM-2796 0.0 0.0
CACM-2362 0.0 0.0
CACM-2818 0.16666666666666666 0.5
CACM-1830 0.14285714285714285 0.5
CACM-1050 0.125 0.5
CACM-3063 0.1111111111111111 0.5
CACM-1917 0.1 0.5
CACM-1668 0.09090909090909091 0.5
CACM-1669 0.08333333333333333 0.5
CACM-0597 0.07692307692307693 0.5
CACM-2995 0.07142857142857142 0.5
CACM-2689 0.06666666666666667 0.5
CACM-1097 0.0625 0.5
CACM-2690 0.058823529411764705 0.5
CACM-0618 0.05555555555555555 0.5
CACM-1923 0.05263157894736842 0.5
CACM-1043 0.05 0.5
CACM-0795 0.047619047619047616 0.5
CACM-2329 0.045454545454545456 0.5
CACM-1489 0.043478260869565216 0.5
CACM-2345 0.041666666666666664 0.5
CACM-2069 0.04 0.5
CACM-1001 0.038461538461538464 0.5
CACM-2306 0.037037037037037035 0.5
CACM-2705 0.03571428571428571 0.5
CACM-2399 0.034482758620689655 0.5
CACM-1541 0.03333333333333333 0.5
CACM-1404 0.03225806451612903 0.5
CACM-3086 0.03125 0.5
CACM-1650 0.030303030303030304 0.5
CACM-2494 0.029411764705882353 0.5
CACM-0070 0.02857142857142857 0.5
CACM-1925 0.027777777777777776 0.5
CACM-2805 0.02702702702702703 0.5
CACM-2887 0.02631578947368421 0.5
CACM-2699 0.02564102564102564 0.5
CACM-2486 0.025 0.5
CACM-1427 0.024390243902439025 0.5
CACM-1724 0.023809523809523808 0.5
CACM-1632 0.023255813953488372 0.5
CACM-2827 0.022727272727272728 0.5
CACM-2916 0.022222222222222223 0.5
CACM-3108 0.021739130434782608 0.5
CACM-0671 0.02127659574468085 0.5
CACM-1031 0.020833333333333332 0.5
CACM-1182 0.02040816326530612 0.5
CACM-1305 0.02 0.5
CACM-1383 0.0196078431372549 0.5
CACM-1325 0.019230769230769232 0.5
CACM-2197 0.018867924528301886 0.5
CACM-2875 0.018518518518518517 0.5
CACM-2990 0.01818181818181818 0.5
CACM-3160 0.017857142857142856 0.5
CACM-1173 0.017543859649122806 0.5
CACM-1629 0.017241379310344827 0.5
CACM-2129 0.01694915254237288 0.5
CACM-0278 0.016666666666666666 0.5
CACM-3135 0.01639344262295082 0.5
CACM-1501 0.016129032258064516 0.5
CACM-1230 0.015873015873015872 0.5
CACM-1726 0.015625 0.5
CACM-1474 0.015384615384615385 0.5
CACM-1722 0.015151515151515152 0.5
CACM-2980 0.014925373134328358 0.5
CACM-1567 0.014705882352941176 0.5
CACM-2889 0.014492753623188406 0.5
CACM-1169 0.014285714285714285 0.5
CACM-1770 0.014084507042253521 0.5
CACM-1527 0.013888888888888888 0.5
CACM-1003 0.0136986301369863 0.5
CACM-2848 0.013513513513513514 0.5
CACM-1727 0.013333333333333334 0.5
CACM-2568 0.013157894736842105 0.5
CACM-2746 0.012987012987012988 0.5
CACM-2772 0.01282051282051282 0.5
CACM-0963 0.012658227848101266 0.5
CACM-1855 0.0125 0.5
CACM-0462 0.012345679012345678 0.5
CACM-1974 0.012195121951219513 0.5
CACM-2264 0.012048192771084338 0.5
CACM-2829 0.011904761904761904 0.5
CACM-0536 0.011764705882352941 0.5
CACM-1643 0.011627906976744186 0.5
CACM-1553 0.011494252873563218 0.5
CACM-2937 0.011363636363636364 0.5
CACM-1694 0.011235955056179775 0.5
CACM-2720 0.011111111111111112 0.5
CACM-2554 0.01098901098901099 0.5
CACM-0973 0.010869565217391304 0.5
CACM-1445 0.010752688172043012 0.5
CACM-1279 0.010638297872340425 0.5
CACM-1206 0.010526315789473684 0.5
CACM-3036 0.010416666666666666 0.5
CACM-0759 0.010309278350515464 0.5
CACM-3078 0.01020408163265306 0.5
CACM-2207 0.010101010101010102 0.5
CACM-2560 0.02 1.0
