P@5: 0.2
P@5: 0.1
CACM-2811 0.0 0.0
CACM-2084 0.5 0.5
CACM-2476 0.3333333333333333 0.5
CACM-0204 0.25 0.5
CACM-2982 0.2 0.5
CACM-2788 0.16666666666666666 0.5
CACM-2910 0.14285714285714285 0.5
CACM-2603 0.125 0.5
CACM-1314 0.1111111111111111 0.5
CACM-2231 0.1 0.5
CACM-3183 0.09090909090909091 0.5
CACM-3013 0.08333333333333333 0.5
CACM-0940 0.07692307692307693 0.5
CACM-1642 0.07142857142857142 0.5
CACM-3058 0.06666666666666667 0.5
CACM-2733 0.125 1.0
CACM-1750 0.11764705882352941 1.0
CACM-2980 0.1111111111111111 1.0
CACM-2527 0.10526315789473684 1.0
CACM-1835 0.1 1.0
CACM-1152 0.09523809523809523 1.0
CACM-1588 0.09090909090909091 1.0
CACM-1043 0.08695652173913043 1.0
CACM-1188 0.08333333333333333 1.0
CACM-0944 0.08 1.0
CACM-0654 0.07692307692307693 1.0
CACM-2937 0.07407407407407407 1.0
CACM-1305 0.07142857142857142 1.0
CACM-2782 0.06896551724137931 1.0
CACM-0982 0.06666666666666667 1.0
CACM-2661 0.06451612903225806 1.0
CACM-0208 0.0625 1.0
CACM-2795 0.06060606060606061 1.0
CACM-2842 0.058823529411764705 1.0
CACM-2730 0.05714285714285714 1.0
CACM-2900 0.05555555555555555 1.0
CACM-2938 0.05405405405405406 1.0
CACM-0800 0.05263157894736842 1.0
CACM-2002 0.05128205128205128 1.0
CACM-0626 0.05 1.0
CACM-2647 0.04878048780487805 1.0
CACM-1025 0.047619047619047616 1.0
CACM-1168 0.046511627906976744 1.0
CACM-1001 0.045454545454545456 1.0
CACM-2486 0.044444444444444446 1.0
CACM-1413 0.043478260869565216 1.0
CACM-1216 0.0425531914893617 1.0
CACM-1767 0.041666666666666664 1.0
CACM-1861 0.04081632653061224 1.0
CACM-2684 0.04 1.0
CACM-0655 0.0392156862745098 1.0
CACM-2411 0.038461538461538464 1.0
CACM-1087 0.03773584905660377 1.0
CACM-1402 0.037037037037037035 1.0
CACM-0795 0.03636363636363636 1.0
CACM-2500 0.03571428571428571 1.0
CACM-2184 0.03508771929824561 1.0
CACM-2943 0.034482758620689655 1.0
CACM-3044 0.03389830508474576 1.0
CACM-1288 0.03333333333333333 1.0
CACM-2491 0.03278688524590164 1.0
CACM-0096 0.03225806451612903 1.0
CACM-2815 0.031746031746031744 1.0
CACM-1432 0.03125 1.0
CACM-0248 0.03076923076923077 1.0
CACM-1379 0.030303030303030304 1.0
CACM-2126 0.029850746268656716 1.0
CACM-2953 0.029411764705882353 1.0
CACM-2998 0.028985507246376812 1.0
CACM-1426 0.02857142857142857 1.0
CACM-1530 0.028169014084507043 1.0
CACM-3060 0.027777777777777776 1.0
CACM-1641 0.0273972602739726 1.0
CACM-2519 0.02702702702702703 1.0
CACM-1261 0.02666666666666667 1.0
CACM-1868 0.02631578947368421 1.0
CACM-1682 0.025974025974025976 1.0
CACM-1117 0.02564102564102564 1.0
CACM-1592 0.02531645569620253 1.0
CACM-0731 0.025 1.0
CACM-2899 0.024691358024691357 1.0
CACM-1625 0.024390243902439025 1.0
CACM-1948 0.024096385542168676 1.0
CACM-2561 0.023809523809523808 1.0
CACM-1877 0.023529411764705882 1.0
CACM-2036 0.023255813953488372 1.0
CACM-1359 0.022988505747126436 1.0
CACM-1630 0.022727272727272728 1.0
CACM-1380 0.02247191011235955 1.0
CACM-2148 0.022222222222222223 1.0
CACM-2016 0.02197802197802198 1.0
CACM-3026 0.021739130434782608 1.0
CACM-1623 0.021505376344086023 1.0
CACM-1489 0.02127659574468085 1.0
CACM-2967 0.021052631578947368 1.0
CACM-0615 0.020833333333333332 1.0
CACM-2097 0.020618556701030927 1.0
CACM-1927 0.02040816326530612 1.0
CACM-1764 0.020202020202020204 1.0
CACM-1358 0.02 1.0
