P@5: 0.8
P@5: 0.25
CACM-1947 1.0 0.16666666666666666
CACM-2495 1.0 0.3333333333333333
CACM-2897 1.0 0.5
CACM-1795 1.0 0.6666666666666666
CACM-3054 0.8 0.6666666666666666
CACM-1886 0.6666666666666666 0.6666666666666666
CACM-2904 0.5714285714285714 0.6666666666666666
CACM-0117 0.5 0.6666666666666666
CACM-2508 0.4444444444444444 0.6666666666666666
CACM-2290 0.4 0.6666666666666666
CACM-2524 0.36363636363636365 0.6666666666666666
CACM-3125 0.3333333333333333 0.6666666666666666
CACM-3154 0.3076923076923077 0.6666666666666666
CACM-2411 0.2857142857142857 0.6666666666666666
CACM-2491 0.26666666666666666 0.6666666666666666
CACM-3083 0.25 0.6666666666666666
CACM-1807 0.29411764705882354 0.8333333333333334
CACM-2533 0.2777777777777778 0.8333333333333334
CACM-2953 0.2631578947368421 0.8333333333333334
CACM-2834 0.25 0.8333333333333334
CACM-3066 0.23809523809523808 0.8333333333333334
CACM-1756 0.22727272727272727 0.8333333333333334
CACM-2877 0.21739130434782608 0.8333333333333334
CACM-2616 0.20833333333333334 0.8333333333333334
CACM-1564 0.2 0.8333333333333334
CACM-0104 0.19230769230769232 0.8333333333333334
CACM-1969 0.18518518518518517 0.8333333333333334
CACM-1187 0.17857142857142858 0.8333333333333334
CACM-3090 0.1724137931034483 0.8333333333333334
CACM-3070 0.16666666666666666 0.8333333333333334
CACM-1065 0.16129032258064516 0.8333333333333334
CACM-2253 0.15625 0.8333333333333334
CACM-2903 0.15151515151515152 0.8333333333333334
CACM-2272 0.14705882352941177 0.8333333333333334
CACM-3080 0.14285714285714285 0.8333333333333334
CACM-2437 0.1388888888888889 0.8333333333333334
CACM-0940 0.13513513513513514 0.8333333333333334
CACM-2801 0.13157894736842105 0.8333333333333334
CACM-1974 0.1282051282051282 0.8333333333333334
CACM-1587 0.125 0.8333333333333334
CACM-1901 0.12195121951219512 0.8333333333333334
CACM-1641 0.11904761904761904 0.8333333333333334
CACM-1670 0.11627906976744186 0.8333333333333334
CACM-2388 0.11363636363636363 0.8333333333333334
CACM-2888 0.1111111111111111 0.8333333333333334
CACM-2140 0.10869565217391304 0.8333333333333334
CACM-2052 0.10638297872340426 0.8333333333333334
CACM-2126 0.10416666666666667 0.8333333333333334
CACM-3173 0.10204081632653061 0.8333333333333334
CACM-0615 0.1 0.8333333333333334
CACM-2736 0.09803921568627451 0.8333333333333334
CACM-0696 0.09615384615384616 0.8333333333333334
CACM-2867 0.09433962264150944 0.8333333333333334
CACM-1753 0.09259259259259259 0.8333333333333334
CACM-2911 0.09090909090909091 0.8333333333333334
CACM-2500 0.08928571428571429 0.8333333333333334
CACM-2107 0.08771929824561403 0.8333333333333334
CACM-2552 0.08620689655172414 0.8333333333333334
CACM-3033 0.0847457627118644 0.8333333333333334
CACM-2944 0.08333333333333333 0.8333333333333334
CACM-2820 0.08196721311475409 0.8333333333333334
CACM-2464 0.08064516129032258 0.8333333333333334
CACM-2770 0.07936507936507936 0.8333333333333334
CACM-2680 0.078125 0.8333333333333334
CACM-2622 0.07692307692307693 0.8333333333333334
CACM-2740 0.07575757575757576 0.8333333333333334
CACM-2453 0.07462686567164178 0.8333333333333334
CACM-2611 0.07352941176470588 0.8333333333333334
CACM-2835 0.07246376811594203 0.8333333333333334
CACM-1973 0.07142857142857142 0.8333333333333334
CACM-2858 0.07042253521126761 0.8333333333333334
CACM-2133 0.06944444444444445 0.8333333333333334
CACM-1362 0.0684931506849315 0.8333333333333334
CACM-2812 0.06756756756756757 0.8333333333333334
CACM-0048 0.06666666666666667 0.8333333333333334
CACM-1223 0.07894736842105263 1.0
CACM-0693 0.07792207792207792 1.0
CACM-1757 0.07692307692307693 1.0
CACM-1655 0.0759493670886076 1.0
CACM-0066 0.075 1.0
CACM-2134 0.07407407407407407 1.0
CACM-2195 0.07317073170731707 1.0
CACM-1658 0.07228915662650602 1.0
CACM-2969 0.07142857142857142 1.0
CACM-1064 0.07058823529411765 1.0
CACM-1289 0.06976744186046512 1.0
CACM-1414 0.06896551724137931 1.0
CACM-2000 0.06818181818181818 1.0
CACM-1195 0.06741573033707865 1.0
CACM-0230 0.06666666666666667 1.0
CACM-1275 0.06593406593406594 1.0
CACM-1331 0.06521739130434782 1.0
CACM-1719 0.06451612903225806 1.0
CACM-2586 0.06382978723404255 1.0
CACM-2570 0.06315789473684211 1.0
CACM-2748 0.0625 1.0
CACM-0797 0.061855670103092786 1.0
CACM-1204 0.061224489795918366 1.0
CACM-2929 0.06060606060606061 1.0
CACM-1066 0.06 1.0
