P@5: 0.0
P@5: 0.05
CACM-2142 0.0 0.0
CACM-1350 0.0 0.0
CACM-2396 0.0 0.0
CACM-2020 0.0 0.0
CACM-2786 0.0 0.0
CACM-2188 0.0 0.0
CACM-2931 0.0 0.0
CACM-3013 0.0 0.0
CACM-3047 0.1111111111111111 1.0
CACM-3033 0.1 1.0
CACM-2972 0.09090909090909091 1.0
CACM-2283 0.08333333333333333 1.0
CACM-1608 0.07692307692307693 1.0
CACM-1589 0.07142857142857142 1.0
CACM-1433 0.06666666666666667 1.0
CACM-1846 0.0625 1.0
CACM-2750 0.058823529411764705 1.0
CACM-1878 0.05555555555555555 1.0
CACM-1698 0.05263157894736842 1.0
CACM-0527 0.05 1.0
CACM-3157 0.047619047619047616 1.0
CACM-1381 0.045454545454545456 1.0
CACM-3132 0.043478260869565216 1.0
CACM-2819 0.041666666666666664 1.0
CACM-0397 0.04 1.0
CACM-1862 0.038461538461538464 1.0
CACM-2890 0.037037037037037035 1.0
CACM-0531 0.03571428571428571 1.0
CACM-1253 0.034482758620689655 1.0
CACM-1046 0.03333333333333333 1.0
CACM-1327 0.03225806451612903 1.0
CACM-2925 0.03125 1.0
CACM-2065 0.030303030303030304 1.0
CACM-1543 0.029411764705882353 1.0
CACM-0078 0.02857142857142857 1.0
CACM-2989 0.027777777777777776 1.0
CACM-1197 0.02702702702702703 1.0
CACM-0670 0.02631578947368421 1.0
CACM-3015 0.02564102564102564 1.0
CACM-2081 0.025 1.0
CACM-3054 0.024390243902439025 1.0
CACM-2402 0.023809523809523808 1.0
CACM-1491 0.023255813953488372 1.0
CACM-1721 0.022727272727272728 1.0
CACM-0894 0.022222222222222223 1.0
CACM-1415 0.021739130434782608 1.0
CACM-2227 0.02127659574468085 1.0
CACM-3200 0.020833333333333332 1.0
CACM-2174 0.02040816326530612 1.0
CACM-0695 0.02 1.0
CACM-3156 0.0196078431372549 1.0
CACM-2733 0.019230769230769232 1.0
CACM-3139 0.018867924528301886 1.0
CACM-1602 0.018518518518518517 1.0
CACM-3037 0.01818181818181818 1.0
CACM-2524 0.017857142857142856 1.0
CACM-1172 0.017543859649122806 1.0
CACM-1961 0.017241379310344827 1.0
CACM-1147 0.01694915254237288 1.0
CACM-2155 0.016666666666666666 1.0
CACM-2859 0.01639344262295082 1.0
CACM-2450 0.016129032258064516 1.0
CACM-1988 0.015873015873015872 1.0
CACM-2217 0.015625 1.0
CACM-3057 0.015384615384615385 1.0
CACM-2406 0.015151515151515152 1.0
CACM-2906 0.014925373134328358 1.0
CACM-2650 0.014705882352941176 1.0
CACM-2370 0.014492753623188406 1.0
CACM-0644 0.014285714285714285 1.0
CACM-3059 0.014084507042253521 1.0
CACM-2816 0.013888888888888888 1.0
CACM-1307 0.0136986301369863 1.0
CACM-2944 0.013513513513513514 1.0
CACM-3036 0.013333333333333334 1.0
CACM-2820 0.013157894736842105 1.0
CACM-0615 0.012987012987012988 1.0
CACM-0867 0.01282051282051282 1.0
CACM-3024 0.012658227848101266 1.0
CACM-1235 0.0125 1.0
CACM-2152 0.012345679012345678 1.0
CACM-2305 0.012195121951219513 1.0
CACM-1484 0.012048192771084338 1.0
CACM-0972 0.011904761904761904 1.0
CACM-3085 0.011764705882352941 1.0
CACM-2827 0.011627906976744186 1.0
CACM-1453 0.011494252873563218 1.0
CACM-3117 0.011363636363636364 1.0
CACM-1891 0.011235955056179775 1.0
CACM-1169 0.011111111111111112 1.0
CACM-2359 0.01098901098901099 1.0
CACM-1652 0.010869565217391304 1.0
CACM-1695 0.010752688172043012 1.0
CACM-1359 0.010638297872340425 1.0
CACM-1637 0.010526315789473684 1.0
CACM-3152 0.010416666666666666 1.0
CACM-1489 0.010309278350515464 1.0
CACM-2324 0.01020408163265306 1.0
CACM-1506 0.010101010101010102 1.0
CACM-1121 0.01 1.0
