P@5: 0.2
P@5: 0.05
CACM-1623 0.0 0.0
CACM-1014 0.0 0.0
CACM-1867 0.0 0.0
CACM-1397 0.0 0.0
CACM-3073 0.2 0.5
CACM-0425 0.16666666666666666 0.5
CACM-0876 0.14285714285714285 0.5
CACM-0883 0.125 0.5
CACM-2672 0.1111111111111111 0.5
CACM-1057 0.1 0.5
CACM-1582 0.09090909090909091 0.5
CACM-0200 0.08333333333333333 0.5
CACM-0201 0.07692307692307693 0.5
CACM-1378 0.07142857142857142 0.5
CACM-1574 0.06666666666666667 0.5
CACM-1575 0.0625 0.5
CACM-1579 0.058823529411764705 0.5
CACM-1580 0.05555555555555555 0.5
CACM-1585 0.05263157894736842 0.5
CACM-1895 0.05 0.5
CACM-1881 0.047619047619047616 0.5
CACM-1606 0.045454545454545456 0.5
CACM-1583 0.043478260869565216 0.5
CACM-1581 0.041666666666666664 0.5
CACM-1190 0.04 0.5
CACM-1899 0.038461538461538464 0.5
CACM-1573 0.037037037037037035 0.5
CACM-0183 0.03571428571428571 0.5
CACM-0977 0.034482758620689655 0.5
CACM-2445 0.03333333333333333 0.5
CACM-1759 0.03225806451612903 0.5
CACM-0560 0.03125 0.5
CACM-2562 0.030303030303030304 0.5
CACM-1342 0.029411764705882353 0.5
CACM-1560 0.02857142857142857 0.5
CACM-2331 0.027777777777777776 0.5
CACM-1985 0.02702702702702703 0.5
CACM-2678 0.02631578947368421 0.5
CACM-0344 0.02564102564102564 0.5
CACM-0510 0.025 0.5
CACM-1287 0.024390243902439025 0.5
CACM-0032 0.023809523809523808 0.5
CACM-0832 0.023255813953488372 0.5
CACM-0960 0.022727272727272728 0.5
CACM-1556 0.022222222222222223 0.5
CACM-0167 0.021739130434782608 0.5
CACM-0263 0.02127659574468085 0.5
CACM-0369 0.020833333333333332 0.5
CACM-0373 0.02040816326530612 0.5
CACM-0880 0.02 0.5
CACM-0358 0.0196078431372549 0.5
CACM-0650 0.019230769230769232 0.5
CACM-0801 0.018867924528301886 0.5
CACM-0839 0.018518518518518517 0.5
CACM-0991 0.01818181818181818 0.5
CACM-1405 0.017857142857142856 0.5
CACM-0240 0.017543859649122806 0.5
CACM-0733 0.017241379310344827 0.5
CACM-0734 0.01694915254237288 0.5
CACM-1082 0.016666666666666666 0.5
CACM-1822 0.01639344262295082 0.5
CACM-1995 0.016129032258064516 0.5
CACM-0879 0.015873015873015872 0.5
CACM-1913 0.015625 0.5
CACM-2573 0.015384615384615385 0.5
CACM-0152 0.015151515151515152 0.5
CACM-2364 0.014925373134328358 0.5
CACM-1461 0.014705882352941176 0.5
CACM-0119 0.014492753623188406 0.5
CACM-0985 0.014285714285714285 0.5
CACM-1301 0.014084507042253521 0.5
CACM-2774 0.013888888888888888 0.5
CACM-0141 0.0136986301369863 0.5
CACM-0269 0.013513513513513514 0.5
CACM-2503 0.013333333333333334 0.5
CACM-0003 0.013157894736842105 0.5
CACM-0363 0.012987012987012988 0.5
CACM-1005 0.01282051282051282 0.5
CACM-1702 0.012658227848101266 0.5
CACM-1187 0.0125 0.5
CACM-2952 0.012345679012345678 0.5
CACM-0138 0.012195121951219513 0.5
CACM-0170 0.012048192771084338 0.5
CACM-1812 0.011904761904761904 0.5
CACM-1466 0.011764705882352941 0.5
CACM-2293 0.011627906976744186 0.5
CACM-2067 0.011494252873563218 0.5
CACM-2352 0.011363636363636364 0.5
CACM-2757 0.011235955056179775 0.5
CACM-2333 0.011111111111111112 0.5
CACM-1328 0.01098901098901099 0.5
CACM-0866 0.010869565217391304 0.5
CACM-0998 0.010752688172043012 0.5
CACM-0140 0.010638297872340425 0.5
CACM-1105 0.010526315789473684 0.5
CACM-0827 0.010416666666666666 0.5
CACM-2256 0.020618556701030927 1.0
CACM-2156 0.02040816326530612 1.0
CACM-0555 0.020202020202020204 1.0
CACM-1660 0.02 1.0
