P@5: 1.0
P@5: 0.35
CACM-2035 1.0 0.14285714285714285
CACM-2399 1.0 0.2857142857142857
CACM-1307 1.0 0.42857142857142855
CACM-1502 1.0 0.5714285714285714
CACM-2820 1.0 0.7142857142857143
CACM-2299 1.0 0.8571428571428571
CACM-2501 1.0 1.0
CACM-1671 0.875 1.0
CACM-1829 0.7777777777777778 1.0
CACM-1699 0.7 1.0
CACM-2003 0.6363636363636364 1.0
CACM-2786 0.5833333333333334 1.0
CACM-1978 0.5384615384615384 1.0
CACM-2277 0.5 1.0
CACM-2849 0.4666666666666667 1.0
CACM-1810 0.4375 1.0
CACM-2358 0.4117647058823529 1.0
CACM-2247 0.3888888888888889 1.0
CACM-2887 0.3684210526315789 1.0
CACM-1960 0.35 1.0
CACM-2483 0.3333333333333333 1.0
CACM-2314 0.3181818181818182 1.0
CACM-1698 0.30434782608695654 1.0
CACM-2396 0.2916666666666667 1.0
CACM-2321 0.28 1.0
CACM-2169 0.2692307692307692 1.0
CACM-1487 0.25925925925925924 1.0
CACM-1108 0.25 1.0
CACM-1159 0.2413793103448276 1.0
CACM-1750 0.23333333333333334 1.0
CACM-2095 0.22580645161290322 1.0
CACM-2188 0.21875 1.0
CACM-2450 0.21212121212121213 1.0
CACM-2705 0.20588235294117646 1.0
CACM-2753 0.2 1.0
CACM-2948 0.19444444444444445 1.0
CACM-2592 0.1891891891891892 1.0
CACM-1395 0.18421052631578946 1.0
CACM-1534 0.1794871794871795 1.0
CACM-2522 0.175 1.0
CACM-2542 0.17073170731707318 1.0
CACM-2990 0.16666666666666666 1.0
CACM-2252 0.16279069767441862 1.0
CACM-1844 0.1590909090909091 1.0
CACM-2167 0.15555555555555556 1.0
CACM-1764 0.15217391304347827 1.0
CACM-2622 0.14893617021276595 1.0
CACM-1962 0.14583333333333334 1.0
CACM-1901 0.14285714285714285 1.0
CACM-2873 0.14 1.0
CACM-1742 0.13725490196078433 1.0
CACM-3087 0.1346153846153846 1.0
CACM-1135 0.1320754716981132 1.0
CACM-2484 0.12962962962962962 1.0
CACM-1589 0.12727272727272726 1.0
CACM-2138 0.125 1.0
CACM-2187 0.12280701754385964 1.0
CACM-0972 0.1206896551724138 1.0
CACM-1946 0.11864406779661017 1.0
CACM-1989 0.11666666666666667 1.0
CACM-2017 0.11475409836065574 1.0
CACM-2034 0.11290322580645161 1.0
CACM-2200 0.1111111111111111 1.0
CACM-2401 0.109375 1.0
CACM-2454 0.1076923076923077 1.0
CACM-2536 0.10606060606060606 1.0
CACM-2625 0.1044776119402985 1.0
CACM-2631 0.10294117647058823 1.0
CACM-2765 0.10144927536231885 1.0
CACM-3054 0.1 1.0
CACM-0851 0.09859154929577464 1.0
CACM-1767 0.09722222222222222 1.0
CACM-2145 0.0958904109589041 1.0
CACM-2379 0.0945945945945946 1.0
CACM-2717 0.09333333333333334 1.0
CACM-2897 0.09210526315789473 1.0
CACM-3005 0.09090909090909091 1.0
CACM-0040 0.08974358974358974 1.0
CACM-1516 0.08860759493670886 1.0
CACM-1033 0.0875 1.0
CACM-1194 0.08641975308641975 1.0
CACM-1642 0.08536585365853659 1.0
CACM-2002 0.08433734939759036 1.0
CACM-2054 0.08333333333333333 1.0
CACM-2320 0.08235294117647059 1.0
CACM-2710 0.08139534883720931 1.0
CACM-3026 0.08045977011494253 1.0
CACM-1051 0.07954545454545454 1.0
CACM-1476 0.07865168539325842 1.0
CACM-1885 0.07777777777777778 1.0
CACM-2390 0.07692307692307693 1.0
CACM-2947 0.07608695652173914 1.0
CACM-0243 0.07526881720430108 1.0
CACM-2153 0.07446808510638298 1.0
CACM-1066 0.07368421052631578 1.0
CACM-1433 0.07291666666666667 1.0
CACM-1435 0.07216494845360824 1.0
CACM-1460 0.07142857142857142 1.0
CACM-1877 0.0707070707070707 1.0
CACM-2163 0.07 1.0
