P@5: 0.0
P@5: 0.0
CACM-2575 0.0 NaN
CACM-2641 0.0 NaN
CACM-0135 0.0 NaN
CACM-0148 0.0 NaN
CACM-0157 0.0 NaN
CACM-0171 0.0 NaN
CACM-2917 0.0 NaN
CACM-2586 0.0 NaN
CACM-1780 0.0 NaN
CACM-1917 0.0 NaN
CACM-1837 0.0 NaN
CACM-1921 0.0 NaN
CACM-1668 0.0 NaN
CACM-1669 0.0 NaN
CACM-0167 0.0 NaN
CACM-0085 0.0 NaN
CACM-2279 0.0 NaN
CACM-2672 0.0 NaN
CACM-0093 0.0 NaN
CACM-1000 0.0 NaN
CACM-0725 0.0 NaN
CACM-0998 0.0 NaN
CACM-1089 0.0 NaN
CACM-1205 0.0 NaN
CACM-2503 0.0 NaN
CACM-0173 0.0 NaN
CACM-1103 0.0 NaN
CACM-3019 0.0 NaN
CACM-3029 0.0 NaN
CACM-0530 0.0 NaN
CACM-0756 0.0 NaN
CACM-1545 0.0 NaN
CACM-0041 0.0 NaN
CACM-2250 0.0 NaN
CACM-0217 0.0 NaN
CACM-2678 0.0 NaN
CACM-3161 0.0 NaN
CACM-2478 0.0 NaN
CACM-2041 0.0 NaN
CACM-2329 0.0 NaN
CACM-2118 0.0 NaN
CACM-0859 0.0 NaN
CACM-1980 0.0 NaN
CACM-1073 0.0 NaN
CACM-2573 0.0 NaN
CACM-1919 0.0 NaN
CACM-1796 0.0 NaN
CACM-1660 0.0 NaN
CACM-1952 0.0 NaN
CACM-0260 0.0 NaN
CACM-0543 0.0 NaN
CACM-0363 0.0 NaN
CACM-0150 0.0 NaN
CACM-0176 0.0 NaN
CACM-0246 0.0 NaN
CACM-0654 0.0 NaN
CACM-1078 0.0 NaN
CACM-1176 0.0 NaN
CACM-0126 0.0 NaN
CACM-0515 0.0 NaN
CACM-2815 0.0 NaN
CACM-1578 0.0 NaN
CACM-1598 0.0 NaN
CACM-1640 0.0 NaN
CACM-2024 0.0 NaN
CACM-1799 0.0 NaN
CACM-0297 0.0 NaN
CACM-0932 0.0 NaN
CACM-2431 0.0 NaN
CACM-1914 0.0 NaN
CACM-2352 0.0 NaN
CACM-2101 0.0 NaN
CACM-0946 0.0 NaN
CACM-1298 0.0 NaN
CACM-1816 0.0 NaN
CACM-0414 0.0 NaN
CACM-0209 0.0 NaN
CACM-0951 0.0 NaN
CACM-1043 0.0 NaN
CACM-0872 0.0 NaN
CACM-0429 0.0 NaN
CACM-1440 0.0 NaN
CACM-0561 0.0 NaN
CACM-0371 0.0 NaN
CACM-1489 0.0 NaN
CACM-1016 0.0 NaN
CACM-0265 0.0 NaN
CACM-1006 0.0 NaN
CACM-0168 0.0 NaN
CACM-0602 0.0 NaN
CACM-2449 0.0 NaN
CACM-1153 0.0 NaN
CACM-0641 0.0 NaN
CACM-0684 0.0 NaN
CACM-0775 0.0 NaN
CACM-0813 0.0 NaN
CACM-0845 0.0 NaN
CACM-0959 0.0 NaN
CACM-0049 0.0 NaN
CACM-0442 0.0 NaN
