P@5: 0.0
P@5: 0.0
CACM-2244 0.0 NaN
CACM-2243 0.0 NaN
CACM-2241 0.0 NaN
CACM-2242 0.0 NaN
CACM-0582 0.0 NaN
CACM-1490 0.0 NaN
CACM-1222 0.0 NaN
CACM-1757 0.0 NaN
CACM-0394 0.0 NaN
CACM-1302 0.0 NaN
CACM-0528 0.0 NaN
CACM-1780 0.0 NaN
CACM-1118 0.0 NaN
CACM-2117 0.0 NaN
CACM-1461 0.0 NaN
CACM-0119 0.0 NaN
CACM-0985 0.0 NaN
CACM-1301 0.0 NaN
CACM-2774 0.0 NaN
CACM-0141 0.0 NaN
CACM-0269 0.0 NaN
CACM-2503 0.0 NaN
CACM-0003 0.0 NaN
CACM-0363 0.0 NaN
CACM-1005 0.0 NaN
CACM-1702 0.0 NaN
CACM-2079 0.0 NaN
CACM-1187 0.0 NaN
CACM-0138 0.0 NaN
CACM-0170 0.0 NaN
CACM-0027 0.0 NaN
CACM-1812 0.0 NaN
CACM-1096 0.0 NaN
CACM-0371 0.0 NaN
CACM-1466 0.0 NaN
CACM-0064 0.0 NaN
CACM-2293 0.0 NaN
CACM-2067 0.0 NaN
CACM-2352 0.0 NaN
CACM-2426 0.0 NaN
CACM-0826 0.0 NaN
CACM-2278 0.0 NaN
CACM-2757 0.0 NaN
CACM-2532 0.0 NaN
CACM-1837 0.0 NaN
CACM-1921 0.0 NaN
CACM-1328 0.0 NaN
CACM-0866 0.0 NaN
CACM-2974 0.0 NaN
CACM-3159 0.0 NaN
CACM-2693 0.0 NaN
CACM-1105 0.0 NaN
CACM-2412 0.0 NaN
CACM-2256 0.0 NaN
CACM-2156 0.0 NaN
CACM-0984 0.0 NaN
CACM-1992 0.0 NaN
CACM-2875 0.0 NaN
CACM-2778 0.0 NaN
CACM-2038 0.0 NaN
CACM-1795 0.0 NaN
CACM-1219 0.0 NaN
CACM-2131 0.0 NaN
CACM-2132 0.0 NaN
CACM-2520 0.0 NaN
CACM-2104 0.0 NaN
CACM-1802 0.0 NaN
CACM-0643 0.0 NaN
CACM-2149 0.0 NaN
CACM-2045 0.0 NaN
CACM-2466 0.0 NaN
CACM-0723 0.0 NaN
CACM-0760 0.0 NaN
CACM-0999 0.0 NaN
CACM-3007 0.0 NaN
CACM-0037 0.0 NaN
CACM-0237 0.0 NaN
CACM-0315 0.0 NaN
CACM-0722 0.0 NaN
CACM-0004 0.0 NaN
CACM-0007 0.0 NaN
CACM-0010 0.0 NaN
CACM-0013 0.0 NaN
CACM-0019 0.0 NaN
CACM-0113 0.0 NaN
CACM-0213 0.0 NaN
CACM-0455 0.0 NaN
CACM-0470 0.0 NaN
CACM-0737 0.0 NaN
CACM-0741 0.0 NaN
CACM-0742 0.0 NaN
CACM-0769 0.0 NaN
CACM-0807 0.0 NaN
CACM-0869 0.0 NaN
CACM-0905 0.0 NaN
CACM-0930 0.0 NaN
CACM-1095 0.0 NaN
CACM-1269 0.0 NaN
CACM-2639 0.0 NaN
CACM-0131 0.0 NaN
