P@5: 0.0
P@5: 0.05
CACM-3164 0.0 0.0
CACM-2883 0.0 0.0
CACM-2484 0.0 0.0
CACM-2289 0.0 0.0
CACM-2630 0.0 0.0
CACM-1698 0.0 0.0
CACM-3018 0.0 0.0
CACM-2877 0.0 0.0
CACM-2368 0.0 0.0
CACM-3040 0.0 0.0
CACM-2786 0.0 0.0
CACM-3156 0.0 0.0
CACM-3139 0.07692307692307693 1.0
CACM-2925 0.07142857142857142 1.0
CACM-2695 0.06666666666666667 1.0
CACM-2619 0.0625 1.0
CACM-2859 0.058823529411764705 1.0
CACM-2972 0.05555555555555555 1.0
CACM-3033 0.05263157894736842 1.0
CACM-2396 0.05 1.0
CACM-3172 0.047619047619047616 1.0
CACM-1847 0.045454545454545456 1.0
CACM-1828 0.043478260869565216 1.0
CACM-2490 0.041666666666666664 1.0
CACM-2266 0.04 1.0
CACM-2989 0.038461538461538464 1.0
CACM-1602 0.037037037037037035 1.0
CACM-1433 0.03571428571428571 1.0
CACM-1253 0.034482758620689655 1.0
CACM-1589 0.03333333333333333 1.0
CACM-1172 0.03225806451612903 1.0
CACM-2155 0.03125 1.0
CACM-1608 0.030303030303030304 1.0
CACM-2819 0.029411764705882353 1.0
CACM-2570 0.02857142857142857 1.0
CACM-1029 0.027777777777777776 1.0
CACM-2406 0.02702702702702703 1.0
CACM-2701 0.02631578947368421 1.0
CACM-1432 0.02564102564102564 1.0
CACM-2161 0.025 1.0
CACM-2827 0.024390243902439025 1.0
CACM-3166 0.023809523809523808 1.0
CACM-1961 0.023255813953488372 1.0
CACM-2020 0.022727272727272728 1.0
CACM-1551 0.022222222222222223 1.0
CACM-2276 0.021739130434782608 1.0
CACM-2568 0.02127659574468085 1.0
CACM-2408 0.020833333333333332 1.0
CACM-0397 0.02040816326530612 1.0
CACM-2657 0.02 1.0
CACM-3037 0.0196078431372549 1.0
CACM-3006 0.019230769230769232 1.0
CACM-0527 0.018867924528301886 1.0
CACM-2997 0.018518518518518517 1.0
CACM-1529 0.01818181818181818 1.0
CACM-1397 0.017857142857142856 1.0
CACM-2884 0.017543859649122806 1.0
CACM-2696 0.017241379310344827 1.0
CACM-1934 0.01694915254237288 1.0
CACM-3151 0.016666666666666666 1.0
CACM-1658 0.01639344262295082 1.0
CACM-1046 0.016129032258064516 1.0
CACM-2430 0.015873015873015872 1.0
CACM-2790 0.015625 1.0
CACM-1873 0.015384615384615385 1.0
CACM-2752 0.015151515151515152 1.0
CACM-2052 0.014925373134328358 1.0
CACM-0281 0.014705882352941176 1.0
CACM-2114 0.014492753623188406 1.0
CACM-2963 0.014285714285714285 1.0
CACM-1839 0.014084507042253521 1.0
CACM-0124 0.013888888888888888 1.0
CACM-2158 0.0136986301369863 1.0
CACM-2524 0.013513513513513514 1.0
CACM-1958 0.013333333333333334 1.0
CACM-3200 0.013157894736842105 1.0
CACM-2444 0.012987012987012988 1.0
CACM-2042 0.01282051282051282 1.0
CACM-2290 0.012658227848101266 1.0
CACM-2365 0.0125 1.0
CACM-2492 0.012345679012345678 1.0
CACM-2325 0.012195121951219513 1.0
CACM-2272 0.012048192771084338 1.0
CACM-2172 0.011904761904761904 1.0
CACM-1481 0.011764705882352941 1.0
CACM-2461 0.011627906976744186 1.0
CACM-2142 0.011494252873563218 1.0
CACM-2426 0.011363636363636364 1.0
CACM-1791 0.011235955056179775 1.0
CACM-3187 0.011111111111111112 1.0
CACM-1899 0.01098901098901099 1.0
CACM-2647 0.010869565217391304 1.0
CACM-2236 0.010752688172043012 1.0
CACM-0371 0.010638297872340425 1.0
CACM-0270 0.010526315789473684 1.0
CACM-0416 0.010416666666666666 1.0
CACM-2520 0.010309278350515464 1.0
CACM-2417 0.01020408163265306 1.0
CACM-0559 0.010101010101010102 1.0
CACM-0845 0.01 1.0
