P@5: 0.8
P@5: 0.2
CACM-2578 1.0 0.25
CACM-3148 1.0 0.5
CACM-2849 1.0 0.75
CACM-3137 1.0 1.0
CACM-1745 0.8 1.0
CACM-2216 0.6666666666666666 1.0
CACM-2276 0.5714285714285714 1.0
CACM-2890 0.5 1.0
CACM-3141 0.4444444444444444 1.0
CACM-2406 0.4 1.0
CACM-1411 0.36363636363636365 1.0
CACM-1810 0.3333333333333333 1.0
CACM-2454 0.3076923076923077 1.0
CACM-2630 0.2857142857142857 1.0
CACM-2883 0.26666666666666666 1.0
CACM-3086 0.25 1.0
CACM-2060 0.23529411764705882 1.0
CACM-2081 0.2222222222222222 1.0
CACM-2130 0.21052631578947367 1.0
CACM-2169 0.2 1.0
CACM-2999 0.19047619047619047 1.0
CACM-3025 0.18181818181818182 1.0
CACM-2092 0.17391304347826086 1.0
CACM-2114 0.16666666666666666 1.0
CACM-2314 0.16 1.0
CACM-2402 0.15384615384615385 1.0
CACM-2433 0.14814814814814814 1.0
CACM-2484 0.14285714285714285 1.0
CACM-2524 0.13793103448275862 1.0
CACM-2766 0.13333333333333333 1.0
CACM-2828 0.12903225806451613 1.0
CACM-2832 0.125 1.0
CACM-2838 0.12121212121212122 1.0
CACM-2855 0.11764705882352941 1.0
CACM-3032 0.11428571428571428 1.0
CACM-3124 0.1111111111111111 1.0
CACM-3164 0.10810810810810811 1.0
CACM-2596 0.10526315789473684 1.0
CACM-2816 0.10256410256410256 1.0
CACM-2900 0.1 1.0
CACM-2905 0.0975609756097561 1.0
CACM-2926 0.09523809523809523 1.0
CACM-2949 0.09302325581395349 1.0
CACM-3043 0.09090909090909091 1.0
CACM-3082 0.08888888888888889 1.0
CACM-3084 0.08695652173913043 1.0
CACM-0096 0.0851063829787234 1.0
CACM-0103 0.08333333333333333 1.0
CACM-0300 0.08163265306122448 1.0
CACM-0585 0.08 1.0
CACM-0759 0.0784313725490196 1.0
CACM-1010 0.07692307692307693 1.0
CACM-1109 0.07547169811320754 1.0
CACM-1170 0.07407407407407407 1.0
CACM-1194 0.07272727272727272 1.0
CACM-1224 0.07142857142857142 1.0
CACM-1262 0.07017543859649122 1.0
CACM-1384 0.06896551724137931 1.0
CACM-1417 0.06779661016949153 1.0
CACM-1423 0.06666666666666667 1.0
CACM-1438 0.06557377049180328 1.0
CACM-1469 0.06451612903225806 1.0
CACM-1471 0.06349206349206349 1.0
CACM-1472 0.0625 1.0
CACM-1525 0.06153846153846154 1.0
CACM-1571 0.06060606060606061 1.0
CACM-1604 0.05970149253731343 1.0
CACM-1645 0.058823529411764705 1.0
CACM-1680 0.057971014492753624 1.0
CACM-1747 0.05714285714285714 1.0
CACM-1784 0.056338028169014086 1.0
CACM-1811 0.05555555555555555 1.0
CACM-1844 0.0547945205479452 1.0
CACM-1862 0.05405405405405406 1.0
CACM-1889 0.05333333333333334 1.0
CACM-1915 0.05263157894736842 1.0
CACM-1946 0.05194805194805195 1.0
CACM-1978 0.05128205128205128 1.0
CACM-2020 0.05063291139240506 1.0
CACM-2125 0.05 1.0
CACM-2147 0.04938271604938271 1.0
CACM-2197 0.04878048780487805 1.0
CACM-2311 0.04819277108433735 1.0
CACM-2354 0.047619047619047616 1.0
CACM-2355 0.047058823529411764 1.0
CACM-2357 0.046511627906976744 1.0
CACM-2387 0.04597701149425287 1.0
CACM-2398 0.045454545454545456 1.0
CACM-2610 0.0449438202247191 1.0
CACM-2615 0.044444444444444446 1.0
CACM-2656 0.04395604395604396 1.0
CACM-2680 0.043478260869565216 1.0
CACM-2685 0.043010752688172046 1.0
CACM-2707 0.0425531914893617 1.0
CACM-2741 0.042105263157894736 1.0
CACM-2745 0.041666666666666664 1.0
CACM-2756 0.041237113402061855 1.0
CACM-2780 0.04081632653061224 1.0
CACM-2808 0.04040404040404041 1.0
CACM-2810 0.04 1.0
