P@5: 0.0
P@5: 0.0
CACM-1423 0.0 NaN
CACM-2177 0.0 NaN
CACM-1143 0.0 NaN
CACM-2217 0.0 NaN
CACM-2695 0.0 NaN
CACM-2887 0.0 NaN
CACM-1046 0.0 NaN
CACM-2289 0.0 NaN
CACM-1325 0.0 NaN
CACM-2188 0.0 NaN
CACM-2807 0.0 NaN
CACM-2554 0.0 NaN
CACM-2716 0.0 NaN
CACM-2697 0.0 NaN
CACM-0637 0.0 NaN
CACM-3138 0.0 NaN
CACM-1235 0.0 NaN
CACM-2787 0.0 NaN
CACM-1768 0.0 NaN
CACM-2977 0.0 NaN
CACM-2954 0.0 NaN
CACM-2929 0.0 NaN
CACM-1665 0.0 NaN
CACM-2215 0.0 NaN
CACM-1147 0.0 NaN
CACM-2106 0.0 NaN
CACM-2515 0.0 NaN
CACM-1135 0.0 NaN
CACM-0644 0.0 NaN
CACM-1350 0.0 NaN
CACM-3085 0.0 NaN
CACM-2233 0.0 NaN
CACM-1930 0.0 NaN
CACM-1809 0.0 NaN
CACM-2181 0.0 NaN
CACM-1997 0.0 NaN
CACM-1956 0.0 NaN
CACM-2890 0.0 NaN
CACM-2970 0.0 NaN
CACM-1497 0.0 NaN
CACM-3001 0.0 NaN
CACM-1404 0.0 NaN
CACM-2592 0.0 NaN
CACM-2396 0.0 NaN
CACM-2030 0.0 NaN
CACM-2833 0.0 NaN
CACM-1764 0.0 NaN
CACM-2226 0.0 NaN
CACM-2094 0.0 NaN
CACM-2542 0.0 NaN
CACM-1710 0.0 NaN
CACM-0441 0.0 NaN
CACM-2053 0.0 NaN
CACM-1334 0.0 NaN
CACM-2523 0.0 NaN
CACM-1388 0.0 NaN
CACM-1902 0.0 NaN
CACM-1280 0.0 NaN
CACM-1397 0.0 NaN
CACM-3059 0.0 NaN
CACM-0848 0.0 NaN
CACM-3152 0.0 NaN
CACM-3177 0.0 NaN
CACM-2850 0.0 NaN
CACM-1486 0.0 NaN
CACM-1160 0.0 NaN
CACM-2216 0.0 NaN
CACM-2937 0.0 NaN
CACM-1543 0.0 NaN
CACM-1916 0.0 NaN
CACM-2986 0.0 NaN
CACM-1381 0.0 NaN
CACM-2355 0.0 NaN
CACM-2560 0.0 NaN
CACM-1847 0.0 NaN
CACM-2862 0.0 NaN
CACM-2525 0.0 NaN
CACM-2176 0.0 NaN
CACM-2033 0.0 NaN
CACM-1652 0.0 NaN
CACM-1066 0.0 NaN
CACM-0319 0.0 NaN
CACM-1684 0.0 NaN
CACM-2261 0.0 NaN
CACM-1255 0.0 NaN
CACM-1647 0.0 NaN
CACM-2669 0.0 NaN
CACM-1308 0.0 NaN
CACM-2734 0.0 NaN
CACM-2794 0.0 NaN
CACM-2921 0.0 NaN
CACM-2968 0.0 NaN
CACM-1862 0.0 NaN
CACM-2767 0.0 NaN
CACM-2567 0.0 NaN
CACM-1698 0.0 NaN
CACM-1347 0.0 NaN
CACM-1933 0.0 NaN
CACM-0254 0.0 NaN
CACM-1680 0.0 NaN
