P@5: 0.4
P@5: 0.15
CACM-2495 1.0 0.3333333333333333
CACM-2464 0.5 0.3333333333333333
CACM-2611 0.3333333333333333 0.3333333333333333
CACM-2133 0.25 0.3333333333333333
CACM-2290 0.4 0.6666666666666666
CACM-1655 0.3333333333333333 0.6666666666666666
CACM-1756 0.2857142857142857 0.6666666666666666
CACM-1757 0.25 0.6666666666666666
CACM-1064 0.2222222222222222 0.6666666666666666
CACM-1289 0.2 0.6666666666666666
CACM-1414 0.18181818181818182 0.6666666666666666
CACM-1187 0.16666666666666666 0.6666666666666666
CACM-0066 0.15384615384615385 0.6666666666666666
CACM-0230 0.14285714285714285 0.6666666666666666
CACM-2586 0.2 1.0
CACM-0797 0.1875 1.0
CACM-1992 0.17647058823529413 1.0
CACM-0035 0.16666666666666666 1.0
CACM-0079 0.15789473684210525 1.0
CACM-0091 0.15 1.0
CACM-1922 0.14285714285714285 1.0
CACM-2552 0.13636363636363635 1.0
CACM-0693 0.13043478260869565 1.0
CACM-2411 0.125 1.0
CACM-2000 0.12 1.0
CACM-0371 0.11538461538461539 1.0
CACM-2370 0.1111111111111111 1.0
CACM-1489 0.10714285714285714 1.0
CACM-2813 0.10344827586206896 1.0
CACM-0618 0.1 1.0
CACM-0265 0.0967741935483871 1.0
CACM-2866 0.09375 1.0
CACM-1006 0.09090909090909091 1.0
CACM-0168 0.08823529411764706 1.0
CACM-0850 0.08571428571428572 1.0
CACM-0602 0.08333333333333333 1.0
CACM-1615 0.08108108108108109 1.0
CACM-0057 0.07894736842105263 1.0
CACM-2449 0.07692307692307693 1.0
CACM-1153 0.075 1.0
CACM-0641 0.07317073170731707 1.0
CACM-0684 0.07142857142857142 1.0
CACM-0775 0.06976744186046512 1.0
CACM-0813 0.06818181818181818 1.0
CACM-0845 0.06666666666666667 1.0
CACM-0959 0.06521739130434782 1.0
CACM-0049 0.06382978723404255 1.0
CACM-0442 0.0625 1.0
CACM-1447 0.061224489795918366 1.0
CACM-1546 0.06 1.0
CACM-2271 0.058823529411764705 1.0
CACM-2995 0.057692307692307696 1.0
CACM-0121 0.05660377358490566 1.0
CACM-0331 0.05555555555555555 1.0
CACM-0334 0.05454545454545454 1.0
CACM-0660 0.05357142857142857 1.0
CACM-0889 0.05263157894736842 1.0
CACM-1038 0.05172413793103448 1.0
CACM-1743 0.05084745762711865 1.0
CACM-0529 0.05 1.0
CACM-0780 0.04918032786885246 1.0
CACM-1091 0.04838709677419355 1.0
CACM-1448 0.047619047619047616 1.0
CACM-2675 0.046875 1.0
CACM-0295 0.046153846153846156 1.0
CACM-0792 0.045454545454545456 1.0
CACM-0023 0.04477611940298507 1.0
CACM-1096 0.04411764705882353 1.0
CACM-1209 0.043478260869565216 1.0
CACM-2014 0.04285714285714286 1.0
CACM-2608 0.04225352112676056 1.0
CACM-0064 0.041666666666666664 1.0
CACM-2589 0.0410958904109589 1.0
CACM-0036 0.04054054054054054 1.0
CACM-1312 0.04 1.0
CACM-2476 0.039473684210526314 1.0
CACM-0412 0.03896103896103896 1.0
CACM-2615 0.038461538461538464 1.0
CACM-2426 0.0379746835443038 1.0
CACM-1107 0.0375 1.0
CACM-0207 0.037037037037037035 1.0
CACM-1319 0.036585365853658534 1.0
CACM-1367 0.03614457831325301 1.0
CACM-1866 0.03571428571428571 1.0
CACM-2662 0.03529411764705882 1.0
CACM-0657 0.03488372093023256 1.0
CACM-1097 0.034482758620689655 1.0
CACM-2069 0.03409090909090909 1.0
CACM-2278 0.033707865168539325 1.0
CACM-0800 0.03333333333333333 1.0
CACM-0728 0.03296703296703297 1.0
CACM-3158 0.03260869565217391 1.0
CACM-1970 0.03225806451612903 1.0
CACM-2532 0.031914893617021274 1.0
CACM-2704 0.031578947368421054 1.0
CACM-0454 0.03125 1.0
CACM-0785 0.030927835051546393 1.0
CACM-2583 0.030612244897959183 1.0
CACM-1431 0.030303030303030304 1.0
CACM-2729 0.03 1.0
