P@5: 0.2
P@5: 0.05
CACM-2625 1.0 0.5
CACM-2541 0.5 0.5
CACM-1754 0.3333333333333333 0.5
CACM-0912 0.25 0.5
CACM-2858 0.2 0.5
CACM-2358 0.16666666666666666 0.5
CACM-2991 0.14285714285714285 0.5
CACM-2194 0.125 0.5
CACM-1869 0.1111111111111111 0.5
CACM-0332 0.1 0.5
CACM-0040 0.09090909090909091 0.5
CACM-2798 0.08333333333333333 0.5
CACM-2501 0.07692307692307693 0.5
CACM-0796 0.07142857142857142 0.5
CACM-3083 0.06666666666666667 0.5
CACM-2951 0.0625 0.5
CACM-1879 0.058823529411764705 0.5
CACM-2203 0.05555555555555555 0.5
CACM-0615 0.05263157894736842 0.5
CACM-2500 0.05 0.5
CACM-1877 0.047619047619047616 0.5
CACM-2033 0.045454545454545456 0.5
CACM-2437 0.043478260869565216 0.5
CACM-2020 0.041666666666666664 0.5
CACM-2920 0.04 0.5
CACM-1722 0.038461538461538464 0.5
CACM-2060 0.037037037037037035 0.5
CACM-3177 0.03571428571428571 0.5
CACM-3008 0.034482758620689655 0.5
CACM-0492 0.03333333333333333 0.5
CACM-3126 0.03225806451612903 0.5
CACM-2886 0.03125 0.5
CACM-2860 0.030303030303030304 0.5
CACM-2543 0.029411764705882353 0.5
CACM-2233 0.02857142857142857 0.5
CACM-3053 0.027777777777777776 0.5
CACM-2830 0.02702702702702703 0.5
CACM-2514 0.02631578947368421 0.5
CACM-2258 0.02564102564102564 0.5
CACM-1878 0.025 0.5
CACM-1785 0.024390243902439025 0.5
CACM-2048 0.023809523809523808 0.5
CACM-2558 0.023255813953488372 0.5
CACM-2109 0.022727272727272728 0.5
CACM-2614 0.022222222222222223 0.5
CACM-1261 0.021739130434782608 0.5
CACM-2900 0.02127659574468085 0.5
CACM-2682 0.020833333333333332 0.5
CACM-2410 0.02040816326530612 0.5
CACM-2578 0.02 0.5
CACM-1211 0.0196078431372549 0.5
CACM-2493 0.019230769230769232 0.5
CACM-1611 0.018867924528301886 0.5
CACM-2740 0.018518518518518517 0.5
CACM-2383 0.01818181818181818 0.5
CACM-2499 0.017857142857142856 0.5
CACM-1695 0.017543859649122806 0.5
CACM-3050 0.017241379310344827 0.5
CACM-1688 0.01694915254237288 0.5
CACM-1687 0.016666666666666666 0.5
CACM-2088 0.01639344262295082 0.5
CACM-1690 0.016129032258064516 0.5
CACM-2849 0.031746031746031744 1.0
CACM-3133 0.03125 1.0
CACM-0517 0.03076923076923077 1.0
CACM-2228 0.030303030303030304 1.0
CACM-1822 0.029850746268656716 1.0
CACM-1704 0.029411764705882353 1.0
CACM-1461 0.028985507246376812 1.0
CACM-1755 0.02857142857142857 1.0
CACM-2796 0.028169014084507043 1.0
CACM-3111 0.027777777777777776 1.0
CACM-2536 0.0273972602739726 1.0
CACM-1519 0.02702702702702703 1.0
CACM-2482 0.02666666666666667 1.0
CACM-1050 0.02631578947368421 1.0
CACM-0856 0.025974025974025976 1.0
CACM-2128 0.02564102564102564 1.0
CACM-2995 0.02531645569620253 1.0
CACM-0143 0.025 1.0
CACM-3089 0.024691358024691357 1.0
CACM-2553 0.024390243902439025 1.0
CACM-2689 0.024096385542168676 1.0
CACM-2405 0.023809523809523808 1.0
CACM-1996 0.023529411764705882 1.0
CACM-2502 0.023255813953488372 1.0
CACM-2236 0.022988505747126436 1.0
CACM-2069 0.022727272727272728 1.0
CACM-0795 0.02247191011235955 1.0
CACM-3174 0.022222222222222223 1.0
CACM-3119 0.02197802197802198 1.0
CACM-2616 0.021739130434782608 1.0
CACM-2329 0.021505376344086023 1.0
CACM-3127 0.02127659574468085 1.0
CACM-2777 0.021052631578947368 1.0
CACM-2325 0.020833333333333332 1.0
CACM-2435 0.020618556701030927 1.0
CACM-0666 0.02040816326530612 1.0
CACM-1989 0.020202020202020204 1.0
CACM-3043 0.02 1.0
