P@5: 0.0
P@5: 0.0
CACM-0191 0.0 NaN
CACM-0161 0.0 NaN
CACM-0166 0.0 NaN
CACM-2121 0.0 NaN
CACM-2350 0.0 NaN
CACM-0798 0.0 NaN
CACM-2577 0.0 NaN
CACM-2575 0.0 NaN
CACM-1831 0.0 NaN
CACM-2394 0.0 NaN
CACM-1773 0.0 NaN
CACM-0690 0.0 NaN
CACM-1178 0.0 NaN
CACM-1865 0.0 NaN
CACM-0987 0.0 NaN
CACM-0795 0.0 NaN
CACM-0919 0.0 NaN
CACM-0584 0.0 NaN
CACM-0196 0.0 NaN
CACM-0998 0.0 NaN
CACM-0827 0.0 NaN
CACM-2976 0.0 NaN
CACM-1796 0.0 NaN
CACM-1050 0.0 NaN
CACM-0066 0.0 NaN
CACM-0371 0.0 NaN
CACM-0555 0.0 NaN
CACM-1660 0.0 NaN
CACM-1952 0.0 NaN
CACM-2117 0.0 NaN
CACM-0099 0.0 NaN
CACM-3029 0.0 NaN
CACM-0047 0.0 NaN
CACM-0572 0.0 NaN
CACM-0593 0.0 NaN
CACM-0683 0.0 NaN
CACM-0280 0.0 NaN
CACM-0443 0.0 NaN
CACM-1119 0.0 NaN
CACM-1545 0.0 NaN
CACM-0553 0.0 NaN
CACM-2797 0.0 NaN
CACM-2830 0.0 NaN
CACM-3186 0.0 NaN
CACM-0947 0.0 NaN
CACM-2614 0.0 NaN
CACM-2660 0.0 NaN
CACM-2102 0.0 NaN
CACM-2432 0.0 NaN
CACM-1757 0.0 NaN
CACM-2658 0.0 NaN
CACM-2599 0.0 NaN
CACM-1734 0.0 NaN
CACM-0029 0.0 NaN
CACM-1965 0.0 NaN
CACM-2055 0.0 NaN
CACM-0009 0.0 NaN
CACM-0034 0.0 NaN
CACM-0083 0.0 NaN
CACM-0154 0.0 NaN
CACM-0599 0.0 NaN
CACM-0820 0.0 NaN
CACM-0908 0.0 NaN
CACM-1276 0.0 NaN
CACM-2574 0.0 NaN
CACM-0198 0.0 NaN
CACM-0815 0.0 NaN
CACM-0816 0.0 NaN
CACM-0910 0.0 NaN
CACM-1058 0.0 NaN
CACM-1064 0.0 NaN
CACM-1103 0.0 NaN
CACM-1414 0.0 NaN
CACM-1701 0.0 NaN
CACM-2509 0.0 NaN
CACM-1967 0.0 NaN
CACM-0050 0.0 NaN
CACM-0234 0.0 NaN
CACM-0391 0.0 NaN
CACM-0482 0.0 NaN
CACM-1063 0.0 NaN
CACM-1250 0.0 NaN
CACM-1302 0.0 NaN
CACM-1335 0.0 NaN
CACM-0413 0.0 NaN
CACM-0530 0.0 NaN
CACM-0594 0.0 NaN
CACM-0748 0.0 NaN
CACM-0756 0.0 NaN
CACM-1070 0.0 NaN
CACM-1085 0.0 NaN
CACM-1490 0.0 NaN
CACM-1737 0.0 NaN
CACM-2510 0.0 NaN
CACM-2611 0.0 NaN
CACM-0168 0.0 NaN
CACM-0030 0.0 NaN
CACM-0156 0.0 NaN
CACM-0983 0.0 NaN
CACM-1656 0.0 NaN
