P@5: 0.4
P@5: 0.1
CACM-3043 1.0 0.5
CACM-2350 0.5 0.5
CACM-2256 0.6666666666666666 1.0
CACM-0356 0.5 1.0
CACM-0740 0.4 1.0
CACM-2672 0.3333333333333333 1.0
CACM-1057 0.2857142857142857 1.0
CACM-0225 0.25 1.0
CACM-1582 0.2222222222222222 1.0
CACM-0200 0.2 1.0
CACM-0201 0.18181818181818182 1.0
CACM-1378 0.16666666666666666 1.0
CACM-1574 0.15384615384615385 1.0
CACM-1575 0.14285714285714285 1.0
CACM-1579 0.13333333333333333 1.0
CACM-2473 0.125 1.0
CACM-1580 0.11764705882352941 1.0
CACM-1585 0.1111111111111111 1.0
CACM-1895 0.10526315789473684 1.0
CACM-2199 0.1 1.0
CACM-1881 0.09523809523809523 1.0
CACM-1606 0.09090909090909091 1.0
CACM-1583 0.08695652173913043 1.0
CACM-1581 0.08333333333333333 1.0
CACM-1190 0.08 1.0
CACM-2007 0.07692307692307693 1.0
CACM-1736 0.07407407407407407 1.0
CACM-1342 0.07142857142857142 1.0
CACM-1953 0.06896551724137931 1.0
CACM-2830 0.06666666666666667 1.0
CACM-0003 0.06451612903225806 1.0
CACM-2676 0.0625 1.0
CACM-2362 0.06060606060606061 1.0
CACM-2258 0.058823529411764705 1.0
CACM-0998 0.05714285714285714 1.0
CACM-2658 0.05555555555555555 1.0
CACM-2574 0.05405405405405406 1.0
CACM-1841 0.05263157894736842 1.0
CACM-0260 0.05128205128205128 1.0
CACM-0543 0.05 1.0
CACM-0363 0.04878048780487805 1.0
CACM-0150 0.047619047619047616 1.0
CACM-0176 0.046511627906976744 1.0
CACM-0246 0.045454545454545456 1.0
CACM-0654 0.044444444444444446 1.0
CACM-1078 0.043478260869565216 1.0
CACM-1176 0.0425531914893617 1.0
CACM-0126 0.041666666666666664 1.0
CACM-0515 0.04081632653061224 1.0
CACM-0204 0.04 1.0
CACM-1578 0.0392156862745098 1.0
CACM-1598 0.038461538461538464 1.0
CACM-1640 0.03773584905660377 1.0
CACM-2024 0.037037037037037035 1.0
CACM-1799 0.03636363636363636 1.0
CACM-0297 0.03571428571428571 1.0
CACM-0932 0.03508771929824561 1.0
CACM-2431 0.034482758620689655 1.0
CACM-1914 0.03389830508474576 1.0
CACM-2352 0.03333333333333333 1.0
CACM-2101 0.03278688524590164 1.0
CACM-1298 0.03225806451612903 1.0
CACM-1816 0.031746031746031744 1.0
CACM-0209 0.03125 1.0
CACM-0872 0.03076923076923077 1.0
CACM-0429 0.030303030303030304 1.0
CACM-0561 0.029850746268656716 1.0
CACM-0827 0.029411764705882353 1.0
CACM-0066 0.028985507246376812 1.0
CACM-2117 0.02857142857142857 1.0
CACM-0986 0.028169014084507043 1.0
CACM-1757 0.027777777777777776 1.0
CACM-0029 0.0273972602739726 1.0
CACM-0009 0.02702702702702703 1.0
CACM-0034 0.02666666666666667 1.0
CACM-0154 0.02631578947368421 1.0
CACM-0490 0.025974025974025976 1.0
CACM-0599 0.02564102564102564 1.0
CACM-0908 0.02531645569620253 1.0
CACM-1276 0.025 1.0
CACM-0028 0.024691358024691357 1.0
CACM-0198 0.024390243902439025 1.0
CACM-0815 0.024096385542168676 1.0
CACM-0816 0.023809523809523808 1.0
CACM-1058 0.023529411764705882 1.0
CACM-1064 0.023255813953488372 1.0
CACM-1289 0.022988505747126436 1.0
CACM-1414 0.022727272727272728 1.0
CACM-1701 0.02247191011235955 1.0
CACM-2509 0.022222222222222223 1.0
CACM-1407 0.02197802197802198 1.0
CACM-1063 0.021739130434782608 1.0
CACM-1250 0.021505376344086023 1.0
CACM-1302 0.02127659574468085 1.0
CACM-1335 0.021052631578947368 1.0
CACM-1508 0.020833333333333332 1.0
CACM-0275 0.020618556701030927 1.0
CACM-0413 0.02040816326530612 1.0
CACM-0530 0.020202020202020204 1.0
CACM-0594 0.02 1.0
