P@5: 0.0
P@5: 0.0
CACM-2786 0.0 NaN
CACM-1698 0.0 NaN
CACM-1764 0.0 NaN
CACM-2396 0.0 NaN
CACM-1589 0.0 NaN
CACM-1476 0.0 NaN
CACM-2390 0.0 NaN
CACM-1608 0.0 NaN
CACM-1885 0.0 NaN
CACM-0078 0.0 NaN
CACM-2096 0.0 NaN
CACM-1397 0.0 NaN
CACM-2989 0.0 NaN
CACM-2715 0.0 NaN
CACM-1253 0.0 NaN
CACM-1923 0.0 NaN
CACM-0527 0.0 NaN
CACM-2020 0.0 NaN
CACM-1931 0.0 NaN
CACM-1008 0.0 NaN
CACM-3033 0.0 NaN
CACM-2192 0.0 NaN
CACM-2859 0.0 NaN
CACM-2689 0.0 NaN
CACM-0756 0.0 NaN
CACM-3179 0.0 NaN
CACM-2972 0.0 NaN
CACM-2067 0.0 NaN
CACM-2225 0.0 NaN
CACM-1801 0.0 NaN
CACM-0333 0.0 NaN
CACM-1802 0.0 NaN
CACM-0032 0.0 NaN
CACM-0832 0.0 NaN
CACM-0960 0.0 NaN
CACM-1556 0.0 NaN
CACM-0167 0.0 NaN
CACM-0263 0.0 NaN
CACM-0369 0.0 NaN
CACM-0373 0.0 NaN
CACM-0880 0.0 NaN
CACM-0358 0.0 NaN
CACM-0650 0.0 NaN
CACM-0801 0.0 NaN
CACM-0839 0.0 NaN
CACM-0991 0.0 NaN
CACM-1405 0.0 NaN
CACM-0240 0.0 NaN
CACM-0733 0.0 NaN
CACM-0734 0.0 NaN
CACM-1082 0.0 NaN
CACM-2818 0.0 NaN
CACM-0079 0.0 NaN
CACM-0953 0.0 NaN
CACM-1547 0.0 NaN
CACM-1822 0.0 NaN
CACM-1995 0.0 NaN
CACM-2332 0.0 NaN
CACM-0879 0.0 NaN
CACM-0393 0.0 NaN
CACM-1913 0.0 NaN
CACM-0152 0.0 NaN
CACM-2364 0.0 NaN
CACM-2942 0.0 NaN
CACM-2952 0.0 NaN
CACM-0998 0.0 NaN
CACM-0392 0.0 NaN
CACM-0140 0.0 NaN
CACM-0827 0.0 NaN
CACM-2585 0.0 NaN
CACM-2068 0.0 NaN
CACM-0087 0.0 NaN
CACM-2411 0.0 NaN
CACM-1461 0.0 NaN
CACM-0109 0.0 NaN
CACM-0119 0.0 NaN
CACM-0985 0.0 NaN
CACM-1301 0.0 NaN
CACM-2774 0.0 NaN
CACM-0555 0.0 NaN
CACM-1660 0.0 NaN
CACM-1952 0.0 NaN
CACM-0141 0.0 NaN
CACM-0269 0.0 NaN
CACM-0312 0.0 NaN
CACM-2503 0.0 NaN
CACM-0047 0.0 NaN
CACM-0572 0.0 NaN
CACM-0593 0.0 NaN
CACM-0683 0.0 NaN
CACM-0280 0.0 NaN
CACM-0443 0.0 NaN
CACM-1119 0.0 NaN
CACM-1545 0.0 NaN
CACM-0347 0.0 NaN
CACM-0553 0.0 NaN
CACM-2830 0.0 NaN
CACM-0003 0.0 NaN
CACM-0363 0.0 NaN
CACM-0476 0.0 NaN
