P@5: 1.0
P@5: 0.6
CACM-2265 1.0 0.08333333333333333
CACM-2651 1.0 0.16666666666666666
CACM-2939 1.0 0.25
CACM-2625 1.0 0.3333333333333333
CACM-2632 1.0 0.4166666666666667
CACM-3148 1.0 0.5
CACM-2738 1.0 0.5833333333333334
CACM-2941 1.0 0.6666666666666666
CACM-2377 1.0 0.75
CACM-2840 1.0 0.8333333333333334
CACM-3144 1.0 0.9166666666666666
CACM-3142 0.9166666666666666 0.9166666666666666
CACM-2184 0.8461538461538461 0.9166666666666666
CACM-2341 0.7857142857142857 0.9166666666666666
CACM-3105 0.7333333333333333 0.9166666666666666
CACM-2957 0.6875 0.9166666666666666
CACM-2558 0.7058823529411765 1.0
CACM-1591 0.6666666666666666 1.0
CACM-2912 0.631578947368421 1.0
CACM-3103 0.6 1.0
CACM-2850 0.5714285714285714 1.0
CACM-2931 0.5454545454545454 1.0
CACM-2233 0.5217391304347826 1.0
CACM-2911 0.5 1.0
CACM-1698 0.48 1.0
CACM-2342 0.46153846153846156 1.0
CACM-1856 0.4444444444444444 1.0
CACM-2369 0.42857142857142855 1.0
CACM-2956 0.41379310344827586 1.0
CACM-2794 0.4 1.0
CACM-1398 0.3870967741935484 1.0
CACM-1976 0.375 1.0
CACM-3015 0.36363636363636365 1.0
CACM-2178 0.35294117647058826 1.0
CACM-1543 0.34285714285714286 1.0
CACM-2722 0.3333333333333333 1.0
CACM-2194 0.32432432432432434 1.0
CACM-2033 0.3157894736842105 1.0
CACM-1098 0.3076923076923077 1.0
CACM-2003 0.3 1.0
CACM-3002 0.2926829268292683 1.0
CACM-1847 0.2857142857142857 1.0
CACM-0867 0.27906976744186046 1.0
CACM-2833 0.2727272727272727 1.0
CACM-1844 0.26666666666666666 1.0
CACM-3164 0.2608695652173913 1.0
CACM-3031 0.2553191489361702 1.0
CACM-2060 0.25 1.0
CACM-2864 0.24489795918367346 1.0
CACM-2053 0.24 1.0
CACM-0675 0.23529411764705882 1.0
CACM-0040 0.23076923076923078 1.0
CACM-3138 0.22641509433962265 1.0
CACM-2217 0.2222222222222222 1.0
CACM-1309 0.21818181818181817 1.0
CACM-1828 0.21428571428571427 1.0
CACM-1908 0.21052631578947367 1.0
CACM-1625 0.20689655172413793 1.0
CACM-1768 0.2033898305084746 1.0
CACM-2002 0.2 1.0
CACM-2958 0.19672131147540983 1.0
CACM-1474 0.1935483870967742 1.0
CACM-2451 0.19047619047619047 1.0
CACM-2083 0.1875 1.0
CACM-2951 0.18461538461538463 1.0
CACM-1853 0.18181818181818182 1.0
CACM-1516 0.1791044776119403 1.0
CACM-1589 0.17647058823529413 1.0
CACM-3048 0.17391304347826086 1.0
CACM-2198 0.17142857142857143 1.0
CACM-1412 0.16901408450704225 1.0
CACM-2188 0.16666666666666666 1.0
CACM-2631 0.1643835616438356 1.0
CACM-2252 0.16216216216216217 1.0
CACM-1264 0.16 1.0
CACM-1626 0.15789473684210525 1.0
CACM-3013 0.15584415584415584 1.0
CACM-2878 0.15384615384615385 1.0
CACM-3014 0.1518987341772152 1.0
CACM-0278 0.15 1.0
CACM-3072 0.14814814814814814 1.0
CACM-2749 0.14634146341463414 1.0
CACM-2851 0.14457831325301204 1.0
CACM-1003 0.14285714285714285 1.0
CACM-2865 0.1411764705882353 1.0
CACM-1366 0.13953488372093023 1.0
CACM-2196 0.13793103448275862 1.0
CACM-3021 0.13636363636363635 1.0
CACM-2046 0.1348314606741573 1.0
CACM-0071 0.13333333333333333 1.0
CACM-2868 0.13186813186813187 1.0
CACM-1637 0.13043478260869565 1.0
CACM-3041 0.12903225806451613 1.0
CACM-2470 0.1276595744680851 1.0
CACM-2344 0.12631578947368421 1.0
CACM-1614 0.125 1.0
CACM-1350 0.12371134020618557 1.0
CACM-2940 0.12244897959183673 1.0
CACM-1135 0.12121212121212122 1.0
CACM-1099 0.12 1.0
