P@5: 0.2
P@5: 0.1
CACM-3073 0.0 0.0
CACM-2938 0.5 0.2
CACM-2716 0.3333333333333333 0.2
CACM-1461 0.25 0.2
CACM-1472 0.2 0.2
CACM-1755 0.16666666666666666 0.2
CACM-2357 0.14285714285714285 0.2
CACM-2796 0.125 0.2
CACM-1069 0.1111111111111111 0.2
CACM-1922 0.1 0.2
CACM-2536 0.09090909090909091 0.2
CACM-1519 0.08333333333333333 0.2
CACM-2364 0.07692307692307693 0.2
CACM-0972 0.07142857142857142 0.2
CACM-2256 0.13333333333333333 0.4
CACM-2219 0.125 0.4
CACM-0121 0.11764705882352941 0.4
CACM-0439 0.1111111111111111 0.4
CACM-0638 0.10526315789473684 0.4
CACM-1485 0.1 0.4
CACM-1050 0.09523809523809523 0.4
CACM-0856 0.09090909090909091 0.4
CACM-1213 0.08695652173913043 0.4
CACM-2574 0.08333333333333333 0.4
CACM-1304 0.08 0.4
CACM-2283 0.07692307692307693 0.4
CACM-1858 0.07407407407407407 0.4
CACM-2482 0.07142857142857142 0.4
CACM-1432 0.06896551724137931 0.4
CACM-3131 0.06666666666666667 0.4
CACM-2064 0.06451612903225806 0.4
CACM-1603 0.0625 0.4
CACM-3067 0.06060606060606061 0.4
CACM-2721 0.058823529411764705 0.4
CACM-1308 0.05714285714285714 0.4
CACM-2456 0.05555555555555555 0.4
CACM-2311 0.05405405405405406 0.4
CACM-2817 0.05263157894736842 0.4
CACM-2059 0.05128205128205128 0.4
CACM-2806 0.05 0.4
CACM-2995 0.04878048780487805 0.4
CACM-0651 0.047619047619047616 0.4
CACM-1360 0.046511627906976744 0.4
CACM-0143 0.045454545454545456 0.4
CACM-3089 0.044444444444444446 0.4
CACM-2553 0.043478260869565216 0.4
CACM-2689 0.0425531914893617 0.4
CACM-0855 0.041666666666666664 0.4
CACM-2405 0.04081632653061224 0.4
CACM-1996 0.04 0.4
CACM-2502 0.0392156862745098 0.4
CACM-2128 0.038461538461538464 0.4
CACM-1511 0.03773584905660377 0.4
CACM-2723 0.037037037037037035 0.4
CACM-2150 0.05454545454545454 0.6
CACM-2236 0.05357142857142857 0.6
CACM-1097 0.05263157894736842 0.6
CACM-2069 0.05172413793103448 0.6
CACM-2853 0.05084745762711865 0.6
CACM-3136 0.05 0.6
CACM-2158 0.04918032786885246 0.6
CACM-1848 0.04838709677419355 0.6
CACM-2690 0.047619047619047616 0.6
CACM-1347 0.046875 0.6
CACM-3142 0.046153846153846156 0.6
CACM-1401 0.045454545454545456 0.6
CACM-2767 0.04477611940298507 0.6
CACM-1923 0.04411764705882353 0.6
CACM-0123 0.043478260869565216 0.6
CACM-0795 0.04285714285714286 0.6
CACM-0695 0.04225352112676056 0.6
CACM-2262 0.041666666666666664 0.6
CACM-1484 0.0410958904109589 0.6
CACM-3174 0.04054054054054054 0.6
CACM-3134 0.04 0.6
CACM-1514 0.039473684210526314 0.6
CACM-3119 0.03896103896103896 0.6
CACM-1627 0.038461538461538464 0.6
CACM-1252 0.0379746835443038 0.6
CACM-2616 0.0375 0.6
CACM-3088 0.037037037037037035 0.6
CACM-2329 0.036585365853658534 0.6
CACM-1030 0.03614457831325301 0.6
CACM-2742 0.03571428571428571 0.6
CACM-1435 0.03529411764705882 0.6
CACM-0860 0.03488372093023256 0.6
CACM-2323 0.034482758620689655 0.6
CACM-2777 0.045454545454545456 0.8
CACM-2325 0.0449438202247191 0.8
CACM-2435 0.044444444444444446 0.8
CACM-2375 0.04395604395604396 0.8
CACM-1695 0.043478260869565216 0.8
CACM-0435 0.043010752688172046 0.8
CACM-2863 0.0425531914893617 0.8
CACM-1826 0.042105263157894736 0.8
CACM-1462 0.041666666666666664 0.8
CACM-2740 0.05154639175257732 1.0
CACM-3195 0.05102040816326531 1.0
CACM-2918 0.050505050505050504 1.0
CACM-1383 0.05 1.0
