P@5: 0.0
P@5: 0.1
CACM-2216 0.0 0.0
CACM-3086 0.0 0.0
CACM-2837 0.0 0.0
CACM-2325 0.0 0.0
CACM-2337 0.0 0.0
CACM-2743 0.0 0.0
CACM-3018 0.14285714285714285 0.25
CACM-1309 0.125 0.25
CACM-2997 0.1111111111111111 0.25
CACM-2936 0.1 0.25
CACM-2703 0.18181818181818182 0.5
CACM-1491 0.16666666666666666 0.5
CACM-2784 0.15384615384615385 0.5
CACM-1462 0.14285714285714285 0.5
CACM-3007 0.13333333333333333 0.5
CACM-3055 0.125 0.5
CACM-2454 0.11764705882352941 0.5
CACM-0895 0.1111111111111111 0.5
CACM-2706 0.10526315789473684 0.5
CACM-0117 0.1 0.5
CACM-2508 0.09523809523809523 0.5
CACM-3163 0.09090909090909091 0.5
CACM-3162 0.08695652173913043 0.5
CACM-0149 0.08333333333333333 0.5
CACM-1708 0.08 0.5
CACM-3166 0.07692307692307693 0.5
CACM-1899 0.07407407407407407 0.5
CACM-0267 0.07142857142857142 0.5
CACM-1226 0.06896551724137931 0.5
CACM-1030 0.06666666666666667 0.5
CACM-1722 0.06451612903225806 0.5
CACM-1969 0.0625 0.5
CACM-3110 0.06060606060606061 0.5
CACM-1658 0.058823529411764705 0.5
CACM-1725 0.05714285714285714 0.5
CACM-1408 0.05555555555555555 0.5
CACM-1619 0.05405405405405406 0.5
CACM-1997 0.05263157894736842 0.5
CACM-2953 0.05128205128205128 0.5
CACM-1693 0.05 0.5
CACM-1836 0.04878048780487805 0.5
CACM-1796 0.047619047619047616 0.5
CACM-2702 0.06976744186046512 0.75
CACM-2938 0.06818181818181818 0.75
CACM-2007 0.06666666666666667 0.75
CACM-1342 0.06521739130434782 0.75
CACM-1660 0.06382978723404255 0.75
CACM-1952 0.0625 0.75
CACM-0804 0.061224489795918366 0.75
CACM-1374 0.06 0.75
CACM-1953 0.058823529411764705 0.75
CACM-2725 0.057692307692307696 0.75
CACM-2830 0.05660377358490566 0.75
CACM-1851 0.05555555555555555 0.75
CACM-2226 0.05454545454545454 0.75
CACM-0270 0.05357142857142857 0.75
CACM-3151 0.05263157894736842 0.75
CACM-2942 0.05172413793103448 0.75
CACM-3040 0.05084745762711865 0.75
CACM-2158 0.05 0.75
CACM-2362 0.04918032786885246 0.75
CACM-2647 0.04838709677419355 0.75
CACM-1873 0.047619047619047616 0.75
CACM-2025 0.046875 0.75
CACM-2863 0.046153846153846156 0.75
CACM-2903 0.045454545454545456 0.75
CACM-2904 0.04477611940298507 0.75
CACM-2691 0.04411764705882353 0.75
CACM-2222 0.043478260869565216 0.75
CACM-2882 0.04285714285714286 0.75
CACM-2932 0.056338028169014086 1.0
CACM-1659 0.05555555555555555 1.0
CACM-2927 0.0547945205479452 1.0
CACM-0950 0.05405405405405406 1.0
CACM-2042 0.05333333333333334 1.0
CACM-2963 0.05263157894736842 1.0
CACM-3140 0.05194805194805195 1.0
CACM-2665 0.05128205128205128 1.0
CACM-2504 0.05063291139240506 1.0
CACM-2208 0.05 1.0
CACM-3100 0.04938271604938271 1.0
CACM-2828 0.04878048780487805 1.0
CACM-1404 0.04819277108433735 1.0
CACM-3010 0.047619047619047616 1.0
CACM-2401 0.047058823529411764 1.0
CACM-3146 0.046511627906976744 1.0
CACM-2313 0.04597701149425287 1.0
CACM-1769 0.045454545454545456 1.0
CACM-1035 0.0449438202247191 1.0
CACM-1468 0.044444444444444446 1.0
CACM-1766 0.04395604395604396 1.0
CACM-2764 0.043478260869565216 1.0
CACM-2780 0.043010752688172046 1.0
CACM-1650 0.0425531914893617 1.0
CACM-2195 0.042105263157894736 1.0
CACM-2874 0.041666666666666664 1.0
CACM-3045 0.041237113402061855 1.0
CACM-3131 0.04081632653061224 1.0
CACM-1686 0.04040404040404041 1.0
CACM-2544 0.04 1.0
