P@5: 0.6
P@5: 0.15
CACM-2849 1.0 0.25
CACM-3148 1.0 0.5
CACM-3137 1.0 0.75
CACM-1745 0.75 0.75
CACM-2406 0.6 0.75
CACM-2276 0.5 0.75
CACM-3141 0.42857142857142855 0.75
CACM-2890 0.375 0.75
CACM-2216 0.3333333333333333 0.75
CACM-3025 0.3 0.75
CACM-2999 0.2727272727272727 0.75
CACM-3043 0.25 0.75
CACM-2949 0.23076923076923078 0.75
CACM-2169 0.21428571428571427 0.75
CACM-3082 0.2 0.75
CACM-2816 0.1875 0.75
CACM-2926 0.17647058823529413 0.75
CACM-2130 0.16666666666666666 0.75
CACM-2081 0.15789473684210525 0.75
CACM-3084 0.15 0.75
CACM-2900 0.14285714285714285 0.75
CACM-2433 0.13636363636363635 0.75
CACM-2578 0.17391304347826086 1.0
CACM-1411 0.16666666666666666 1.0
CACM-3166 0.16 1.0
CACM-2665 0.15384615384615385 1.0
CACM-2963 0.14814814814814814 1.0
CACM-2596 0.14285714285714285 1.0
CACM-2905 0.13793103448275862 1.0
CACM-1862 0.13333333333333333 1.0
CACM-3086 0.12903225806451613 1.0
CACM-2454 0.125 1.0
CACM-2630 0.12121212121212122 1.0
CACM-2314 0.11764705882352941 1.0
CACM-2766 0.11428571428571428 1.0
CACM-2810 0.1111111111111111 1.0
CACM-2197 0.10810810810810811 1.0
CACM-2832 0.10526315789473684 1.0
CACM-1224 0.10256410256410256 1.0
CACM-0072 0.1 1.0
CACM-0147 0.0975609756097561 1.0
CACM-1525 0.09523809523809523 1.0
CACM-1349 0.09302325581395349 1.0
CACM-0080 0.09090909090909091 1.0
CACM-2743 0.08888888888888889 1.0
CACM-3090 0.08695652173913043 1.0
CACM-1810 0.0851063829787234 1.0
CACM-0069 0.08333333333333333 1.0
CACM-2975 0.08163265306122448 1.0
CACM-3011 0.08 1.0
CACM-1031 0.0784313725490196 1.0
CACM-1010 0.07692307692307693 1.0
CACM-3124 0.07547169811320754 1.0
CACM-3035 0.07407407407407407 1.0
CACM-3158 0.07272727272727272 1.0
CACM-2780 0.07142857142857142 1.0
CACM-2756 0.07017543859649122 1.0
CACM-2709 0.06896551724137931 1.0
CACM-1831 0.06779661016949153 1.0
CACM-2032 0.06666666666666667 1.0
CACM-2477 0.06557377049180328 1.0
CACM-2615 0.06451612903225806 1.0
CACM-1424 0.06349206349206349 1.0
CACM-2769 0.0625 1.0
CACM-2411 0.06153846153846154 1.0
CACM-1275 0.06060606060606061 1.0
CACM-0830 0.05970149253731343 1.0
CACM-0857 0.058823529411764705 1.0
CACM-2357 0.057971014492753624 1.0
CACM-0755 0.05714285714285714 1.0
CACM-1014 0.056338028169014086 1.0
CACM-1612 0.05555555555555555 1.0
CACM-2198 0.0547945205479452 1.0
CACM-3058 0.05405405405405406 1.0
CACM-2934 0.05333333333333334 1.0
CACM-3156 0.05263157894736842 1.0
CACM-1796 0.05194805194805195 1.0
CACM-1852 0.05128205128205128 1.0
CACM-3008 0.05063291139240506 1.0
CACM-1457 0.05 1.0
CACM-2114 0.04938271604938271 1.0
CACM-2594 0.04878048780487805 1.0
CACM-1544 0.04819277108433735 1.0
CACM-1889 0.047619047619047616 1.0
CACM-2007 0.047058823529411764 1.0
CACM-1342 0.046511627906976744 1.0
CACM-1660 0.04597701149425287 1.0
CACM-1952 0.045454545454545456 1.0
CACM-0804 0.0449438202247191 1.0
CACM-1374 0.044444444444444446 1.0
CACM-3120 0.04395604395604396 1.0
CACM-0657 0.043478260869565216 1.0
CACM-1438 0.043010752688172046 1.0
CACM-1953 0.0425531914893617 1.0
CACM-2725 0.042105263157894736 1.0
CACM-2830 0.041666666666666664 1.0
CACM-1851 0.041237113402061855 1.0
CACM-2226 0.04081632653061224 1.0
CACM-0270 0.04040404040404041 1.0
CACM-3151 0.04 1.0
