P@5: 0.4
P@5: 0.1
CACM-2931 0.0 0.0
CACM-2651 0.5 0.5
CACM-3142 0.3333333333333333 0.5
CACM-3031 0.5 1.0
CACM-2580 0.4 1.0
CACM-1206 0.3333333333333333 1.0
CACM-1703 0.2857142857142857 1.0
CACM-1783 0.25 1.0
CACM-2799 0.2222222222222222 1.0
CACM-2341 0.2 1.0
CACM-1426 0.18181818181818182 1.0
CACM-0322 0.16666666666666666 1.0
CACM-1989 0.15384615384615385 1.0
CACM-2826 0.14285714285714285 1.0
CACM-3185 0.13333333333333333 1.0
CACM-3173 0.125 1.0
CACM-1161 0.11764705882352941 1.0
CACM-0248 0.1111111111111111 1.0
CACM-2712 0.10526315789473684 1.0
CACM-1213 0.1 1.0
CACM-1164 0.09523809523809523 1.0
CACM-3006 0.09090909090909091 1.0
CACM-1210 0.08695652173913043 1.0
CACM-1416 0.08333333333333333 1.0
CACM-1162 0.08 1.0
CACM-2193 0.07692307692307693 1.0
CACM-1642 0.07407407407407407 1.0
CACM-2228 0.07142857142857142 1.0
CACM-2814 0.06896551724137931 1.0
CACM-0651 0.06666666666666667 1.0
CACM-0166 0.06451612903225806 1.0
CACM-3159 0.0625 1.0
CACM-0195 0.06060606060606061 1.0
CACM-2425 0.058823529411764705 1.0
CACM-2909 0.05714285714285714 1.0
CACM-2244 0.05555555555555555 1.0
CACM-2243 0.05405405405405406 1.0
CACM-2241 0.05263157894736842 1.0
CACM-2242 0.05128205128205128 1.0
CACM-0033 0.05 1.0
CACM-1102 0.04878048780487805 1.0
CACM-0249 0.047619047619047616 1.0
CACM-2713 0.046511627906976744 1.0
CACM-1922 0.045454545454545456 1.0
CACM-0028 0.044444444444444446 1.0
CACM-0344 0.043478260869565216 1.0
CACM-0544 0.0425531914893617 1.0
CACM-0510 0.041666666666666664 1.0
CACM-1287 0.04081632653061224 1.0
CACM-1757 0.04 1.0
CACM-1736 0.0392156862745098 1.0
CACM-1431 0.038461538461538464 1.0
CACM-0414 0.03773584905660377 1.0
CACM-0394 0.037037037037037035 1.0
CACM-0073 0.03636363636363636 1.0
CACM-1302 0.03571428571428571 1.0
CACM-0528 0.03508771929824561 1.0
CACM-2689 0.034482758620689655 1.0
CACM-1780 0.03389830508474576 1.0
CACM-1830 0.03333333333333333 1.0
CACM-1118 0.03278688524590164 1.0
CACM-2117 0.03225806451612903 1.0
CACM-2023 0.031746031746031744 1.0
CACM-2729 0.03125 1.0
CACM-0987 0.03076923076923077 1.0
CACM-2627 0.030303030303030304 1.0
CACM-1304 0.029850746268656716 1.0
CACM-2813 0.029411764705882353 1.0
CACM-2731 0.028985507246376812 1.0
CACM-2409 0.02857142857142857 1.0
CACM-2708 0.028169014084507043 1.0
CACM-2661 0.027777777777777776 1.0
CACM-0135 0.0273972602739726 1.0
CACM-0148 0.02702702702702703 1.0
CACM-0526 0.02666666666666667 1.0
CACM-0928 0.02631578947368421 1.0
CACM-0072 0.025974025974025976 1.0
CACM-0157 0.02564102564102564 1.0
CACM-0433 0.02531645569620253 1.0
CACM-0682 0.025 1.0
CACM-0820 0.024691358024691357 1.0
CACM-0943 0.024390243902439025 1.0
CACM-1244 0.024096385542168676 1.0
CACM-0173 0.023809523809523808 1.0
CACM-0770 0.023529411764705882 1.0
CACM-0771 0.023255813953488372 1.0
CACM-0906 0.022988505747126436 1.0
CACM-1192 0.022727272727272728 1.0
CACM-1361 0.02247191011235955 1.0
CACM-3019 0.022222222222222223 1.0
CACM-0012 0.02197802197802198 1.0
CACM-0038 0.021739130434782608 1.0
CACM-0171 0.021505376344086023 1.0
CACM-0434 0.02127659574468085 1.0
CACM-0571 0.021052631578947368 1.0
CACM-0672 0.020833333333333332 1.0
CACM-2271 0.020618556701030927 1.0
CACM-0331 0.02040816326530612 1.0
CACM-0334 0.020202020202020204 1.0
CACM-0156 0.02 1.0
