P@5: 0.4
P@5: 0.1
CACM-2700 1.0 0.25
CACM-2714 1.0 0.5
CACM-0141 0.6666666666666666 0.5
CACM-0392 0.5 0.5
CACM-2080 0.4 0.5
CACM-2514 0.3333333333333333 0.5
CACM-2740 0.2857142857142857 0.5
CACM-1678 0.25 0.5
CACM-2782 0.2222222222222222 0.5
CACM-2661 0.2 0.5
CACM-2129 0.18181818181818182 0.5
CACM-2295 0.16666666666666666 0.5
CACM-1269 0.15384615384615385 0.5
CACM-0194 0.14285714285714285 0.5
CACM-0121 0.13333333333333333 0.5
CACM-0042 0.125 0.5
CACM-0676 0.11764705882352941 0.5
CACM-0220 0.1111111111111111 0.5
CACM-1480 0.10526315789473684 0.5
CACM-1817 0.1 0.5
CACM-2600 0.09523809523809523 0.5
CACM-2404 0.09090909090909091 0.5
CACM-2694 0.08695652173913043 0.5
CACM-2131 0.08333333333333333 0.5
CACM-2603 0.08 0.5
CACM-2132 0.07692307692307693 0.5
CACM-0824 0.07407407407407407 0.5
CACM-0083 0.07142857142857142 0.5
CACM-2119 0.06896551724137931 0.5
CACM-0532 0.06666666666666667 0.5
CACM-2306 0.06451612903225806 0.5
CACM-1909 0.0625 0.5
CACM-2411 0.06060606060606061 0.5
CACM-2616 0.058823529411764705 0.5
CACM-2325 0.05714285714285714 0.5
CACM-2652 0.05555555555555555 0.5
CACM-2695 0.05405405405405406 0.5
CACM-3125 0.05263157894736842 0.5
CACM-2862 0.05128205128205128 0.5
CACM-2921 0.05 0.5
CACM-1835 0.04878048780487805 0.5
CACM-3185 0.047619047619047616 0.5
CACM-2326 0.046511627906976744 0.5
CACM-1807 0.045454545454545456 0.5
CACM-2354 0.044444444444444446 0.5
CACM-1588 0.043478260869565216 0.5
CACM-0210 0.0425531914893617 0.5
CACM-2842 0.041666666666666664 0.5
CACM-2034 0.04081632653061224 0.5
CACM-2036 0.04 0.5
CACM-1861 0.0392156862745098 0.5
CACM-2148 0.038461538461538464 0.5
CACM-1102 0.03773584905660377 0.5
CACM-2597 0.037037037037037035 0.5
CACM-1467 0.03636363636363636 0.5
CACM-3188 0.03571428571428571 0.5
CACM-1469 0.03508771929824561 0.5
CACM-2316 0.034482758620689655 0.5
CACM-2998 0.03389830508474576 0.5
CACM-2126 0.03333333333333333 0.5
CACM-2939 0.03278688524590164 0.5
CACM-2684 0.03225806451612903 0.5
CACM-3073 0.031746031746031744 0.5
CACM-2705 0.03125 0.5
CACM-0731 0.03076923076923077 0.5
CACM-2002 0.030303030303030304 0.5
CACM-2685 0.04477611940298507 0.75
CACM-1444 0.04411764705882353 0.75
CACM-1923 0.043478260869565216 0.75
CACM-1030 0.04285714285714286 0.75
CACM-2822 0.04225352112676056 0.75
CACM-1315 0.041666666666666664 0.75
CACM-1784 0.0410958904109589 0.75
CACM-1627 0.04054054054054054 0.75
CACM-3038 0.04 0.75
CACM-0618 0.039473684210526314 0.75
CACM-1302 0.03896103896103896 0.75
CACM-0558 0.038461538461538464 0.75
CACM-1505 0.0379746835443038 0.75
CACM-1233 0.0375 0.75
CACM-2800 0.037037037037037035 0.75
CACM-0039 0.036585365853658534 0.75
CACM-1563 0.03614457831325301 0.75
CACM-0066 0.03571428571428571 0.75
CACM-0295 0.03529411764705882 0.75
CACM-1247 0.03488372093023256 0.75
CACM-2164 0.034482758620689655 0.75
CACM-1439 0.03409090909090909 0.75
CACM-3079 0.033707865168539325 0.75
CACM-1482 0.03333333333333333 0.75
CACM-3046 0.03296703296703297 0.75
CACM-1910 0.03260869565217391 0.75
CACM-1262 0.043010752688172046 1.0
CACM-0231 0.0425531914893617 1.0
CACM-0848 0.042105263157894736 1.0
CACM-2447 0.041666666666666664 1.0
CACM-0092 0.041237113402061855 1.0
CACM-0697 0.04081632653061224 1.0
CACM-1633 0.04040404040404041 1.0
CACM-2819 0.04 1.0
