P@5: 0.2
P@5: 0.1
CACM-1410 0.0 0.0
CACM-1696 0.5 0.3333333333333333
CACM-0268 0.3333333333333333 0.3333333333333333
CACM-2882 0.25 0.3333333333333333
CACM-1540 0.2 0.3333333333333333
CACM-1435 0.16666666666666666 0.3333333333333333
CACM-2742 0.14285714285714285 0.3333333333333333
CACM-1235 0.125 0.3333333333333333
CACM-2535 0.1111111111111111 0.3333333333333333
CACM-2767 0.1 0.3333333333333333
CACM-1892 0.18181818181818182 0.6666666666666666
CACM-1194 0.16666666666666666 0.6666666666666666
CACM-3043 0.15384615384615385 0.6666666666666666
CACM-2740 0.14285714285714285 0.6666666666666666
CACM-2320 0.13333333333333333 0.6666666666666666
CACM-3141 0.125 0.6666666666666666
CACM-0412 0.11764705882352941 0.6666666666666666
CACM-2672 0.1111111111111111 0.6666666666666666
CACM-2255 0.10526315789473684 0.6666666666666666
CACM-2504 0.1 0.6666666666666666
CACM-2342 0.09523809523809523 0.6666666666666666
CACM-2080 0.09090909090909091 0.6666666666666666
CACM-3120 0.08695652173913043 0.6666666666666666
CACM-0618 0.08333333333333333 0.6666666666666666
CACM-2376 0.08 0.6666666666666666
CACM-1846 0.07692307692307693 0.6666666666666666
CACM-1753 0.07407407407407407 0.6666666666666666
CACM-0293 0.07142857142857142 0.6666666666666666
CACM-0927 0.06896551724137931 0.6666666666666666
CACM-1272 0.06666666666666667 0.6666666666666666
CACM-2371 0.06451612903225806 0.6666666666666666
CACM-1441 0.0625 0.6666666666666666
CACM-1749 0.06060606060606061 0.6666666666666666
CACM-2327 0.058823529411764705 0.6666666666666666
CACM-1748 0.05714285714285714 0.6666666666666666
CACM-1587 0.05555555555555555 0.6666666666666666
CACM-2378 0.05405405405405406 0.6666666666666666
CACM-1438 0.05263157894736842 0.6666666666666666
CACM-3020 0.05128205128205128 0.6666666666666666
CACM-2848 0.05 0.6666666666666666
CACM-1541 0.04878048780487805 0.6666666666666666
CACM-1563 0.047619047619047616 0.6666666666666666
CACM-2895 0.046511627906976744 0.6666666666666666
CACM-2150 0.045454545454545456 0.6666666666666666
CACM-2409 0.044444444444444446 0.6666666666666666
CACM-2581 0.043478260869565216 0.6666666666666666
CACM-2519 0.0425531914893617 0.6666666666666666
CACM-3140 0.041666666666666664 0.6666666666666666
CACM-1135 0.04081632653061224 0.6666666666666666
CACM-3078 0.06 1.0
CACM-1518 0.058823529411764705 1.0
CACM-2210 0.057692307692307696 1.0
CACM-1233 0.05660377358490566 1.0
CACM-2844 0.05555555555555555 1.0
CACM-0111 0.05454545454545454 1.0
CACM-1631 0.05357142857142857 1.0
CACM-1008 0.05263157894736842 1.0
CACM-1383 0.05172413793103448 1.0
CACM-3127 0.05084745762711865 1.0
CACM-1382 0.05 1.0
CACM-2836 0.04918032786885246 1.0
CACM-1458 0.04838709677419355 1.0
CACM-1554 0.047619047619047616 1.0
CACM-1707 0.046875 1.0
CACM-2383 0.046153846153846156 1.0
CACM-2185 0.045454545454545456 1.0
CACM-2307 0.04477611940298507 1.0
CACM-2920 0.04411764705882353 1.0
CACM-3039 0.043478260869565216 1.0
CACM-2580 0.04285714285714286 1.0
CACM-1308 0.04225352112676056 1.0
CACM-2900 0.041666666666666664 1.0
CACM-2522 0.0410958904109589 1.0
CACM-1809 0.04054054054054054 1.0
CACM-2912 0.04 1.0
CACM-0095 0.039473684210526314 1.0
CACM-0243 0.03896103896103896 1.0
CACM-2717 0.038461538461538464 1.0
CACM-0298 0.0379746835443038 1.0
CACM-1828 0.0375 1.0
CACM-2795 0.037037037037037035 1.0
CACM-2000 0.036585365853658534 1.0
CACM-2019 0.03614457831325301 1.0
CACM-3072 0.03571428571428571 1.0
CACM-0278 0.03529411764705882 1.0
CACM-2228 0.03488372093023256 1.0
CACM-2268 0.034482758620689655 1.0
CACM-1637 0.03409090909090909 1.0
CACM-1678 0.033707865168539325 1.0
CACM-2629 0.03333333333333333 1.0
CACM-0942 0.03296703296703297 1.0
CACM-2811 0.03260869565217391 1.0
CACM-2523 0.03225806451612903 1.0
CACM-0078 0.031914893617021274 1.0
CACM-1216 0.031578947368421054 1.0
CACM-1948 0.03125 1.0
CACM-1928 0.030927835051546393 1.0
CACM-1925 0.030612244897959183 1.0
CACM-2826 0.030303030303030304 1.0
CACM-1698 0.03 1.0
