P@5: 0.4
P@5: 0.15
CACM-3127 1.0 0.25
CACM-1930 0.5 0.25
CACM-2246 0.6666666666666666 0.5
CACM-3196 0.5 0.5
CACM-3068 0.4 0.5
CACM-1750 0.3333333333333333 0.5
CACM-3025 0.2857142857142857 0.5
CACM-1247 0.25 0.5
CACM-1680 0.2222222222222222 0.5
CACM-1462 0.2 0.5
CACM-2597 0.18181818181818182 0.5
CACM-2080 0.25 0.75
CACM-2740 0.23076923076923078 0.75
CACM-2867 0.21428571428571427 0.75
CACM-1226 0.2 0.75
CACM-3026 0.1875 0.75
CACM-0322 0.17647058823529413 0.75
CACM-3141 0.16666666666666666 0.75
CACM-1752 0.15789473684210525 0.75
CACM-2379 0.15 0.75
CACM-2424 0.14285714285714285 0.75
CACM-3028 0.13636363636363635 0.75
CACM-2317 0.13043478260869565 0.75
CACM-1728 0.125 0.75
CACM-2629 0.16 1.0
CACM-2522 0.15384615384615385 1.0
CACM-2541 0.14814814814814814 1.0
CACM-2372 0.14285714285714285 1.0
CACM-2111 0.13793103448275862 1.0
CACM-2378 0.13333333333333333 1.0
CACM-1324 0.12903225806451613 1.0
CACM-1461 0.125 1.0
CACM-2950 0.12121212121212122 1.0
CACM-1472 0.11764705882352941 1.0
CACM-1755 0.11428571428571428 1.0
CACM-2357 0.1111111111111111 1.0
CACM-2319 0.10810810810810811 1.0
CACM-1591 0.10526315789473684 1.0
CACM-2036 0.10256410256410256 1.0
CACM-2796 0.1 1.0
CACM-3050 0.0975609756097561 1.0
CACM-1069 0.09523809523809523 1.0
CACM-1747 0.09302325581395349 1.0
CACM-2536 0.09090909090909091 1.0
CACM-1519 0.08888888888888889 1.0
CACM-2138 0.08695652173913043 1.0
CACM-0696 0.0851063829787234 1.0
CACM-1264 0.08333333333333333 1.0
CACM-2184 0.08163265306122448 1.0
CACM-0825 0.08 1.0
CACM-0698 0.0784313725490196 1.0
CACM-1735 0.07692307692307693 1.0
CACM-2297 0.07547169811320754 1.0
CACM-1751 0.07407407407407407 1.0
CACM-2219 0.07272727272727272 1.0
CACM-3014 0.07142857142857142 1.0
CACM-3137 0.07017543859649122 1.0
CACM-2681 0.06896551724137931 1.0
CACM-1517 0.06779661016949153 1.0
CACM-1902 0.06666666666666667 1.0
CACM-1050 0.06557377049180328 1.0
CACM-2632 0.06451612903225806 1.0
CACM-0856 0.06349206349206349 1.0
CACM-1464 0.0625 1.0
CACM-2776 0.06153846153846154 1.0
CACM-2365 0.06060606060606061 1.0
CACM-2849 0.05970149253731343 1.0
CACM-2283 0.058823529411764705 1.0
CACM-1534 0.057971014492753624 1.0
CACM-2946 0.05714285714285714 1.0
CACM-2920 0.056338028169014086 1.0
CACM-3039 0.05555555555555555 1.0
CACM-1753 0.0547945205479452 1.0
CACM-2374 0.05405405405405406 1.0
CACM-2878 0.05333333333333334 1.0
CACM-1892 0.05263157894736842 1.0
CACM-2482 0.05194805194805195 1.0
CACM-2535 0.05128205128205128 1.0
CACM-0585 0.05063291139240506 1.0
CACM-2668 0.05 1.0
CACM-2210 0.04938271604938271 1.0
CACM-2972 0.04878048780487805 1.0
CACM-2556 0.04819277108433735 1.0
CACM-1647 0.047619047619047616 1.0
CACM-1698 0.047058823529411764 1.0
CACM-3002 0.046511627906976744 1.0
CACM-1810 0.04597701149425287 1.0
CACM-2868 0.045454545454545456 1.0
CACM-2840 0.0449438202247191 1.0
CACM-3105 0.044444444444444446 1.0
CACM-1408 0.04395604395604396 1.0
CACM-2582 0.043478260869565216 1.0
CACM-1805 0.043010752688172046 1.0
CACM-2003 0.0425531914893617 1.0
CACM-3006 0.042105263157894736 1.0
CACM-2622 0.041666666666666664 1.0
CACM-3067 0.041237113402061855 1.0
CACM-2902 0.04081632653061224 1.0
CACM-2095 0.04040404040404041 1.0
CACM-1487 0.04 1.0
