P@5: 0.6
P@5: 0.3
CACM-2973 1.0 0.14285714285714285
CACM-2266 1.0 0.2857142857142857
CACM-0950 0.6666666666666666 0.2857142857142857
CACM-3075 0.75 0.42857142857142855
CACM-2433 0.6 0.42857142857142855
CACM-2714 0.6666666666666666 0.5714285714285714
CACM-1262 0.5714285714285714 0.5714285714285714
CACM-2700 0.5 0.5714285714285714
CACM-3156 0.5555555555555556 0.7142857142857143
CACM-2685 0.5 0.7142857142857143
CACM-0141 0.45454545454545453 0.7142857142857143
CACM-0392 0.4166666666666667 0.7142857142857143
CACM-1302 0.38461538461538464 0.7142857142857143
CACM-2896 0.35714285714285715 0.7142857142857143
CACM-1795 0.3333333333333333 0.7142857142857143
CACM-2114 0.3125 0.7142857142857143
CACM-2557 0.29411764705882354 0.7142857142857143
CACM-2785 0.2777777777777778 0.7142857142857143
CACM-1601 0.3157894736842105 0.8571428571428571
CACM-2195 0.3 0.8571428571428571
CACM-1158 0.2857142857142857 0.8571428571428571
CACM-2865 0.2727272727272727 0.8571428571428571
CACM-3059 0.2608695652173913 0.8571428571428571
CACM-2401 0.25 0.8571428571428571
CACM-1846 0.24 0.8571428571428571
CACM-2570 0.23076923076923078 0.8571428571428571
CACM-1828 0.2222222222222222 0.8571428571428571
CACM-2851 0.21428571428571427 0.8571428571428571
CACM-1468 0.20689655172413793 0.8571428571428571
CACM-2175 0.2 0.8571428571428571
CACM-2342 0.1935483870967742 0.8571428571428571
CACM-1008 0.1875 0.8571428571428571
CACM-2080 0.18181818181818182 0.8571428571428571
CACM-2514 0.17647058823529413 0.8571428571428571
CACM-1554 0.17142857142857143 0.8571428571428571
CACM-2895 0.16666666666666666 0.8571428571428571
CACM-2740 0.16216216216216217 0.8571428571428571
CACM-3175 0.18421052631578946 1.0
CACM-3073 0.1794871794871795 1.0
CACM-0320 0.175 1.0
CACM-2838 0.17073170731707318 1.0
CACM-1325 0.16666666666666666 1.0
CACM-2515 0.16279069767441862 1.0
CACM-1603 0.1590909090909091 1.0
CACM-1200 0.15555555555555556 1.0
CACM-1959 0.15217391304347827 1.0
CACM-1957 0.14893617021276595 1.0
CACM-1409 0.14583333333333334 1.0
CACM-1928 0.14285714285714285 1.0
CACM-1811 0.14 1.0
CACM-2692 0.13725490196078433 1.0
CACM-2289 0.1346153846153846 1.0
CACM-1471 0.1320754716981132 1.0
CACM-1747 0.12962962962962962 1.0
CACM-1854 0.12727272727272726 1.0
CACM-0371 0.125 1.0
CACM-2283 0.12280701754385964 1.0
CACM-2903 0.1206896551724138 1.0
CACM-1796 0.11864406779661017 1.0
CACM-2627 0.11666666666666667 1.0
CACM-2950 0.11475409836065574 1.0
CACM-1658 0.11290322580645161 1.0
CACM-2490 0.1111111111111111 1.0
CACM-2884 0.109375 1.0
CACM-1613 0.1076923076923077 1.0
CACM-2902 0.10606060606060606 1.0
CACM-3166 0.1044776119402985 1.0
CACM-2007 0.10294117647058823 1.0
CACM-1529 0.10144927536231885 1.0
CACM-1342 0.1 1.0
CACM-1660 0.09859154929577464 1.0
CACM-1952 0.09722222222222222 1.0
CACM-0804 0.0958904109589041 1.0
CACM-1374 0.0945945945945946 1.0
CACM-2819 0.09333333333333334 1.0
CACM-1953 0.09210526315789473 1.0
CACM-2725 0.09090909090909091 1.0
CACM-2830 0.08974358974358974 1.0
CACM-1851 0.08860759493670886 1.0
CACM-2226 0.0875 1.0
CACM-2267 0.08641975308641975 1.0
CACM-0270 0.08536585365853659 1.0
CACM-3151 0.08433734939759036 1.0
CACM-1924 0.08333333333333333 1.0
CACM-2630 0.08235294117647059 1.0
CACM-2953 0.08139534883720931 1.0
CACM-1551 0.08045977011494253 1.0
CACM-3132 0.07954545454545454 1.0
CACM-2723 0.07865168539325842 1.0
CACM-2273 0.07777777777777778 1.0
CACM-2942 0.07692307692307693 1.0
CACM-2936 0.07608695652173914 1.0
CACM-2426 0.07526881720430108 1.0
CACM-2146 0.07446808510638298 1.0
CACM-2674 0.07368421052631578 1.0
CACM-2236 0.07291666666666667 1.0
CACM-2454 0.07216494845360824 1.0
CACM-2520 0.07142857142857142 1.0
CACM-2263 0.0707070707070707 1.0
CACM-1392 0.07 1.0
