P@5: 1.0
P@5: 0.75
CACM-3116 1.0 0.06666666666666667
CACM-2369 1.0 0.13333333333333333
CACM-2692 1.0 0.2
CACM-2751 1.0 0.26666666666666666
CACM-2829 1.0 0.3333333333333333
CACM-2827 1.0 0.4
CACM-2473 1.0 0.4666666666666667
CACM-2828 1.0 0.5333333333333333
CACM-3149 1.0 0.6
CACM-2384 1.0 0.6666666666666666
CACM-2678 1.0 0.7333333333333333
CACM-2441 1.0 0.8
CACM-2638 1.0 0.8666666666666667
CACM-2564 1.0 0.9333333333333333
CACM-2637 1.0 1.0
CACM-2913 0.9375 1.0
CACM-0616 0.8823529411764706 1.0
CACM-2924 0.8333333333333334 1.0
CACM-1978 0.7894736842105263 1.0
CACM-2771 0.75 1.0
CACM-1366 0.7142857142857143 1.0
CACM-1735 0.6818181818181818 1.0
CACM-2406 0.6521739130434783 1.0
CACM-2631 0.625 1.0
CACM-2905 0.6 1.0
CACM-1433 0.5769230769230769 1.0
CACM-2232 0.5555555555555556 1.0
CACM-2368 0.5357142857142857 1.0
CACM-2389 0.5172413793103449 1.0
CACM-2522 0.5 1.0
CACM-2535 0.4838709677419355 1.0
CACM-2598 0.46875 1.0
CACM-3032 0.45454545454545453 1.0
CACM-2919 0.4411764705882353 1.0
CACM-2674 0.42857142857142855 1.0
CACM-1680 0.4166666666666667 1.0
CACM-1915 0.40540540540540543 1.0
CACM-2004 0.39473684210526316 1.0
CACM-2152 0.38461538461538464 1.0
CACM-2188 0.375 1.0
CACM-2201 0.36585365853658536 1.0
CACM-2925 0.35714285714285715 1.0
CACM-2959 0.3488372093023256 1.0
CACM-1272 0.3409090909090909 1.0
CACM-1664 0.3333333333333333 1.0
CACM-1698 0.32608695652173914 1.0
CACM-1908 0.3191489361702128 1.0
CACM-2367 0.3125 1.0
CACM-1742 0.30612244897959184 1.0
CACM-2402 0.3 1.0
CACM-2146 0.29411764705882354 1.0
CACM-2314 0.28846153846153844 1.0
CACM-2433 0.2830188679245283 1.0
CACM-3152 0.2777777777777778 1.0
CACM-1144 0.2727272727272727 1.0
CACM-3117 0.26785714285714285 1.0
CACM-2896 0.2631578947368421 1.0
CACM-1181 0.25862068965517243 1.0
CACM-1334 0.2542372881355932 1.0
CACM-1281 0.25 1.0
CACM-2606 0.2459016393442623 1.0
CACM-1012 0.24193548387096775 1.0
CACM-1727 0.23809523809523808 1.0
CACM-2595 0.234375 1.0
CACM-1764 0.23076923076923078 1.0
CACM-3028 0.22727272727272727 1.0
CACM-1145 0.22388059701492538 1.0
CACM-2035 0.22058823529411764 1.0
CACM-2053 0.21739130434782608 1.0
CACM-2645 0.21428571428571427 1.0
CACM-3082 0.2112676056338028 1.0
CACM-2973 0.20833333333333334 1.0
CACM-0048 0.2054794520547945 1.0
CACM-0071 0.20270270270270271 1.0
CACM-0276 0.2 1.0
CACM-0282 0.19736842105263158 1.0
CACM-0462 0.19480519480519481 1.0
CACM-0495 0.19230769230769232 1.0
CACM-0531 0.189873417721519 1.0
CACM-0728 0.1875 1.0
CACM-0854 0.18518518518518517 1.0
CACM-1003 0.18292682926829268 1.0
CACM-1046 0.18072289156626506 1.0
CACM-1066 0.17857142857142858 1.0
CACM-1099 0.17647058823529413 1.0
CACM-1108 0.1744186046511628 1.0
CACM-1113 0.1724137931034483 1.0
CACM-1134 0.17045454545454544 1.0
CACM-1184 0.16853932584269662 1.0
CACM-1199 0.16666666666666666 1.0
CACM-1235 0.16483516483516483 1.0
CACM-1247 0.16304347826086957 1.0
CACM-1323 0.16129032258064516 1.0
CACM-1325 0.1595744680851064 1.0
CACM-1326 0.15789473684210525 1.0
CACM-1327 0.15625 1.0
CACM-1348 0.15463917525773196 1.0
CACM-1394 0.15306122448979592 1.0
CACM-1427 0.15151515151515152 1.0
CACM-1454 0.15 1.0
