P@5: 0.0
P@5: 0.0
CACM-0047 0.0 NaN
CACM-2007 0.0 NaN
CACM-1342 0.0 NaN
CACM-1660 0.0 NaN
CACM-1952 0.0 NaN
CACM-1953 0.0 NaN
CACM-2830 0.0 NaN
CACM-0270 0.0 NaN
CACM-0027 0.0 NaN
CACM-2743 0.0 NaN
CACM-1966 0.0 NaN
CACM-0087 0.0 NaN
CACM-2362 0.0 NaN
CACM-1842 0.0 NaN
CACM-1831 0.0 NaN
CACM-0490 0.0 NaN
CACM-0028 0.0 NaN
CACM-2974 0.0 NaN
CACM-3126 0.0 NaN
CACM-2258 0.0 NaN
CACM-0927 0.0 NaN
CACM-2689 0.0 NaN
CACM-1757 0.0 NaN
CACM-1276 0.0 NaN
CACM-1736 0.0 NaN
CACM-0628 0.0 NaN
CACM-2415 0.0 NaN
CACM-0025 0.0 NaN
CACM-2256 0.0 NaN
CACM-2386 0.0 NaN
CACM-0073 0.0 NaN
CACM-0593 0.0 NaN
CACM-1302 0.0 NaN
CACM-1990 0.0 NaN
CACM-0079 0.0 NaN
CACM-0145 0.0 NaN
CACM-0528 0.0 NaN
CACM-1830 0.0 NaN
CACM-1118 0.0 NaN
CACM-2117 0.0 NaN
CACM-2574 0.0 NaN
CACM-2023 0.0 NaN
CACM-0093 0.0 NaN
CACM-1000 0.0 NaN
CACM-0725 0.0 NaN
CACM-0998 0.0 NaN
CACM-1089 0.0 NaN
CACM-2503 0.0 NaN
CACM-0530 0.0 NaN
CACM-1731 0.0 NaN
CACM-0217 0.0 NaN
CACM-1895 0.0 NaN
CACM-2329 0.0 NaN
CACM-2008 0.0 NaN
CACM-2239 0.0 NaN
CACM-0859 0.0 NaN
CACM-1298 0.0 NaN
CACM-1104 0.0 NaN
CACM-2478 0.0 NaN
CACM-1759 0.0 NaN
CACM-1370 0.0 NaN
CACM-1275 0.0 NaN
CACM-0872 0.0 NaN
CACM-1734 0.0 NaN
CACM-0199 0.0 NaN
CACM-0657 0.0 NaN
CACM-1560 0.0 NaN
CACM-1880 0.0 NaN
CACM-2098 0.0 NaN
CACM-1539 0.0 NaN
CACM-2348 0.0 NaN
CACM-1967 0.0 NaN
CACM-2120 0.0 NaN
CACM-0487 0.0 NaN
CACM-0802 0.0 NaN
CACM-0938 0.0 NaN
CACM-0127 0.0 NaN
CACM-0212 0.0 NaN
CACM-0227 0.0 NaN
CACM-0305 0.0 NaN
CACM-0306 0.0 NaN
CACM-0427 0.0 NaN
CACM-0473 0.0 NaN
CACM-0523 0.0 NaN
CACM-0565 0.0 NaN
CACM-0663 0.0 NaN
CACM-0686 0.0 NaN
CACM-0709 0.0 NaN
CACM-0743 0.0 NaN
CACM-0790 0.0 NaN
CACM-0817 0.0 NaN
CACM-0843 0.0 NaN
CACM-0924 0.0 NaN
CACM-0926 0.0 NaN
CACM-1074 0.0 NaN
CACM-1125 0.0 NaN
CACM-2237 0.0 NaN
CACM-2511 0.0 NaN
CACM-0132 0.0 NaN
CACM-0228 0.0 NaN
