P@5: 0.2
P@5: 0.05
CACM-2976 1.0 1.0
CACM-0705 0.5 1.0
CACM-2880 0.3333333333333333 1.0
CACM-0888 0.25 1.0
CACM-2182 0.2 1.0
CACM-0827 0.16666666666666666 1.0
CACM-0174 0.14285714285714285 1.0
CACM-1887 0.125 1.0
CACM-1688 0.1111111111111111 1.0
CACM-1687 0.1 1.0
CACM-2088 0.09090909090909091 1.0
CACM-1690 0.08333333333333333 1.0
CACM-2743 0.07692307692307693 1.0
CACM-0517 0.07142857142857142 1.0
CACM-2963 0.06666666666666667 1.0
CACM-2875 0.0625 1.0
CACM-1704 0.058823529411764705 1.0
CACM-2663 0.05555555555555555 1.0
CACM-1762 0.05263157894736842 1.0
CACM-0006 0.05 1.0
CACM-1981 0.047619047619047616 1.0
CACM-2029 0.045454545454545456 1.0
CACM-1730 0.043478260869565216 1.0
CACM-1760 0.041666666666666664 1.0
CACM-0415 0.04 1.0
CACM-1838 0.038461538461538464 1.0
CACM-1761 0.037037037037037035 1.0
CACM-2303 0.03571428571428571 1.0
CACM-2934 0.034482758620689655 1.0
CACM-3172 0.03333333333333333 1.0
CACM-1111 0.03225806451612903 1.0
CACM-0884 0.03125 1.0
CACM-0232 0.030303030303030304 1.0
CACM-2577 0.029411764705882353 1.0
CACM-2783 0.02857142857142857 1.0
CACM-0115 0.027777777777777776 1.0
CACM-0228 0.02702702702702703 1.0
CACM-0326 0.02631578947368421 1.0
CACM-0422 0.02564102564102564 1.0
CACM-0445 0.025 1.0
CACM-0664 0.024390243902439025 1.0
CACM-0703 0.023809523809523808 1.0
CACM-0139 0.023255813953488372 1.0
CACM-0315 0.022727272727272728 1.0
CACM-0520 0.022222222222222223 1.0
CACM-0566 0.021739130434782608 1.0
CACM-0874 0.02127659574468085 1.0
CACM-0882 0.020833333333333332 1.0
CACM-1246 0.02040816326530612 1.0
CACM-2461 0.02 1.0
CACM-1818 0.0196078431372549 1.0
CACM-0024 0.019230769230769232 1.0
CACM-0113 0.018867924528301886 1.0
CACM-0259 0.018518518518518517 1.0
CACM-0814 0.01818181818181818 1.0
CACM-0820 0.017857142857142856 1.0
CACM-2503 0.017543859649122806 1.0
CACM-2917 0.017241379310344827 1.0
CACM-0193 0.01694915254237288 1.0
CACM-0285 0.016666666666666666 1.0
CACM-0444 0.01639344262295082 1.0
CACM-0910 0.016129032258064516 1.0
CACM-1103 0.015873015873015872 1.0
CACM-2761 0.015625 1.0
CACM-2349 0.015384615384615385 1.0
CACM-0012 0.015151515151515152 1.0
CACM-0150 0.014925373134328358 1.0
CACM-0186 0.014705882352941176 1.0
CACM-0654 0.014492753623188406 1.0
CACM-0875 0.014285714285714285 1.0
CACM-1446 0.014084507042253521 1.0
CACM-1984 0.013888888888888888 1.0
CACM-2462 0.0136986301369863 1.0
CACM-0277 0.013513513513513514 1.0
CACM-0368 0.013333333333333334 1.0
CACM-0386 0.013157894736842105 1.0
CACM-1201 0.012987012987012988 1.0
CACM-2636 0.01282051282051282 1.0
CACM-0156 0.012658227848101266 1.0
CACM-0681 0.0125 1.0
CACM-1133 0.012345679012345678 1.0
CACM-0027 0.012195121951219513 1.0
CACM-0066 0.012048192771084338 1.0
CACM-0230 0.011904761904761904 1.0
CACM-0751 0.011764705882352941 1.0
CACM-0788 0.011627906976744186 1.0
CACM-1017 0.011494252873563218 1.0
CACM-2235 0.011363636363636364 1.0
CACM-2635 0.011235955056179775 1.0
CACM-2791 0.011111111111111112 1.0
CACM-0105 0.01098901098901099 1.0
CACM-2234 0.010869565217391304 1.0
CACM-2508 0.010752688172043012 1.0
CACM-0026 0.010638297872340425 1.0
CACM-0035 0.010526315789473684 1.0
CACM-1733 0.010416666666666666 1.0
CACM-0666 0.010309278350515464 1.0
CACM-0135 0.01020408163265306 1.0
CACM-0148 0.010101010101010102 1.0
CACM-0292 0.01 1.0
