P@5: 0.6
P@5: 0.3
CACM-2906 1.0 0.14285714285714285
CACM-2699 1.0 0.2857142857142857
CACM-3171 0.6666666666666666 0.2857142857142857
CACM-2527 0.75 0.42857142857142855
CACM-1872 0.6 0.42857142857142855
CACM-2246 0.6666666666666666 0.5714285714285714
CACM-1903 0.5714285714285714 0.5714285714285714
CACM-0281 0.5 0.5714285714285714
CACM-2316 0.5555555555555556 0.7142857142857143
CACM-3057 0.5 0.7142857142857143
CACM-3148 0.45454545454545453 0.7142857142857143
CACM-1642 0.4166666666666667 0.7142857142857143
CACM-2787 0.38461538461538464 0.7142857142857143
CACM-1472 0.35714285714285715 0.7142857142857143
CACM-1923 0.4 0.8571428571428571
CACM-0111 0.375 0.8571428571428571
CACM-1627 0.35294117647058826 0.8571428571428571
CACM-2922 0.3333333333333333 0.8571428571428571
CACM-2621 0.3157894736842105 0.8571428571428571
CACM-2705 0.3 0.8571428571428571
CACM-2493 0.2857142857142857 0.8571428571428571
CACM-2897 0.2727272727272727 0.8571428571428571
CACM-2826 0.2608695652173913 0.8571428571428571
CACM-2593 0.25 0.8571428571428571
CACM-0755 0.24 0.8571428571428571
CACM-0367 0.23076923076923078 0.8571428571428571
CACM-3123 0.2222222222222222 0.8571428571428571
CACM-1835 0.21428571428571427 0.8571428571428571
CACM-1113 0.20689655172413793 0.8571428571428571
CACM-3130 0.2 0.8571428571428571
CACM-3080 0.1935483870967742 0.8571428571428571
CACM-2819 0.1875 0.8571428571428571
CACM-2749 0.18181818181818182 0.8571428571428571
CACM-2898 0.17647058823529413 0.8571428571428571
CACM-0252 0.17142857142857143 0.8571428571428571
CACM-1115 0.16666666666666666 0.8571428571428571
CACM-2688 0.16216216216216217 0.8571428571428571
CACM-1073 0.15789473684210525 0.8571428571428571
CACM-1183 0.15384615384615385 0.8571428571428571
CACM-2081 0.15 0.8571428571428571
CACM-1908 0.14634146341463414 0.8571428571428571
CACM-3119 0.14285714285714285 0.8571428571428571
CACM-0479 0.13953488372093023 0.8571428571428571
CACM-2219 0.13636363636363635 0.8571428571428571
CACM-1720 0.13333333333333333 0.8571428571428571
CACM-3058 0.13043478260869565 0.8571428571428571
CACM-1032 0.1276595744680851 0.8571428571428571
CACM-2076 0.125 0.8571428571428571
CACM-2880 0.12244897959183673 0.8571428571428571
CACM-1962 0.12 0.8571428571428571
CACM-1475 0.11764705882352941 0.8571428571428571
CACM-2320 0.11538461538461539 0.8571428571428571
CACM-1553 0.11320754716981132 0.8571428571428571
CACM-1930 0.1111111111111111 0.8571428571428571
CACM-1046 0.10909090909090909 0.8571428571428571
CACM-1610 0.10714285714285714 0.8571428571428571
CACM-2985 0.10526315789473684 0.8571428571428571
CACM-0265 0.10344827586206896 0.8571428571428571
CACM-1143 0.1016949152542373 0.8571428571428571
CACM-2526 0.1 0.8571428571428571
CACM-1871 0.09836065573770492 0.8571428571428571
CACM-3092 0.0967741935483871 0.8571428571428571
CACM-1643 0.09523809523809523 0.8571428571428571
CACM-2765 0.09375 0.8571428571428571
CACM-1182 0.09230769230769231 0.8571428571428571
CACM-2843 0.09090909090909091 0.8571428571428571
CACM-1703 0.08955223880597014 0.8571428571428571
CACM-2355 0.08823529411764706 0.8571428571428571
CACM-3040 0.08695652173913043 0.8571428571428571
CACM-1590 0.08571428571428572 0.8571428571428571
CACM-0670 0.08450704225352113 0.8571428571428571
CACM-2892 0.08333333333333333 0.8571428571428571
CACM-2542 0.0821917808219178 0.8571428571428571
CACM-2784 0.08108108108108109 0.8571428571428571
CACM-2708 0.08 0.8571428571428571
CACM-1926 0.07894736842105263 0.8571428571428571
CACM-1852 0.07792207792207792 0.8571428571428571
CACM-1474 0.07692307692307693 0.8571428571428571
CACM-1678 0.0759493670886076 0.8571428571428571
CACM-2406 0.075 0.8571428571428571
CACM-1625 0.07407407407407407 0.8571428571428571
CACM-2814 0.07317073170731707 0.8571428571428571
CACM-0651 0.07228915662650602 0.8571428571428571
CACM-1459 0.07142857142857142 0.8571428571428571
CACM-2887 0.07058823529411765 0.8571428571428571
CACM-3084 0.06976744186046512 0.8571428571428571
CACM-2782 0.06896551724137931 0.8571428571428571
CACM-0759 0.06818181818181818 0.8571428571428571
CACM-2137 0.06741573033707865 0.8571428571428571
CACM-1861 0.06666666666666667 0.8571428571428571
CACM-2354 0.06593406593406594 0.8571428571428571
CACM-2661 0.06521739130434782 0.8571428571428571
CACM-2365 0.06451612903225806 0.8571428571428571
CACM-1936 0.06382978723404255 0.8571428571428571
CACM-1098 0.06315789473684211 0.8571428571428571
CACM-2801 0.0625 0.8571428571428571
CACM-2968 0.061855670103092786 0.8571428571428571
CACM-1676 0.061224489795918366 0.8571428571428571
CACM-2645 0.06060606060606061 0.8571428571428571
CACM-3150 0.07 1.0
