P@5: 0.2
P@5: 0.15
CACM-2976 0.0 0.0
CACM-0132 0.0 0.0
CACM-0662 0.0 0.0
CACM-0701 0.0 0.0
CACM-2397 0.2 0.3333333333333333
CACM-0841 0.16666666666666666 0.3333333333333333
CACM-2563 0.2857142857142857 0.6666666666666666
CACM-2348 0.375 1.0
CACM-0853 0.3333333333333333 1.0
CACM-0857 0.3 1.0
CACM-1191 0.2727272727272727 1.0
CACM-0507 0.25 1.0
CACM-0776 0.23076923076923078 1.0
CACM-0307 0.21428571428571427 1.0
CACM-2577 0.2 1.0
CACM-1831 0.1875 1.0
CACM-0049 0.17647058823529413 1.0
CACM-2257 0.16666666666666666 1.0
CACM-0371 0.15789473684210525 1.0
CACM-1796 0.15 1.0
CACM-0457 0.14285714285714285 1.0
CACM-2007 0.13636363636363635 1.0
CACM-1342 0.13043478260869565 1.0
CACM-1660 0.125 1.0
CACM-1952 0.12 1.0
CACM-1953 0.11538461538461539 1.0
CACM-2830 0.1111111111111111 1.0
CACM-2362 0.10714285714285714 1.0
CACM-2417 0.10344827586206896 1.0
CACM-0618 0.1 1.0
CACM-0066 0.0967741935483871 1.0
CACM-0295 0.09375 1.0
CACM-2117 0.09090909090909091 1.0
CACM-0986 0.08823529411764706 1.0
CACM-1097 0.08571428571428572 1.0
CACM-1431 0.08333333333333333 1.0
CACM-1440 0.08108108108108109 1.0
CACM-1158 0.07894736842105263 1.0
CACM-2192 0.07692307692307693 1.0
CACM-1757 0.075 1.0
CACM-2906 0.07317073170731707 1.0
CACM-1073 0.07142857142857142 1.0
CACM-1923 0.06976744186046512 1.0
CACM-0951 0.06818181818181818 1.0
CACM-2813 0.06666666666666667 1.0
CACM-1615 0.06521739130434782 1.0
CACM-0029 0.06382978723404255 1.0
CACM-0265 0.0625 1.0
CACM-0009 0.061224489795918366 1.0
CACM-0034 0.06 1.0
CACM-2449 0.058823529411764705 1.0
CACM-0154 0.057692307692307696 1.0
CACM-0490 0.05660377358490566 1.0
CACM-0599 0.05555555555555555 1.0
CACM-0820 0.05454545454545454 1.0
CACM-0908 0.05357142857142857 1.0
CACM-1276 0.05263157894736842 1.0
CACM-1153 0.05172413793103448 1.0
CACM-0028 0.05084745762711865 1.0
CACM-0198 0.05 1.0
CACM-0815 0.04918032786885246 1.0
CACM-0816 0.04838709677419355 1.0
CACM-0845 0.047619047619047616 1.0
CACM-0910 0.046875 1.0
CACM-1058 0.046153846153846156 1.0
CACM-1064 0.045454545454545456 1.0
CACM-1103 0.04477611940298507 1.0
CACM-1289 0.04411764705882353 1.0
CACM-1414 0.043478260869565216 1.0
CACM-1701 0.04285714285714286 1.0
CACM-2509 0.04225352112676056 1.0
CACM-0050 0.041666666666666664 1.0
CACM-0234 0.0410958904109589 1.0
CACM-0391 0.04054054054054054 1.0
CACM-0482 0.04 1.0
CACM-1063 0.039473684210526314 1.0
CACM-1250 0.03896103896103896 1.0
CACM-1302 0.038461538461538464 1.0
CACM-1335 0.0379746835443038 1.0
CACM-1447 0.0375 1.0
CACM-1508 0.037037037037037035 1.0
CACM-1546 0.036585365853658534 1.0
CACM-0275 0.03614457831325301 1.0
CACM-0413 0.03571428571428571 1.0
CACM-0530 0.03529411764705882 1.0
CACM-0594 0.03488372093023256 1.0
CACM-0660 0.034482758620689655 1.0
CACM-0748 0.03409090909090909 1.0
CACM-0756 0.033707865168539325 1.0
CACM-1070 0.03333333333333333 1.0
CACM-1085 0.03296703296703297 1.0
CACM-1490 0.03260869565217391 1.0
CACM-1737 0.03225806451612903 1.0
CACM-2070 0.031914893617021274 1.0
CACM-2510 0.031578947368421054 1.0
CACM-2611 0.03125 1.0
CACM-0030 0.030927835051546393 1.0
CACM-0156 0.030612244897959183 1.0
CACM-0347 0.030303030303030304 1.0
CACM-0983 0.03 1.0
