P@5: 0.0
P@5: 0.05
CACM-2743 0.0 0.0
CACM-0041 0.0 0.0
CACM-0827 0.0 0.0
CACM-3063 0.0 0.0
CACM-2416 0.0 0.0
CACM-1831 0.16666666666666666 1.0
CACM-1971 0.14285714285714285 1.0
CACM-1289 0.125 1.0
CACM-1508 0.1111111111111111 1.0
CACM-0275 0.1 1.0
CACM-1773 0.09090909090909091 1.0
CACM-1442 0.08333333333333333 1.0
CACM-1509 0.07692307692307693 1.0
CACM-0292 0.07142857142857142 1.0
CACM-0797 0.06666666666666667 1.0
CACM-0690 0.0625 1.0
CACM-1655 0.058823529411764705 1.0
CACM-1276 0.05555555555555555 1.0
CACM-0628 0.05263157894736842 1.0
CACM-0987 0.05 1.0
CACM-0594 0.047619047619047616 1.0
CACM-1070 0.045454545454545456 1.0
CACM-2992 0.043478260869565216 1.0
CACM-2796 0.041666666666666664 1.0
CACM-2577 0.04 1.0
CACM-2690 0.038461538461538464 1.0
CACM-0271 0.037037037037037035 1.0
CACM-2394 0.03571428571428571 1.0
CACM-2573 0.034482758620689655 1.0
CACM-2069 0.03333333333333333 1.0
CACM-2976 0.03225806451612903 1.0
CACM-1139 0.03125 1.0
CACM-0371 0.030303030303030304 1.0
CACM-1016 0.029411764705882353 1.0
CACM-0555 0.02857142857142857 1.0
CACM-0047 0.027777777777777776 1.0
CACM-0572 0.02702702702702703 1.0
CACM-0593 0.02631578947368421 1.0
CACM-0683 0.02564102564102564 1.0
CACM-0280 0.025 1.0
CACM-0443 0.024390243902439025 1.0
CACM-1119 0.023809523809523808 1.0
CACM-1545 0.023255813953488372 1.0
CACM-0347 0.022727272727272728 1.0
CACM-0553 0.022222222222222223 1.0
CACM-2830 0.021739130434782608 1.0
CACM-0927 0.02127659574468085 1.0
CACM-3186 0.020833333333333332 1.0
CACM-2614 0.02040816326530612 1.0
CACM-2660 0.02 1.0
CACM-2102 0.0196078431372549 1.0
CACM-2432 0.019230769230769232 1.0
CACM-2658 0.018867924528301886 1.0
CACM-1965 0.018518518518518517 1.0
CACM-2055 0.01818181818181818 1.0
CACM-2574 0.017857142857142856 1.0
CACM-1967 0.017543859649122806 1.0
CACM-0168 0.017241379310344827 1.0
CACM-0602 0.01694915254237288 1.0
CACM-0057 0.016666666666666666 1.0
CACM-0093 0.01639344262295082 1.0
CACM-2120 0.016129032258064516 1.0
CACM-0641 0.015873015873015872 1.0
CACM-0684 0.015625 1.0
CACM-0775 0.015384615384615385 1.0
CACM-0813 0.015151515151515152 1.0
CACM-0845 0.014925373134328358 1.0
CACM-0959 0.014705882352941176 1.0
CACM-2079 0.014492753623188406 1.0
CACM-0049 0.014285714285714285 1.0
CACM-0442 0.014084507042253521 1.0
CACM-1447 0.013888888888888888 1.0
CACM-1546 0.0136986301369863 1.0
CACM-2995 0.013513513513513514 1.0
CACM-0121 0.013333333333333334 1.0
CACM-0331 0.013157894736842105 1.0
CACM-0660 0.012987012987012988 1.0
CACM-1038 0.01282051282051282 1.0
CACM-0529 0.012658227848101266 1.0
CACM-0780 0.0125 1.0
CACM-1091 0.012345679012345678 1.0
CACM-1448 0.012195121951219513 1.0
CACM-2675 0.012048192771084338 1.0
CACM-0792 0.011904761904761904 1.0
CACM-1275 0.011764705882352941 1.0
CACM-1096 0.011627906976744186 1.0
CACM-2014 0.011494252873563218 1.0
CACM-0064 0.011363636363636364 1.0
CACM-2589 0.011235955056179775 1.0
CACM-1312 0.011111111111111112 1.0
CACM-2476 0.01098901098901099 1.0
CACM-0412 0.010869565217391304 1.0
CACM-2615 0.010752688172043012 1.0
CACM-2426 0.010638297872340425 1.0
CACM-1107 0.010526315789473684 1.0
CACM-1319 0.010416666666666666 1.0
CACM-1367 0.010309278350515464 1.0
CACM-1866 0.01020408163265306 1.0
CACM-0945 0.010101010101010102 1.0
CACM-2844 0.01 1.0
