P@5: 0.6
P@5: 0.2
CACM-3032 1.0 0.25
CACM-2892 0.5 0.25
CACM-2949 0.6666666666666666 0.5
CACM-2289 0.5 0.5
CACM-2849 0.6 0.75
CACM-1685 0.5 0.75
CACM-3040 0.42857142857142855 0.75
CACM-1516 0.375 0.75
CACM-1723 0.3333333333333333 0.75
CACM-3038 0.3 0.75
CACM-2969 0.2727272727272727 0.75
CACM-0828 0.25 0.75
CACM-2371 0.23076923076923078 0.75
CACM-3133 0.21428571428571427 0.75
CACM-1695 0.2 0.75
CACM-2900 0.1875 0.75
CACM-2614 0.17647058823529413 0.75
CACM-3043 0.16666666666666666 0.75
CACM-2578 0.21052631578947367 1.0
CACM-1688 0.2 1.0
CACM-1687 0.19047619047619047 1.0
CACM-2088 0.18181818181818182 1.0
CACM-1690 0.17391304347826086 1.0
CACM-1704 0.16666666666666666 1.0
CACM-0666 0.16 1.0
CACM-1822 0.15384615384615385 1.0
CACM-2350 0.14814814814814814 1.0
CACM-2562 0.14285714285714285 1.0
CACM-2445 0.13793103448275862 1.0
CACM-0770 0.13333333333333333 1.0
CACM-0906 0.12903225806451613 1.0
CACM-0356 0.125 1.0
CACM-0740 0.12121212121212122 1.0
CACM-1057 0.11764705882352941 1.0
CACM-0225 0.11428571428571428 1.0
CACM-1582 0.1111111111111111 1.0
CACM-0200 0.10810810810810811 1.0
CACM-0201 0.10526315789473684 1.0
CACM-1378 0.10256410256410256 1.0
CACM-1574 0.1 1.0
CACM-1575 0.0975609756097561 1.0
CACM-1579 0.09523809523809523 1.0
CACM-2473 0.09302325581395349 1.0
CACM-1580 0.09090909090909091 1.0
CACM-1585 0.08888888888888889 1.0
CACM-1895 0.08695652173913043 1.0
CACM-2199 0.0851063829787234 1.0
CACM-1881 0.08333333333333333 1.0
CACM-1606 0.08163265306122448 1.0
CACM-1583 0.08 1.0
CACM-1581 0.0784313725490196 1.0
CACM-1190 0.07692307692307693 1.0
CACM-2007 0.07547169811320754 1.0
CACM-1342 0.07407407407407407 1.0
CACM-1660 0.07272727272727272 1.0
CACM-1952 0.07142857142857142 1.0
CACM-1953 0.07017543859649122 1.0
CACM-2830 0.06896551724137931 1.0
CACM-2362 0.06779661016949153 1.0
CACM-1773 0.06666666666666667 1.0
CACM-0208 0.06557377049180328 1.0
CACM-0526 0.06451612903225806 1.0
CACM-0171 0.06349206349206349 1.0
CACM-0270 0.0625 1.0
CACM-2258 0.06153846153846154 1.0
CACM-0032 0.06060606060606061 1.0
CACM-0832 0.05970149253731343 1.0
CACM-0960 0.058823529411764705 1.0
CACM-1556 0.057971014492753624 1.0
CACM-0167 0.05714285714285714 1.0
CACM-0263 0.056338028169014086 1.0
CACM-0369 0.05555555555555555 1.0
CACM-0373 0.0547945205479452 1.0
CACM-0880 0.05405405405405406 1.0
CACM-0358 0.05333333333333334 1.0
CACM-0650 0.05263157894736842 1.0
CACM-0801 0.05194805194805195 1.0
CACM-0839 0.05128205128205128 1.0
CACM-0991 0.05063291139240506 1.0
CACM-1405 0.05 1.0
CACM-0240 0.04938271604938271 1.0
CACM-0733 0.04878048780487805 1.0
CACM-0734 0.04819277108433735 1.0
CACM-1082 0.047619047619047616 1.0
CACM-0953 0.047058823529411764 1.0
CACM-1547 0.046511627906976744 1.0
CACM-0392 0.04597701149425287 1.0
CACM-1995 0.045454545454545456 1.0
CACM-2332 0.0449438202247191 1.0
CACM-0879 0.044444444444444446 1.0
CACM-1913 0.04395604395604396 1.0
CACM-2068 0.043478260869565216 1.0
CACM-0152 0.043010752688172046 1.0
CACM-2364 0.0425531914893617 1.0
CACM-1461 0.042105263157894736 1.0
CACM-0109 0.041666666666666664 1.0
CACM-0119 0.041237113402061855 1.0
CACM-0985 0.04081632653061224 1.0
CACM-1301 0.04040404040404041 1.0
CACM-2774 0.04 1.0
