P@5: 0.0
P@5: 0.0
CACM-1922 0.0 NaN
CACM-1736 0.0 NaN
CACM-0225 0.0 NaN
CACM-0043 0.0 NaN
CACM-1191 0.0 NaN
CACM-0507 0.0 NaN
CACM-0307 0.0 NaN
CACM-2009 0.0 NaN
CACM-1076 0.0 NaN
CACM-0394 0.0 NaN
CACM-0428 0.0 NaN
CACM-1058 0.0 NaN
CACM-0416 0.0 NaN
CACM-2574 0.0 NaN
CACM-0107 0.0 NaN
CACM-2477 0.0 NaN
CACM-2672 0.0 NaN
CACM-2796 0.0 NaN
CACM-0827 0.0 NaN
CACM-0457 0.0 NaN
CACM-0776 0.0 NaN
CACM-2689 0.0 NaN
CACM-2690 0.0 NaN
CACM-1923 0.0 NaN
CACM-0795 0.0 NaN
CACM-0089 0.0 NaN
CACM-2329 0.0 NaN
CACM-1461 0.0 NaN
CACM-0786 0.0 NaN
CACM-2258 0.0 NaN
CACM-0392 0.0 NaN
CACM-0412 0.0 NaN
CACM-0052 0.0 NaN
CACM-2068 0.0 NaN
CACM-0087 0.0 NaN
CACM-0109 0.0 NaN
CACM-0119 0.0 NaN
CACM-0985 0.0 NaN
CACM-1301 0.0 NaN
CACM-2774 0.0 NaN
CACM-0141 0.0 NaN
CACM-0312 0.0 NaN
CACM-2503 0.0 NaN
CACM-0003 0.0 NaN
CACM-0118 0.0 NaN
CACM-0363 0.0 NaN
CACM-0476 0.0 NaN
CACM-0581 0.0 NaN
CACM-0629 0.0 NaN
CACM-1005 0.0 NaN
CACM-1702 0.0 NaN
CACM-3029 0.0 NaN
CACM-0821 0.0 NaN
CACM-1187 0.0 NaN
CACM-0138 0.0 NaN
CACM-0170 0.0 NaN
CACM-0818 0.0 NaN
CACM-0628 0.0 NaN
CACM-0027 0.0 NaN
CACM-2024 0.0 NaN
CACM-3063 0.0 NaN
CACM-0105 0.0 NaN
CACM-0361 0.0 NaN
CACM-0477 0.0 NaN
CACM-1812 0.0 NaN
CACM-1249 0.0 NaN
CACM-0297 0.0 NaN
CACM-1466 0.0 NaN
CACM-2293 0.0 NaN
CACM-1151 0.0 NaN
CACM-1964 0.0 NaN
CACM-2067 0.0 NaN
CACM-2586 0.0 NaN
CACM-2352 0.0 NaN
CACM-1330 0.0 NaN
CACM-0946 0.0 NaN
CACM-0826 0.0 NaN
CACM-2495 0.0 NaN
CACM-1965 0.0 NaN
CACM-2757 0.0 NaN
CACM-0635 0.0 NaN
CACM-0163 0.0 NaN
CACM-2159 0.0 NaN
CACM-2361 0.0 NaN
CACM-2333 0.0 NaN
CACM-2023 0.0 NaN
CACM-2908 0.0 NaN
CACM-1328 0.0 NaN
CACM-0044 0.0 NaN
CACM-3126 0.0 NaN
CACM-1831 0.0 NaN
CACM-0866 0.0 NaN
CACM-2974 0.0 NaN
CACM-0142 0.0 NaN
CACM-2280 0.0 NaN
CACM-1105 0.0 NaN
CACM-2409 0.0 NaN
CACM-0269 0.0 NaN
CACM-2256 0.0 NaN
CACM-2257 0.0 NaN
