P@5: 0.2
P@5: 0.05
CACM-2700 0.0 0.0
CACM-2714 0.5 1.0
CACM-2740 0.3333333333333333 1.0
CACM-0141 0.25 1.0
CACM-0392 0.2 1.0
CACM-2080 0.16666666666666666 1.0
CACM-3073 0.14285714285714285 1.0
CACM-2514 0.125 1.0
CACM-1796 0.1111111111111111 1.0
CACM-2007 0.1 1.0
CACM-1342 0.09090909090909091 1.0
CACM-1660 0.08333333333333333 1.0
CACM-1952 0.07692307692307693 1.0
CACM-0804 0.07142857142857142 1.0
CACM-1374 0.06666666666666667 1.0
CACM-2781 0.0625 1.0
CACM-1953 0.058823529411764705 1.0
CACM-2725 0.05555555555555555 1.0
CACM-2830 0.05263157894736842 1.0
CACM-1851 0.05 1.0
CACM-3061 0.047619047619047616 1.0
CACM-2942 0.045454545454545456 1.0
CACM-2550 0.043478260869565216 1.0
CACM-2362 0.041666666666666664 1.0
CACM-2647 0.04 1.0
CACM-2025 0.038461538461538464 1.0
CACM-2222 0.037037037037037035 1.0
CACM-2129 0.03571428571428571 1.0
CACM-1269 0.034482758620689655 1.0
CACM-0194 0.03333333333333333 1.0
CACM-0042 0.03225806451612903 1.0
CACM-0676 0.03125 1.0
CACM-0220 0.030303030303030304 1.0
CACM-1480 0.029411764705882353 1.0
CACM-1817 0.02857142857142857 1.0
CACM-2600 0.027777777777777776 1.0
CACM-2404 0.02702702702702703 1.0
CACM-2694 0.02631578947368421 1.0
CACM-2131 0.02564102564102564 1.0
CACM-2132 0.025 1.0
CACM-0083 0.024390243902439025 1.0
CACM-2119 0.023809523809523808 1.0
CACM-0532 0.023255813953488372 1.0
CACM-2306 0.022727272727272728 1.0
CACM-1909 0.022222222222222223 1.0
CACM-0183 0.021739130434782608 1.0
CACM-0977 0.02127659574468085 1.0
CACM-2815 0.020833333333333332 1.0
CACM-0560 0.02040816326530612 1.0
CACM-0210 0.02 1.0
CACM-2226 0.0196078431372549 1.0
CACM-0270 0.019230769230769232 1.0
CACM-3151 0.018867924528301886 1.0
CACM-1444 0.018518518518518517 1.0
CACM-2158 0.01818181818181818 1.0
CACM-1030 0.017857142857142856 1.0
CACM-1315 0.017543859649122806 1.0
CACM-0039 0.017241379310344827 1.0
CACM-0066 0.01694915254237288 1.0
CACM-0231 0.016666666666666666 1.0
CACM-2936 0.01639344262295082 1.0
CACM-0092 0.016129032258064516 1.0
CACM-0697 0.015873015873015872 1.0
CACM-1633 0.015625 1.0
CACM-2117 0.015384615384615385 1.0
CACM-0755 0.015151515151515152 1.0
CACM-1111 0.014925373134328358 1.0
CACM-2806 0.014705882352941176 1.0
CACM-0986 0.014492753623188406 1.0
CACM-1002 0.014285714285714285 1.0
CACM-0380 0.014084507042253521 1.0
CACM-3172 0.013888888888888888 1.0
CACM-2015 0.0136986301369863 1.0
CACM-0094 0.013513513513513514 1.0
CACM-1440 0.013333333333333334 1.0
CACM-2192 0.013157894736842105 1.0
CACM-2248 0.012987012987012988 1.0
CACM-2772 0.01282051282051282 1.0
CACM-2703 0.012658227848101266 1.0
CACM-1295 0.0125 1.0
CACM-1757 0.012345679012345678 1.0
CACM-1044 0.012195121951219513 1.0
CACM-1540 0.012048192771084338 1.0
CACM-2956 0.011904761904761904 1.0
CACM-3068 0.011764705882352941 1.0
CACM-1073 0.011627906976744186 1.0
CACM-1634 0.011494252873563218 1.0
CACM-1887 0.011363636363636364 1.0
CACM-1403 0.011235955056179775 1.0
CACM-1923 0.011111111111111112 1.0
CACM-1859 0.01098901098901099 1.0
CACM-3171 0.010869565217391304 1.0
CACM-1718 0.010752688172043012 1.0
CACM-1226 0.010638297872340425 1.0
CACM-2162 0.010526315789473684 1.0
CACM-0951 0.010416666666666666 1.0
CACM-1351 0.010309278350515464 1.0
CACM-1852 0.01020408163265306 1.0
CACM-2413 0.010101010101010102 1.0
CACM-0029 0.01 1.0
