P@5: 1.0
P@5: 0.9
CACM-1629 1.0 0.05
CACM-2634 1.0 0.1
CACM-1344 1.0 0.15
CACM-1709 1.0 0.2
CACM-1445 1.0 0.25
CACM-1411 1.0 0.3
CACM-2825 1.0 0.35
CACM-1398 1.0 0.4
CACM-1631 1.0 0.45
CACM-1619 1.0 0.5
CACM-2395 1.0 0.55
CACM-3166 1.0 0.6
CACM-3167 1.0 0.65
CACM-1293 1.0 0.7
CACM-1691 1.0 0.75
CACM-2249 1.0 0.8
CACM-2719 1.0 0.85
CACM-1420 1.0 0.9
CACM-3138 0.9473684210526315 0.9
CACM-2849 0.9 0.9
CACM-1698 0.8571428571428571 0.9
CACM-2731 0.8636363636363636 0.95
CACM-1474 0.8260869565217391 0.95
CACM-1433 0.7916666666666666 0.95
CACM-1695 0.76 0.95
CACM-2786 0.7307692307692307 0.95
CACM-2986 0.7037037037037037 0.95
CACM-3087 0.6785714285714286 0.95
CACM-2188 0.6551724137931034 0.95
CACM-2722 0.6333333333333333 0.95
CACM-1410 0.6129032258064516 0.95
CACM-2994 0.59375 0.95
CACM-1844 0.5757575757575758 0.95
CACM-2993 0.5588235294117647 0.95
CACM-1674 0.5428571428571428 0.95
CACM-1978 0.5277777777777778 0.95
CACM-2636 0.5405405405405406 1.0
CACM-2951 0.5263157894736842 1.0
CACM-2771 0.5128205128205128 1.0
CACM-2534 0.5 1.0
CACM-2470 0.4878048780487805 1.0
CACM-2373 0.47619047619047616 1.0
CACM-2398 0.46511627906976744 1.0
CACM-1206 0.45454545454545453 1.0
CACM-2525 0.4444444444444444 1.0
CACM-0675 0.43478260869565216 1.0
CACM-1977 0.425531914893617 1.0
CACM-2343 0.4166666666666667 1.0
CACM-2665 0.40816326530612246 1.0
CACM-1665 0.4 1.0
CACM-1169 0.39215686274509803 1.0
CACM-1454 0.38461538461538464 1.0
CACM-2646 0.37735849056603776 1.0
CACM-2645 0.37037037037037035 1.0
CACM-2924 0.36363636363636365 1.0
CACM-3021 0.35714285714285715 1.0
CACM-3103 0.3508771929824561 1.0
CACM-2828 0.3448275862068966 1.0
CACM-1171 0.3389830508474576 1.0
CACM-1650 0.3333333333333333 1.0
CACM-2970 0.32786885245901637 1.0
CACM-1697 0.3225806451612903 1.0
CACM-2753 0.31746031746031744 1.0
CACM-2670 0.3125 1.0
CACM-1856 0.3076923076923077 1.0
CACM-1252 0.30303030303030304 1.0
CACM-1366 0.29850746268656714 1.0
CACM-0497 0.29411764705882354 1.0
CACM-2767 0.2898550724637681 1.0
CACM-2766 0.2857142857142857 1.0
CACM-1700 0.28169014084507044 1.0
CACM-1517 0.2777777777777778 1.0
CACM-2314 0.273972602739726 1.0
CACM-1609 0.2702702702702703 1.0
CACM-2215 0.26666666666666666 1.0
CACM-1457 0.2631578947368421 1.0
CACM-2820 0.2597402597402597 1.0
CACM-0417 0.2564102564102564 1.0
CACM-2559 0.25316455696202533 1.0
CACM-1671 0.25 1.0
CACM-1066 0.24691358024691357 1.0
CACM-2514 0.24390243902439024 1.0
CACM-0536 0.24096385542168675 1.0
CACM-0865 0.23809523809523808 1.0
CACM-2695 0.23529411764705882 1.0
CACM-2035 0.23255813953488372 1.0
CACM-2167 0.22988505747126436 1.0
CACM-2542 0.22727272727272727 1.0
CACM-3092 0.2247191011235955 1.0
CACM-1705 0.2222222222222222 1.0
CACM-2484 0.21978021978021978 1.0
CACM-1010 0.21739130434782608 1.0
CACM-2787 0.21505376344086022 1.0
CACM-2402 0.2127659574468085 1.0
CACM-2273 0.21052631578947367 1.0
CACM-1988 0.20833333333333334 1.0
CACM-2424 0.20618556701030927 1.0
CACM-1699 0.20408163265306123 1.0
CACM-1749 0.20202020202020202 1.0
CACM-3002 0.2 1.0
