P@5: 0.6
P@5: 0.15
CACM-3032 1.0 0.3333333333333333
CACM-2625 1.0 0.6666666666666666
CACM-2849 1.0 1.0
CACM-2951 0.75 1.0
CACM-1752 0.6 1.0
CACM-2522 0.5 1.0
CACM-2541 0.42857142857142855 1.0
CACM-1846 0.375 1.0
CACM-2046 0.3333333333333333 1.0
CACM-3076 0.3 1.0
CACM-2776 0.2727272727272727 1.0
CACM-2371 0.25 1.0
CACM-2892 0.23076923076923078 1.0
CACM-1751 0.21428571428571427 1.0
CACM-2632 0.2 1.0
CACM-1680 0.1875 1.0
CACM-1754 0.17647058823529413 1.0
CACM-0441 0.16666666666666666 1.0
CACM-0828 0.15789473684210525 1.0
CACM-1685 0.15 1.0
CACM-1723 0.14285714285714285 1.0
CACM-2197 0.13636363636363635 1.0
CACM-2712 0.13043478260869565 1.0
CACM-2949 0.125 1.0
CACM-2969 0.12 1.0
CACM-3040 0.11538461538461539 1.0
CACM-3158 0.1111111111111111 1.0
CACM-1745 0.10714285714285714 1.0
CACM-3153 0.10344827586206896 1.0
CACM-1811 0.1 1.0
CACM-1844 0.0967741935483871 1.0
CACM-1928 0.09375 1.0
CACM-2198 0.09090909090909091 1.0
CACM-2988 0.08823529411764706 1.0
CACM-3059 0.08571428571428572 1.0
CACM-2798 0.08333333333333333 1.0
CACM-3127 0.08108108108108109 1.0
CACM-1226 0.07894736842105263 1.0
CACM-1247 0.07692307692307693 1.0
CACM-1728 0.075 1.0
CACM-1747 0.07317073170731707 1.0
CACM-1854 0.07142857142857142 1.0
CACM-1892 0.06976744186046512 1.0
CACM-2111 0.06818181818181818 1.0
CACM-2138 0.06666666666666667 1.0
CACM-2317 0.06521739130434782 1.0
CACM-2342 0.06382978723404255 1.0
CACM-2372 0.0625 1.0
CACM-2374 0.061224489795918366 1.0
CACM-2378 0.06 1.0
CACM-2424 0.058823529411764705 1.0
CACM-2629 0.057692307692307696 1.0
CACM-2950 0.05660377358490566 1.0
CACM-3002 0.05555555555555555 1.0
CACM-3006 0.05454545454545454 1.0
CACM-3025 0.05357142857142857 1.0
CACM-3068 0.05263157894736842 1.0
CACM-3105 0.05172413793103448 1.0
CACM-3141 0.05084745762711865 1.0
CACM-2181 0.05 1.0
CACM-3072 0.04918032786885246 1.0
CACM-3117 0.04838709677419355 1.0
CACM-1938 0.047619047619047616 1.0
CACM-2320 0.046875 1.0
CACM-3092 0.046153846153846156 1.0
CACM-1591 0.045454545454545456 1.0
CACM-2297 0.04477611940298507 1.0
CACM-2499 0.04411764705882353 1.0
CACM-0040 0.043478260869565216 1.0
CACM-0332 0.04285714285714286 1.0
CACM-0796 0.04225352112676056 1.0
CACM-0912 0.041666666666666664 1.0
CACM-1869 0.0410958904109589 1.0
CACM-1879 0.04054054054054054 1.0
CACM-2033 0.04 1.0
CACM-2060 0.039473684210526314 1.0
CACM-2194 0.03896103896103896 1.0
CACM-2203 0.038461538461538464 1.0
CACM-2501 0.0379746835443038 1.0
CACM-2858 0.0375 1.0
CACM-2991 0.037037037037037035 1.0
CACM-2080 0.036585365853658534 1.0
CACM-2379 0.03614457831325301 1.0
CACM-2597 0.03571428571428571 1.0
CACM-2358 0.03529411764705882 1.0
CACM-2900 0.03488372093023256 1.0
CACM-1354 0.034482758620689655 1.0
CACM-2289 0.03409090909090909 1.0
CACM-2454 0.033707865168539325 1.0
CACM-2593 0.03333333333333333 1.0
CACM-2919 0.03296703296703297 1.0
CACM-3038 0.03260869565217391 1.0
CACM-1695 0.03225806451612903 1.0
CACM-1034 0.031914893617021274 1.0
CACM-1856 0.031578947368421054 1.0
CACM-1890 0.03125 1.0
CACM-2178 0.030927835051546393 1.0
CACM-2274 0.030612244897959183 1.0
CACM-2327 0.030303030303030304 1.0
CACM-2401 0.03 1.0
