P@5: 0.8
P@5: 0.2
CACM-1926 1.0 0.25
CACM-2917 1.0 0.5
CACM-2786 1.0 0.75
CACM-2486 1.0 1.0
CACM-2572 0.8 1.0
CACM-2876 0.6666666666666666 1.0
CACM-1470 0.5714285714285714 1.0
CACM-2871 0.5 1.0
CACM-3142 0.4444444444444444 1.0
CACM-2341 0.4 1.0
CACM-2541 0.36363636363636365 1.0
CACM-2931 0.3333333333333333 1.0
CACM-1518 0.3076923076923077 1.0
CACM-1908 0.2857142857142857 1.0
CACM-3011 0.26666666666666666 1.0
CACM-0724 0.25 1.0
CACM-1267 0.23529411764705882 1.0
CACM-1854 0.2222222222222222 1.0
CACM-1393 0.21052631578947367 1.0
CACM-1711 0.2 1.0
CACM-2314 0.19047619047619047 1.0
CACM-2344 0.18181818181818182 1.0
CACM-2629 0.17391304347826086 1.0
CACM-1616 0.16666666666666666 1.0
CACM-2582 0.16 1.0
CACM-2947 0.15384615384615385 1.0
CACM-0248 0.14814814814814814 1.0
CACM-1248 0.14285714285714285 1.0
CACM-1413 0.13793103448275862 1.0
CACM-1625 0.13333333333333333 1.0
CACM-1698 0.12903225806451613 1.0
CACM-2312 0.125 1.0
CACM-2390 0.12121212121212122 1.0
CACM-2764 0.11764705882352941 1.0
CACM-2835 0.11428571428571428 1.0
CACM-2927 0.1111111111111111 1.0
CACM-2989 0.10810810810810811 1.0
CACM-3173 0.10526315789473684 1.0
CACM-0046 0.10256410256410256 1.0
CACM-0300 0.1 1.0
CACM-0435 0.0975609756097561 1.0
CACM-0440 0.09523809523809523 1.0
CACM-0616 0.09302325581395349 1.0
CACM-0637 0.09090909090909091 1.0
CACM-0696 0.08888888888888889 1.0
CACM-0855 0.08695652173913043 1.0
CACM-1032 0.0851063829787234 1.0
CACM-1066 0.08333333333333333 1.0
CACM-1164 0.08163265306122448 1.0
CACM-1199 0.08 1.0
CACM-1290 0.0784313725490196 1.0
CACM-1349 0.07692307692307693 1.0
CACM-1435 0.07547169811320754 1.0
CACM-1476 0.07407407407407407 1.0
CACM-1664 0.07272727272727272 1.0
CACM-1677 0.07142857142857142 1.0
CACM-1684 0.07017543859649122 1.0
CACM-1699 0.06896551724137931 1.0
CACM-1713 0.06779661016949153 1.0
CACM-1745 0.06666666666666667 1.0
CACM-1748 0.06557377049180328 1.0
CACM-1750 0.06451612903225806 1.0
CACM-1752 0.06349206349206349 1.0
CACM-1844 0.0625 1.0
CACM-1845 0.06153846153846154 1.0
CACM-1846 0.06060606060606061 1.0
CACM-1901 0.05970149253731343 1.0
CACM-1946 0.058823529411764705 1.0
CACM-1962 0.057971014492753624 1.0
CACM-2017 0.05714285714285714 1.0
CACM-2036 0.056338028169014086 1.0
CACM-2046 0.05555555555555555 1.0
CACM-2127 0.0547945205479452 1.0
CACM-2128 0.05405405405405406 1.0
CACM-2130 0.05333333333333334 1.0
CACM-2163 0.05263157894736842 1.0
CACM-2167 0.05194805194805195 1.0
CACM-2181 0.05128205128205128 1.0
CACM-2188 0.05063291139240506 1.0
CACM-2195 0.05 1.0
CACM-2198 0.04938271604938271 1.0
CACM-2247 0.04878048780487805 1.0
CACM-2268 0.04819277108433735 1.0
CACM-2298 0.047619047619047616 1.0
CACM-2313 0.047058823529411764 1.0
CACM-2358 0.046511627906976744 1.0
CACM-2359 0.04597701149425287 1.0
CACM-2372 0.045454545454545456 1.0
CACM-2378 0.0449438202247191 1.0
CACM-2379 0.044444444444444446 1.0
CACM-2402 0.04395604395604396 1.0
CACM-2406 0.043478260869565216 1.0
CACM-2421 0.043010752688172046 1.0
CACM-2424 0.0425531914893617 1.0
CACM-2470 0.042105263157894736 1.0
CACM-2479 0.041666666666666664 1.0
CACM-2496 0.041237113402061855 1.0
CACM-2517 0.04081632653061224 1.0
CACM-2522 0.04040404040404041 1.0
CACM-2542 0.04 1.0
