P@5: 1.0
P@5: 0.9
CACM-1795 1.0 0.043478260869565216
CACM-1262 1.0 0.08695652173913043
CACM-2685 1.0 0.13043478260869565
CACM-1158 1.0 0.17391304347826086
CACM-2714 1.0 0.21739130434782608
CACM-3156 1.0 0.2608695652173913
CACM-2785 1.0 0.30434782608695654
CACM-2700 1.0 0.34782608695652173
CACM-2895 1.0 0.391304347826087
CACM-2896 1.0 0.43478260869565216
CACM-3075 1.0 0.4782608695652174
CACM-2289 1.0 0.5217391304347826
CACM-1601 1.0 0.5652173913043478
CACM-2433 1.0 0.6086956521739131
CACM-2851 1.0 0.6521739130434783
CACM-1811 1.0 0.6956521739130435
CACM-1747 1.0 0.7391304347826086
CACM-2342 1.0 0.782608695652174
CACM-2266 0.9473684210526315 0.782608695652174
CACM-3059 0.9 0.782608695652174
CACM-1613 0.9047619047619048 0.8260869565217391
CACM-1471 0.9090909090909091 0.8695652173913043
CACM-3073 0.8695652173913043 0.8695652173913043
CACM-0320 0.8333333333333334 0.8695652173913043
CACM-0950 0.8 0.8695652173913043
CACM-1008 0.7692307692307693 0.8695652173913043
CACM-1200 0.7407407407407407 0.8695652173913043
CACM-1302 0.7142857142857143 0.8695652173913043
CACM-1325 0.6896551724137931 0.8695652173913043
CACM-1409 0.6666666666666666 0.8695652173913043
CACM-1468 0.6451612903225806 0.8695652173913043
CACM-1554 0.625 0.8695652173913043
CACM-1603 0.6060606060606061 0.8695652173913043
CACM-1828 0.5882352941176471 0.8695652173913043
CACM-1846 0.5714285714285714 0.8695652173913043
CACM-1854 0.5555555555555556 0.8695652173913043
CACM-1928 0.5405405405405406 0.8695652173913043
CACM-1957 0.5263157894736842 0.8695652173913043
CACM-1959 0.5128205128205128 0.8695652173913043
CACM-2114 0.5 0.8695652173913043
CACM-2175 0.4878048780487805 0.8695652173913043
CACM-2195 0.47619047619047616 0.8695652173913043
CACM-2401 0.46511627906976744 0.8695652173913043
CACM-2515 0.45454545454545453 0.8695652173913043
CACM-2557 0.4444444444444444 0.8695652173913043
CACM-2570 0.43478260869565216 0.8695652173913043
CACM-2692 0.425531914893617 0.8695652173913043
CACM-2723 0.4166666666666667 0.8695652173913043
CACM-2838 0.40816326530612246 0.8695652173913043
CACM-2865 0.4 0.8695652173913043
CACM-2973 0.39215686274509803 0.8695652173913043
CACM-3175 0.38461538461538464 0.8695652173913043
CACM-3039 0.39622641509433965 0.9130434782608695
CACM-2931 0.3888888888888889 0.9130434782608695
CACM-3077 0.38181818181818183 0.9130434782608695
CACM-2664 0.39285714285714285 0.9565217391304348
CACM-2150 0.40350877192982454 1.0
CACM-0141 0.39655172413793105 1.0
CACM-0392 0.3898305084745763 1.0
CACM-2080 0.38333333333333336 1.0
CACM-2514 0.3770491803278688 1.0
CACM-2740 0.3709677419354839 1.0
CACM-0249 0.36507936507936506 1.0
CACM-0265 0.359375 1.0
CACM-0303 0.35384615384615387 1.0
CACM-0321 0.3484848484848485 1.0
CACM-0409 0.34328358208955223 1.0
CACM-0435 0.3382352941176471 1.0
CACM-0464 0.3333333333333333 1.0
CACM-0651 0.32857142857142857 1.0
CACM-0724 0.323943661971831 1.0
CACM-0949 0.3194444444444444 1.0
CACM-1035 0.3150684931506849 1.0
CACM-1098 0.3108108108108108 1.0
CACM-1135 0.30666666666666664 1.0
CACM-1237 0.3026315789473684 1.0
CACM-1265 0.2987012987012987 1.0
CACM-1282 0.2948717948717949 1.0
CACM-1306 0.2911392405063291 1.0
CACM-1309 0.2875 1.0
CACM-1323 0.2839506172839506 1.0
CACM-1348 0.2804878048780488 1.0
CACM-1350 0.27710843373493976 1.0
CACM-1366 0.27380952380952384 1.0
CACM-1395 0.27058823529411763 1.0
CACM-1397 0.26744186046511625 1.0
CACM-1456 0.26436781609195403 1.0
CACM-1457 0.26136363636363635 1.0
CACM-1459 0.25842696629213485 1.0
CACM-1470 0.25555555555555554 1.0
CACM-1484 0.25274725274725274 1.0
CACM-1485 0.25 1.0
CACM-1491 0.24731182795698925 1.0
CACM-1496 0.24468085106382978 1.0
CACM-1703 0.24210526315789474 1.0
CACM-1710 0.23958333333333334 1.0
CACM-1769 0.23711340206185566 1.0
CACM-1824 0.23469387755102042 1.0
CACM-1852 0.23232323232323232 1.0
CACM-1869 0.23 1.0
