P@5: 0.2
P@5: 0.1
CACM-3078 1.0 0.5
CACM-0616 0.5 0.5
CACM-2177 0.3333333333333333 0.5
CACM-1741 0.25 0.5
CACM-2786 0.2 0.5
CACM-3117 0.16666666666666666 0.5
CACM-2434 0.2857142857142857 1.0
CACM-1012 0.25 1.0
CACM-1764 0.2222222222222222 1.0
CACM-2354 0.2 1.0
CACM-2692 0.18181818181818182 1.0
CACM-2771 0.16666666666666666 1.0
CACM-2905 0.15384615384615385 1.0
CACM-1334 0.14285714285714285 1.0
CACM-1197 0.13333333333333333 1.0
CACM-2421 0.125 1.0
CACM-2470 0.11764705882352941 1.0
CACM-2688 0.1111111111111111 1.0
CACM-2986 0.10526315789473684 1.0
CACM-2812 0.1 1.0
CACM-1464 0.09523809523809523 1.0
CACM-1469 0.09090909090909091 1.0
CACM-1486 0.08695652173913043 1.0
CACM-1705 0.08333333333333333 1.0
CACM-2233 0.08 1.0
CACM-2939 0.07692307692307693 1.0
CACM-0670 0.07407407407407407 1.0
CACM-1154 0.07142857142857142 1.0
CACM-1155 0.06896551724137931 1.0
CACM-1379 0.06666666666666667 1.0
CACM-1527 0.06451612903225806 1.0
CACM-1553 0.0625 1.0
CACM-1651 0.06060606060606061 1.0
CACM-1652 0.058823529411764705 1.0
CACM-1674 0.05714285714285714 1.0
CACM-1846 0.05555555555555555 1.0
CACM-1856 0.05405405405405406 1.0
CACM-2194 0.05263157894736842 1.0
CACM-2215 0.05128205128205128 1.0
CACM-2342 0.05 1.0
CACM-2451 0.04878048780487805 1.0
CACM-2534 0.047619047619047616 1.0
CACM-2852 0.046511627906976744 1.0
CACM-2925 0.045454545454545456 1.0
CACM-2980 0.044444444444444446 1.0
CACM-3110 0.043478260869565216 1.0
CACM-3129 0.0425531914893617 1.0
CACM-2896 0.041666666666666664 1.0
CACM-1264 0.04081632653061224 1.0
CACM-1046 0.04 1.0
CACM-1281 0.0392156862745098 1.0
CACM-1473 0.038461538461538464 1.0
CACM-1530 0.03773584905660377 1.0
CACM-1634 0.037037037037037035 1.0
CACM-1931 0.03636363636363636 1.0
CACM-2568 0.03571428571428571 1.0
CACM-2595 0.03508771929824561 1.0
CACM-2606 0.034482758620689655 1.0
CACM-2631 0.03389830508474576 1.0
CACM-2801 0.03333333333333333 1.0
CACM-2817 0.03278688524590164 1.0
CACM-2916 0.03225806451612903 1.0
CACM-1366 0.031746031746031744 1.0
CACM-1676 0.03125 1.0
CACM-3057 0.03076923076923077 1.0
CACM-1072 0.030303030303030304 1.0
CACM-1143 0.029850746268656716 1.0
CACM-1415 0.029411764705882353 1.0
CACM-1619 0.028985507246376812 1.0
CACM-1638 0.02857142857142857 1.0
CACM-1748 0.028169014084507043 1.0
CACM-2033 0.027777777777777776 1.0
CACM-2554 0.0273972602739726 1.0
CACM-2650 0.02702702702702703 1.0
CACM-2664 0.02666666666666667 1.0
CACM-2687 0.02631578947368421 1.0
CACM-2868 0.025974025974025976 1.0
CACM-2874 0.02564102564102564 1.0
CACM-2947 0.02531645569620253 1.0
CACM-3003 0.025 1.0
CACM-3145 0.024691358024691357 1.0
CACM-1433 0.024390243902439025 1.0
CACM-1454 0.024096385542168676 1.0
CACM-1516 0.023809523809523808 1.0
CACM-1650 0.023529411764705882 1.0
CACM-2379 0.023255813953488372 1.0
CACM-1519 0.022988505747126436 1.0
CACM-0942 0.022727272727272728 1.0
CACM-0695 0.02247191011235955 1.0
CACM-1397 0.022222222222222223 1.0
CACM-1623 0.02197802197802198 1.0
CACM-1867 0.021739130434782608 1.0
CACM-0040 0.021505376344086023 1.0
CACM-0144 0.02127659574468085 1.0
CACM-0248 0.021052631578947368 1.0
CACM-0531 0.020833333333333332 1.0
CACM-0644 0.020618556701030927 1.0
CACM-1013 0.02040816326530612 1.0
CACM-1166 0.020202020202020204 1.0
CACM-1172 0.02 1.0
