P@5: 0.2
P@5: 0.05
CACM-2805 1.0 1.0
CACM-2695 0.5 1.0
CACM-1423 0.3333333333333333 1.0
CACM-2554 0.25 1.0
CACM-2177 0.2 1.0
CACM-2887 0.16666666666666666 1.0
CACM-2217 0.14285714285714285 1.0
CACM-1325 0.125 1.0
CACM-1147 0.1111111111111111 1.0
CACM-2515 0.1 1.0
CACM-0637 0.09090909090909091 1.0
CACM-2188 0.08333333333333333 1.0
CACM-2106 0.07692307692307693 1.0
CACM-1350 0.07142857142857142 1.0
CACM-2807 0.06666666666666667 1.0
CACM-1143 0.0625 1.0
CACM-0644 0.058823529411764705 1.0
CACM-2592 0.05555555555555555 1.0
CACM-1665 0.05263157894736842 1.0
CACM-2977 0.05 1.0
CACM-2697 0.047619047619047616 1.0
CACM-2716 0.045454545454545456 1.0
CACM-2215 0.043478260869565216 1.0
CACM-1764 0.041666666666666664 1.0
CACM-0254 0.04 1.0
CACM-2396 0.038461538461538464 1.0
CACM-2226 0.037037037037037035 1.0
CACM-2542 0.03571428571428571 1.0
CACM-2957 0.034482758620689655 1.0
CACM-1930 0.03333333333333333 1.0
CACM-1280 0.03225806451612903 1.0
CACM-2261 0.03125 1.0
CACM-1397 0.030303030303030304 1.0
CACM-3138 0.029411764705882353 1.0
CACM-2840 0.02857142857142857 1.0
CACM-1255 0.027777777777777776 1.0
CACM-1710 0.02702702702702703 1.0
CACM-2787 0.02631578947368421 1.0
CACM-2094 0.02564102564102564 1.0
CACM-1388 0.025 1.0
CACM-2289 0.024390243902439025 1.0
CACM-1680 0.023809523809523808 1.0
CACM-2986 0.023255813953488372 1.0
CACM-2181 0.022727272727272728 1.0
CACM-2970 0.022222222222222223 1.0
CACM-1836 0.021739130434782608 1.0
CACM-1334 0.02127659574468085 1.0
CACM-1948 0.020833333333333332 1.0
CACM-1933 0.02040816326530612 1.0
CACM-1116 0.02 1.0
CACM-2890 0.0196078431372549 1.0
CACM-2954 0.019230769230769232 1.0
CACM-1684 0.018867924528301886 1.0
CACM-1809 0.018518518518518517 1.0
CACM-1308 0.01818181818181818 1.0
CACM-2560 0.017857142857142856 1.0
CACM-1235 0.017543859649122806 1.0
CACM-1902 0.017241379310344827 1.0
CACM-2053 0.01694915254237288 1.0
CACM-2030 0.016666666666666666 1.0
CACM-1135 0.01639344262295082 1.0
CACM-2523 0.016129032258064516 1.0
CACM-1404 0.015873015873015872 1.0
CACM-1956 0.015625 1.0
CACM-2794 0.015384615384615385 1.0
CACM-1543 0.015151515151515152 1.0
CACM-1782 0.014925373134328358 1.0
CACM-2355 0.014705882352941176 1.0
CACM-1652 0.014492753623188406 1.0
CACM-1847 0.014285714285714285 1.0
CACM-1288 0.014084507042253521 1.0
CACM-1049 0.013888888888888888 1.0
CACM-1046 0.0136986301369863 1.0
CACM-1723 0.013513513513513514 1.0
CACM-2669 0.013333333333333334 1.0
CACM-2525 0.013157894736842105 1.0
CACM-2064 0.012987012987012988 1.0
CACM-2544 0.01282051282051282 1.0
CACM-1744 0.012658227848101266 1.0
CACM-2047 0.0125 1.0
CACM-1066 0.012345679012345678 1.0
CACM-2767 0.012195121951219513 1.0
CACM-2929 0.012048192771084338 1.0
CACM-1577 0.011904761904761904 1.0
CACM-2734 0.011764705882352941 1.0
CACM-3001 0.011627906976744186 1.0
CACM-2517 0.011494252873563218 1.0
CACM-2968 0.011363636363636364 1.0
CACM-2988 0.011235955056179775 1.0
CACM-0319 0.011111111111111112 1.0
CACM-3085 0.01098901098901099 1.0
CACM-0962 0.010869565217391304 1.0
CACM-1195 0.010752688172043012 1.0
CACM-1601 0.010638297872340425 1.0
CACM-1647 0.010526315789473684 1.0
CACM-1595 0.010416666666666666 1.0
CACM-1497 0.010309278350515464 1.0
CACM-2937 0.01020408163265306 1.0
CACM-1916 0.010101010101010102 1.0
CACM-2921 0.01 1.0
