P@5: 1.0
P@5: 0.35
CACM-2714 1.0 0.14285714285714285
CACM-2289 1.0 0.2857142857142857
CACM-3156 1.0 0.42857142857142855
CACM-3075 1.0 0.5714285714285714
CACM-1811 1.0 0.7142857142857143
CACM-1601 1.0 0.8571428571428571
CACM-2664 1.0 1.0
CACM-0320 0.875 1.0
CACM-1143 0.7777777777777778 1.0
CACM-1856 0.7 1.0
CACM-1309 0.6363636363636364 1.0
CACM-2702 0.5833333333333334 1.0
CACM-2189 0.5384615384615384 1.0
CACM-1603 0.5 1.0
CACM-2924 0.4666666666666667 1.0
CACM-1566 0.4375 1.0
CACM-2216 0.4117647058823529 1.0
CACM-2596 0.3888888888888889 1.0
CACM-2734 0.3684210526315789 1.0
CACM-2195 0.35 1.0
CACM-2401 0.3333333333333333 1.0
CACM-1409 0.3181818181818182 1.0
CACM-1928 0.30434782608695654 1.0
CACM-3175 0.2916666666666667 1.0
CACM-2927 0.28 1.0
CACM-2931 0.2692307692307692 1.0
CACM-2932 0.25925925925925924 1.0
CACM-2484 0.25 1.0
CACM-2631 0.2413793103448276 1.0
CACM-2720 0.23333333333333334 1.0
CACM-2918 0.22580645161290322 1.0
CACM-2342 0.21875 1.0
CACM-2515 0.21212121212121213 1.0
CACM-2685 0.20588235294117646 1.0
CACM-2227 0.2 1.0
CACM-3086 0.19444444444444445 1.0
CACM-3096 0.1891891891891892 1.0
CACM-3163 0.18421052631578946 1.0
CACM-1834 0.1794871794871795 1.0
CACM-1911 0.175 1.0
CACM-2470 0.17073170731707318 1.0
CACM-2580 0.16666666666666666 1.0
CACM-1664 0.16279069767441862 1.0
CACM-2232 0.1590909090909091 1.0
CACM-2784 0.15555555555555556 1.0
CACM-3045 0.15217391304347827 1.0
CACM-3055 0.14893617021276595 1.0
CACM-1595 0.14583333333333334 1.0
CACM-1638 0.14285714285714285 1.0
CACM-1671 0.14 1.0
CACM-1792 0.13725490196078433 1.0
CACM-1932 0.1346153846153846 1.0
CACM-2054 0.1320754716981132 1.0
CACM-2196 0.12962962962962962 1.0
CACM-2200 0.12727272727272726 1.0
CACM-2220 0.125 1.0
CACM-2263 0.12280701754385964 1.0
CACM-2375 0.1206896551724138 1.0
CACM-2560 0.11864406779661017 1.0
CACM-2620 0.11666666666666667 1.0
CACM-2628 0.11475409836065574 1.0
CACM-2889 0.11290322580645161 1.0
CACM-2979 0.1111111111111111 1.0
CACM-2985 0.109375 1.0
CACM-0678 0.1076923076923077 1.0
CACM-1961 0.10606060606060606 1.0
CACM-1725 0.1044776119402985 1.0
CACM-1870 0.10294117647058823 1.0
CACM-1933 0.10144927536231885 1.0
CACM-2035 0.1 1.0
CACM-2076 0.09859154929577464 1.0
CACM-2261 0.09722222222222222 1.0
CACM-2380 0.0958904109589041 1.0
CACM-1158 0.0945945945945946 1.0
CACM-1200 0.09333333333333334 1.0
CACM-1262 0.09210526315789473 1.0
CACM-1325 0.09090909090909091 1.0
CACM-1471 0.08974358974358974 1.0
CACM-1554 0.08860759493670886 1.0
CACM-1613 0.0875 1.0
CACM-1747 0.08641975308641975 1.0
CACM-1795 0.08536585365853659 1.0
CACM-1828 0.08433734939759036 1.0
CACM-1854 0.08333333333333333 1.0
CACM-1957 0.08235294117647059 1.0
CACM-1959 0.08139534883720931 1.0
CACM-2114 0.08045977011494253 1.0
CACM-2175 0.07954545454545454 1.0
CACM-2266 0.07865168539325842 1.0
CACM-2433 0.07777777777777778 1.0
CACM-2557 0.07692307692307693 1.0
CACM-2570 0.07608695652173914 1.0
CACM-2692 0.07526881720430108 1.0
CACM-2723 0.07446808510638298 1.0
CACM-2785 0.07368421052631578 1.0
CACM-2838 0.07291666666666667 1.0
CACM-2851 0.07216494845360824 1.0
CACM-2865 0.07142857142857142 1.0
CACM-2895 0.0707070707070707 1.0
CACM-2896 0.07 1.0
