P@5: 1.0
P@5: 1.0
CACM-3012 1.0 0.037037037037037035
CACM-2711 1.0 0.07407407407407407
CACM-3134 1.0 0.1111111111111111
CACM-1457 1.0 0.14814814814814814
CACM-2990 1.0 0.18518518518518517
CACM-2160 1.0 0.2222222222222222
CACM-1236 1.0 0.25925925925925924
CACM-1514 1.0 0.2962962962962963
CACM-1032 1.0 0.3333333333333333
CACM-2307 1.0 0.37037037037037035
CACM-2966 1.0 0.4074074074074074
CACM-2451 1.0 0.4444444444444444
CACM-1675 1.0 0.48148148148148145
CACM-1976 1.0 0.5185185185185185
CACM-2631 1.0 0.5555555555555556
CACM-1830 1.0 0.5925925925925926
CACM-3001 1.0 0.6296296296296297
CACM-3169 1.0 0.6666666666666666
CACM-3168 1.0 0.7037037037037037
CACM-2524 1.0 0.7407407407407407
CACM-1927 1.0 0.7777777777777778
CACM-2575 1.0 0.8148148148148148
CACM-2976 1.0 0.8518518518518519
CACM-2765 1.0 0.8888888888888888
CACM-2965 1.0 0.9259259259259259
CACM-2452 1.0 0.9629629629629629
CACM-1705 0.9629629629629629 0.9629629629629629
CACM-1700 0.9285714285714286 0.9629629629629629
CACM-2722 0.896551724137931 0.9629629629629629
CACM-2646 0.8666666666666667 0.9629629629629629
CACM-3087 0.8387096774193549 0.9629629629629629
CACM-1641 0.8125 0.9629629629629629
CACM-2695 0.7878787878787878 0.9629629629629629
CACM-3129 0.7647058823529411 0.9629629629629629
CACM-1886 0.7428571428571429 0.9629629629629629
CACM-2991 0.7222222222222222 0.9629629629629629
CACM-1194 0.7027027027027027 0.9629629629629629
CACM-1916 0.6842105263157895 0.9629629629629629
CACM-2437 0.6666666666666666 0.9629629629629629
CACM-2561 0.65 0.9629629629629629
CACM-2140 0.6341463414634146 0.9629629629629629
CACM-2033 0.6190476190476191 0.9629629629629629
CACM-3096 0.6046511627906976 0.9629629629629629
CACM-2828 0.5909090909090909 0.9629629629629629
CACM-1699 0.5777777777777777 0.9629629629629629
CACM-1456 0.5652173913043478 0.9629629629629629
CACM-1725 0.5531914893617021 0.9629629629629629
CACM-1527 0.5416666666666666 0.9629629629629629
CACM-1652 0.5306122448979592 0.9629629629629629
CACM-3057 0.52 0.9629629629629629
CACM-1674 0.5098039215686274 0.9629629629629629
CACM-2402 0.5 0.9629629629629629
CACM-3103 0.49056603773584906 0.9629629629629629
CACM-2233 0.48148148148148145 0.9629629629629629
CACM-1601 0.4727272727272727 0.9629629629629629
CACM-1680 0.4642857142857143 0.9629629629629629
CACM-1235 0.45614035087719296 0.9629629629629629
CACM-2641 0.46551724137931033 1.0
CACM-2484 0.4576271186440678 1.0
CACM-1166 0.45 1.0
CACM-1677 0.4426229508196721 1.0
CACM-2987 0.43548387096774194 1.0
CACM-2114 0.42857142857142855 1.0
CACM-1935 0.421875 1.0
CACM-2986 0.4153846153846154 1.0
CACM-2916 0.4090909090909091 1.0
CACM-0972 0.40298507462686567 1.0
CACM-2883 0.39705882352941174 1.0
CACM-1808 0.391304347826087 1.0
CACM-2746 0.38571428571428573 1.0
CACM-3135 0.38028169014084506 1.0
CACM-2882 0.375 1.0
CACM-1155 0.3698630136986301 1.0
CACM-2978 0.36486486486486486 1.0
CACM-2314 0.36 1.0
CACM-1711 0.35526315789473684 1.0
CACM-2846 0.35064935064935066 1.0
CACM-1290 0.34615384615384615 1.0
CACM-1464 0.34177215189873417 1.0
CACM-2980 0.3375 1.0
CACM-0144 0.3333333333333333 1.0
CACM-2905 0.32926829268292684 1.0
CACM-2753 0.3253012048192771 1.0
CACM-2494 0.32142857142857145 1.0
CACM-1362 0.3176470588235294 1.0
CACM-2517 0.313953488372093 1.0
CACM-2374 0.3103448275862069 1.0
CACM-2388 0.3068181818181818 1.0
CACM-2082 0.30337078651685395 1.0
CACM-1665 0.3 1.0
CACM-2421 0.2967032967032967 1.0
CACM-2786 0.29347826086956524 1.0
CACM-0531 0.2903225806451613 1.0
CACM-2046 0.2872340425531915 1.0
CACM-2688 0.28421052631578947 1.0
CACM-2053 0.28125 1.0
CACM-1408 0.27835051546391754 1.0
CACM-2091 0.2755102040816326 1.0
CACM-2265 0.2727272727272727 1.0
CACM-3002 0.27 1.0
