P@5: 1.0
P@5: 0.5
CACM-2685 1.0 0.1
CACM-1158 1.0 0.2
CACM-1262 1.0 0.3
CACM-2433 1.0 0.4
CACM-1811 1.0 0.5
CACM-2413 1.0 0.6
CACM-1471 1.0 0.7
CACM-2138 0.875 0.7
CACM-2175 0.8888888888888888 0.8
CACM-1613 0.9 0.9
CACM-2060 0.9090909090909091 1.0
CACM-1665 0.8333333333333334 1.0
CACM-2929 0.7692307692307693 1.0
CACM-2112 0.7142857142857143 1.0
CACM-1795 0.6666666666666666 1.0
CACM-2692 0.625 1.0
CACM-3175 0.5882352941176471 1.0
CACM-2266 0.5555555555555556 1.0
CACM-1409 0.5263157894736842 1.0
CACM-3005 0.5 1.0
CACM-2723 0.47619047619047616 1.0
CACM-3075 0.45454545454545453 1.0
CACM-2289 0.43478260869565216 1.0
CACM-2896 0.4166666666666667 1.0
CACM-1389 0.4 1.0
CACM-2989 0.38461538461538464 1.0
CACM-2064 0.37037037037037035 1.0
CACM-2423 0.35714285714285715 1.0
CACM-2897 0.3448275862068966 1.0
CACM-1747 0.3333333333333333 1.0
CACM-1844 0.3225806451612903 1.0
CACM-0670 0.3125 1.0
CACM-1824 0.30303030303030304 1.0
CACM-2253 0.29411764705882354 1.0
CACM-2651 0.2857142857142857 1.0
CACM-3150 0.2777777777777778 1.0
CACM-2567 0.2702702702702703 1.0
CACM-3110 0.2631578947368421 1.0
CACM-2717 0.2564102564102564 1.0
CACM-3148 0.25 1.0
CACM-1159 0.24390243902439024 1.0
CACM-2645 0.23809523809523808 1.0
CACM-1135 0.23255813953488372 1.0
CACM-2061 0.22727272727272727 1.0
CACM-2579 0.2222222222222222 1.0
CACM-2886 0.21739130434782608 1.0
CACM-2252 0.2127659574468085 1.0
CACM-2767 0.20833333333333334 1.0
CACM-1852 0.20408163265306123 1.0
CACM-2921 0.2 1.0
CACM-0320 0.19607843137254902 1.0
CACM-1200 0.19230769230769232 1.0
CACM-1325 0.18867924528301888 1.0
CACM-1554 0.18518518518518517 1.0
CACM-1601 0.18181818181818182 1.0
CACM-1603 0.17857142857142858 1.0
CACM-1828 0.17543859649122806 1.0
CACM-1854 0.1724137931034483 1.0
CACM-1928 0.1694915254237288 1.0
CACM-1957 0.16666666666666666 1.0
CACM-1959 0.16393442622950818 1.0
CACM-2114 0.16129032258064516 1.0
CACM-2195 0.15873015873015872 1.0
CACM-2342 0.15625 1.0
CACM-2401 0.15384615384615385 1.0
CACM-2515 0.15151515151515152 1.0
CACM-2557 0.14925373134328357 1.0
CACM-2570 0.14705882352941177 1.0
CACM-2785 0.14492753623188406 1.0
CACM-2838 0.14285714285714285 1.0
CACM-2851 0.14084507042253522 1.0
CACM-2865 0.1388888888888889 1.0
CACM-2895 0.136986301369863 1.0
CACM-2973 0.13513513513513514 1.0
CACM-3059 0.13333333333333333 1.0
CACM-0048 0.13157894736842105 1.0
CACM-0124 0.12987012987012986 1.0
CACM-0144 0.1282051282051282 1.0
CACM-0243 0.12658227848101267 1.0
CACM-1066 0.125 1.0
CACM-1088 0.12345679012345678 1.0
CACM-1204 0.12195121951219512 1.0
CACM-1234 0.12048192771084337 1.0
CACM-1235 0.11904761904761904 1.0
CACM-1275 0.11764705882352941 1.0
CACM-1331 0.11627906976744186 1.0
CACM-1362 0.11494252873563218 1.0
CACM-1390 0.11363636363636363 1.0
CACM-1476 0.11235955056179775 1.0
CACM-1523 0.1111111111111111 1.0
CACM-1542 0.10989010989010989 1.0
CACM-1551 0.10869565217391304 1.0
CACM-1564 0.10752688172043011 1.0
CACM-1651 0.10638297872340426 1.0
CACM-1652 0.10526315789473684 1.0
CACM-1726 0.10416666666666667 1.0
CACM-1770 0.10309278350515463 1.0
CACM-1786 0.10204081632653061 1.0
CACM-1886 0.10101010101010101 1.0
CACM-2018 0.1 1.0
