P@5: 1.0
P@5: 0.8
CACM-2829 1.0 0.0625
CACM-2523 1.0 0.125
CACM-2827 1.0 0.1875
CACM-3047 1.0 0.25
CACM-2771 1.0 0.3125
CACM-2924 1.0 0.375
CACM-2004 1.0 0.4375
CACM-2687 1.0 0.5
CACM-2382 1.0 0.5625
CACM-2913 1.0 0.625
CACM-1891 1.0 0.6875
CACM-3013 1.0 0.75
CACM-2514 1.0 0.8125
CACM-2751 1.0 0.875
CACM-2547 1.0 0.9375
CACM-2910 1.0 1.0
CACM-0533 0.9411764705882353 1.0
CACM-1002 0.8888888888888888 1.0
CACM-1653 0.8421052631578947 1.0
CACM-1679 0.8 1.0
CACM-2325 0.7619047619047619 1.0
CACM-0284 0.7272727272727273 1.0
CACM-0441 0.6956521739130435 1.0
CACM-0464 0.6666666666666666 1.0
CACM-0721 0.64 1.0
CACM-0950 0.6153846153846154 1.0
CACM-1003 0.5925925925925926 1.0
CACM-1012 0.5714285714285714 1.0
CACM-1045 0.5517241379310345 1.0
CACM-1135 0.5333333333333333 1.0
CACM-1143 0.5161290322580645 1.0
CACM-1160 0.5 1.0
CACM-1170 0.48484848484848486 1.0
CACM-1235 0.47058823529411764 1.0
CACM-1236 0.45714285714285713 1.0
CACM-1260 0.4444444444444444 1.0
CACM-1272 0.43243243243243246 1.0
CACM-1308 0.42105263157894735 1.0
CACM-1325 0.41025641025641024 1.0
CACM-1381 0.4 1.0
CACM-1398 0.3902439024390244 1.0
CACM-1404 0.38095238095238093 1.0
CACM-1408 0.37209302325581395 1.0
CACM-1415 0.36363636363636365 1.0
CACM-1423 0.35555555555555557 1.0
CACM-1497 0.34782608695652173 1.0
CACM-1507 0.3404255319148936 1.0
CACM-1517 0.3333333333333333 1.0
CACM-1526 0.32653061224489793 1.0
CACM-1572 0.32 1.0
CACM-1605 0.3137254901960784 1.0
CACM-1623 0.3076923076923077 1.0
CACM-1684 0.3018867924528302 1.0
CACM-1695 0.2962962962962963 1.0
CACM-1719 0.2909090909090909 1.0
CACM-1726 0.2857142857142857 1.0
CACM-1748 0.2807017543859649 1.0
CACM-1768 0.27586206896551724 1.0
CACM-1825 0.2711864406779661 1.0
CACM-1855 0.26666666666666666 1.0
CACM-1916 0.26229508196721313 1.0
CACM-1927 0.25806451612903225 1.0
CACM-1930 0.25396825396825395 1.0
CACM-1956 0.25 1.0
CACM-1989 0.24615384615384617 1.0
CACM-1997 0.24242424242424243 1.0
CACM-2030 0.23880597014925373 1.0
CACM-2033 0.23529411764705882 1.0
CACM-2053 0.2318840579710145 1.0
CACM-2062 0.22857142857142856 1.0
CACM-2065 0.22535211267605634 1.0
CACM-2082 0.2222222222222222 1.0
CACM-2110 0.2191780821917808 1.0
CACM-2111 0.21621621621621623 1.0
CACM-2113 0.21333333333333335 1.0
CACM-2176 0.21052631578947367 1.0
CACM-2179 0.2077922077922078 1.0
CACM-2181 0.20512820512820512 1.0
CACM-2188 0.20253164556962025 1.0
CACM-2198 0.2 1.0
CACM-2216 0.19753086419753085 1.0
CACM-2226 0.1951219512195122 1.0
CACM-2245 0.1927710843373494 1.0
CACM-2253 0.19047619047619047 1.0
CACM-2289 0.18823529411764706 1.0
CACM-2308 0.18604651162790697 1.0
CACM-2423 0.1839080459770115 1.0
CACM-2447 0.18181818181818182 1.0
CACM-2494 0.1797752808988764 1.0
CACM-2556 0.17777777777777778 1.0
CACM-2560 0.17582417582417584 1.0
CACM-2645 0.17391304347826086 1.0
CACM-2657 0.17204301075268819 1.0
CACM-2701 0.1702127659574468 1.0
CACM-2716 0.16842105263157894 1.0
CACM-2719 0.16666666666666666 1.0
CACM-2765 0.16494845360824742 1.0
CACM-2798 0.16326530612244897 1.0
CACM-2811 0.16161616161616163 1.0
CACM-2812 0.16 1.0
