P@5: 1.0
P@5: 1.0
CACM-1457 1.0 0.03125
CACM-1235 1.0 0.0625
CACM-1456 1.0 0.09375
CACM-1855 1.0 0.125
CACM-1700 1.0 0.15625
CACM-2092 1.0 0.1875
CACM-1885 1.0 0.21875
CACM-2905 1.0 0.25
CACM-2127 1.0 0.28125
CACM-1170 1.0 0.3125
CACM-2033 1.0 0.34375
CACM-2274 1.0 0.375
CACM-2631 1.0 0.40625
CACM-1324 1.0 0.4375
CACM-1112 1.0 0.46875
CACM-3126 1.0 0.5
CACM-1314 1.0 0.53125
CACM-2032 1.0 0.5625
CACM-2559 1.0 0.59375
CACM-2524 1.0 0.625
CACM-2537 1.0 0.65625
CACM-2111 1.0 0.6875
CACM-2359 1.0 0.71875
CACM-2991 1.0 0.75
CACM-2203 1.0 0.78125
CACM-2532 1.0 0.8125
CACM-3087 0.9629629629629629 0.8125
CACM-2753 0.9285714285714286 0.8125
CACM-1665 0.896551724137931 0.8125
CACM-3083 0.9 0.84375
CACM-2846 0.8709677419354839 0.84375
CACM-1886 0.84375 0.84375
CACM-2931 0.8181818181818182 0.84375
CACM-2543 0.8235294117647058 0.875
CACM-2091 0.8 0.875
CACM-2233 0.7777777777777778 0.875
CACM-1856 0.7567567567567568 0.875
CACM-0144 0.7368421052631579 0.875
CACM-3053 0.7435897435897436 0.90625
CACM-2251 0.75 0.9375
CACM-2828 0.7317073170731707 0.9375
CACM-1711 0.7142857142857143 0.9375
CACM-1888 0.6976744186046512 0.9375
CACM-2196 0.6818181818181818 0.9375
CACM-1602 0.6666666666666666 0.9375
CACM-2046 0.6521739130434783 0.9375
CACM-1699 0.6382978723404256 0.9375
CACM-1486 0.625 0.9375
CACM-1527 0.6122448979591837 0.9375
CACM-2484 0.6 0.9375
CACM-1725 0.5882352941176471 0.9375
CACM-2265 0.5769230769230769 0.9375
CACM-2423 0.5660377358490566 0.9375
CACM-2060 0.5555555555555556 0.9375
CACM-1652 0.5454545454545454 0.9375
CACM-0675 0.5357142857142857 0.9375
CACM-1433 0.5263157894736842 0.9375
CACM-1169 0.5172413793103449 0.9375
CACM-2722 0.5084745762711864 0.9375
CACM-3096 0.5 0.9375
CACM-2494 0.4918032786885246 0.9375
CACM-1504 0.4838709677419355 0.9375
CACM-1517 0.47619047619047616 0.9375
CACM-1674 0.46875 0.9375
CACM-1930 0.46153846153846156 0.9375
CACM-2273 0.45454545454545453 0.9375
CACM-2646 0.44776119402985076 0.9375
CACM-2989 0.4411764705882353 0.9375
CACM-3046 0.43478260869565216 0.9375
CACM-1929 0.42857142857142855 0.9375
CACM-2711 0.4225352112676056 0.9375
CACM-0185 0.4166666666666667 0.9375
CACM-3100 0.410958904109589 0.9375
CACM-1747 0.40540540540540543 0.9375
CACM-2470 0.4 0.9375
CACM-2229 0.39473684210526316 0.9375
CACM-1470 0.38961038961038963 0.9375
CACM-2267 0.38461538461538464 0.9375
CACM-1051 0.379746835443038 0.9375
CACM-2688 0.375 0.9375
CACM-1786 0.38271604938271603 0.96875
CACM-2987 0.3780487804878049 0.96875
CACM-1785 0.3855421686746988 1.0
CACM-2923 0.38095238095238093 1.0
CACM-0078 0.3764705882352941 1.0
CACM-2451 0.37209302325581395 1.0
CACM-3135 0.367816091954023 1.0
CACM-1976 0.36363636363636365 1.0
CACM-2437 0.3595505617977528 1.0
CACM-0040 0.35555555555555557 1.0
CACM-1962 0.3516483516483517 1.0
CACM-0531 0.34782608695652173 1.0
CACM-1083 0.34408602150537637 1.0
CACM-1572 0.3404255319148936 1.0
CACM-2194 0.3368421052631579 1.0
CACM-2289 0.3333333333333333 1.0
CACM-2723 0.32989690721649484 1.0
CACM-2856 0.32653061224489793 1.0
CACM-2871 0.32323232323232326 1.0
CACM-2918 0.32 1.0
